#,Title,JPja,USen
1,Armor_001_Head_Desc,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード雨風や強い日差しから
頭を守るために旅人に愛用されている","A hood woven using traditional Hyrulean 
methods. It's made from a sturdy material
to protect travelers from the harsh
sun and weather."
2,Armor_001_Head_Name,ハイリアのフード,Hylian Hood
3,Armor_002_Head_Desc,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード
大妖精の力で防御力が1段階アップしている","A hood woven using traditional Hyrulean
methods, made from sturdy material.
A Great Fairy has increased its defense
by one level."
4,Armor_002_Head_Name,ハイリアのフード,Hylian Hood
5,Armor_003_Head_Desc,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード
大妖精の力で防御力が2段階アップしている","A hood woven using traditional Hyrulean
methods, made from sturdy material.
A Great Fairy has increased its defense
by two levels."
6,Armor_003_Head_Name,ハイリアのフード,Hylian Hood
7,Armor_004_Head_Desc,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード
大妖精の力で防御力が3段階アップしている","A hood woven using traditional Hyrulean
methods, made from sturdy material.
A Great Fairy has increased its defense
by three levels."
8,Armor_004_Head_Name,ハイリアのフード,Hylian Hood
9,Armor_005_Head_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれている帽子
なぜだか とてもしっくりくる被り心地がする","According to legend, this cap was crafted for
a hero who travels the wild lands. Wearing it
just feels so right."
10,Armor_005_Head_Name,息吹の勇者帽子,Cap of the Wild
11,Armor_006_Head_Desc,"ゾーラ族に古くから伝わる兜素材に龍の鱗が
使われているといわれ泳ぎの速度が上昇する
泳ぎ中にスピンアタックも可能となる","Zora headgear made from dragon scales.
Increases swimming speed and allows you
tospin to attack underwater."
12,Armor_006_Head_Name,ゾーラの兜,Zora Helm
13,Armor_007_Head_Desc,"素材に使われている龍の鱗の力で
泳ぎ速度が上がりスピンアタックも可能になる兜
大妖精の力で防御力が1段階アップしている","Zora headgear made from dragon scales.
Increases swimming speed and allows you to
spin to attack underwater. A Great Fairy has
increased its defense by one level."
14,Armor_007_Head_Name,ゾーラの兜,Zora Helm
15,Armor_008_Head_Desc,"ゲルド秘密クラブで密かに売られている 
男性用の防具額に嵌められたサファイアは
氷の力を宿し その加護により耐暑効果を発揮する","Gerudo-made armor for males sold rarely by
Gerudo retailers. It contains sapphire, a gem
that harnesses the power of ice to make the
heat more bearable."
16,Armor_008_Head_Name,熱砂の鉢がね,Desert Voe Headband
17,Armor_009_Head_Desc,"雪鳥の上質な羽と 炎の力を宿した宝石である
ルビーがあしらわれた リト族の羽飾り
身に着けると寒さに強くなる効果がある","A Rito accessory made from snow-bird
feathers. It's adorned with a ruby, a gem
that harnesses the power of fire to make
cold climates more tolerable."
18,Armor_009_Head_Name,雪よけの羽飾り,Snowquill Headdress
19,Armor_011_Head_Desc,"ゴロンシティを訪れる観光客向けに
ゴロン族の職人が こしらえた石製の兜
頭をすっぽりと覆う作りで耐火性能を持つ","Stone headgear made by Goron craftsmen
to protect tourists visiting Goron City. As if its
flame resistance isn't enough of a selling
point, it also covers your entire head!"
20,Armor_011_Head_Name,耐火の石兜,Flamebreaker Helm
21,Armor_012_Head_Desc,"普通の布製マスクに見えるが 
実はシーカー族の技術で衣擦れの音を徹底して
抑える工夫が施されている隠密行動に最適","It may look like a regular cloth mask, but it
was made using Sheikah crafting techniques
to suppress the noisy rustling of clothes.
Perfect for sneaking about."
22,Armor_012_Head_Name,忍びマスク,Stealth Mask
23,Armor_014_Head_Desc,"見た目はただのバンダナだが実は古代の技術が
用いられており着用した者の体幹バランスを
調整して壁をのぼる力を向上してくれる","It may look like a regular bandanna, but it's
actually infused with ancient technology that
enhances core strength to improve your
climbing ability."
24,Armor_014_Head_Name,クライムバンダナ,Climber's Bandanna
25,Armor_015_Head_Desc,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード
大妖精の力で防御力が最大までアップしている","A hood woven using traditional Hyrulean
methods, made from sturdy material.
A Great Fairy has increased its defense
to the maximum level."
26,Armor_015_Head_Name,ハイリアのフード,Hylian Hood
27,Armor_017_Head_Desc,"夜光石を砕いた染料でペイントを施した
ゲルド秘密クラブの特製マスク 
暗闇になると ぼんやりと発光して怪しさ満点","A special mask for members of the Gerudo
Secret Club. Painted with dye made from
crushed luminous stones, it gives off a lurid,
mysterious glow in the dark."
28,Armor_017_Head_Name,夜光マスク,Radiant Mask
29,Armor_020_Head_Desc,"最前線で戦う兵士のための兜
金属製のしっかりした作りで高い防御力が特徴
現存する物は大厄災時の破損を免れたものである","Headgear made from sturdy metals for
frontline soldiers. Praised for their defensive
capabilities, the only helms that remain are
those that survived the Calamity."
30,Armor_020_Head_Name,ハイリア兵の兜,Soldier's Helm
31,Armor_021_Head_Desc,"ロベリーの研究成果の結晶といえる兜
ガーディアンのパーツを加工して作られており
古代エネルギーの攻撃を軽減する効果を持つ","This headgear is the result of Robbie's
research. It uses Guardian parts to decrease
damage from ancient energy attacks."
32,Armor_021_Head_Name,古代兵装・兜,Ancient Helm
33,Armor_022_Head_Desc,"キルトンお手製の ボコブリンの被りモノ
愛嬌たっぷりな仕上がりになっている
被っていると ボコブリンに気づかれにくくなる","Kilton's handmade Bokoblin headgear. It's
almost charming in a cute, monstrous kind of
way... Equip it to blend in with Bokoblins."
34,Armor_022_Head_Name,ボコブリンマスク,Bokoblin Mask
35,Armor_024_Head_Desc,"ゲルドの宝飾店で扱われる豪華な頭飾り
光の力を宿す宝石であるダイヤモンドの
加護により古代の敵からのダメージをも軽減する","A luxurious headpiece sold at Gerudo
jewelry shops. It's decorated with a diamond,
which harnesses the power of light to reduce
damage received from ancient enemies."
36,Armor_024_Head_Name,ダイヤの頭飾り,Diamond Circlet
37,Armor_025_Head_Desc,"ゲルドの宝石職人が作る伝統的な頭飾り
炎の力を宿す宝石であるルビーの加護により 
身に着けると耐寒効果を発揮する","A headpiece made by Gerudo craft workers.
It's set with a ruby, a gem that harnesses
the power of fire to make cold climates
more bearable."
38,Armor_025_Head_Name,ルビーの頭飾り,Ruby Circlet
39,Armor_026_Head_Desc,"ゲルドの彫金技術で作られた精巧な頭飾り
宝石のサファイアは氷の力を宿すといわれ 
装備するとその加護により耐暑効果を発揮する","An intricate headpiece crafted with Gerudo
goldsmith techniques. It's set with a
sapphire, a gem that harnesses the power
of ice to make hot climates more tolerable."
40,Armor_026_Head_Name,サファイアの頭飾り,Sapphire Circlet
41,Armor_027_Head_Desc,"雷の力を宿すといわれるトパーズを ゲルドの
宝石職人が加工した耳飾り身に着けると
その加護により耐電効果を発揮する","Earrings made by Gerudo craft workers.
They're made with topaz, a gem that
harnesses the power of lightning to increase
electricity resistance."
42,Armor_027_Head_Name,トパーズの耳飾り,Topaz Earrings
43,Armor_028_Head_Desc,"ゲルドの宝飾店で扱われているイヤリング
水の力を宿すとされる オパールの加護により
身に着けると泳ぎの速度が上昇する","Earrings sold at Gerudo jewelry shops.
They contain opal, a gem that harnesses
the power of water to increase your
swimming speed."
44,Armor_028_Head_Name,オパールの耳飾り,Opal Earrings
45,Armor_029_Head_Desc,"ゲルドの宝飾店に並ぶ定番商品のひとつ
大地の力を宿す宝石である コハクを使った耳飾り
装備するとその加護により防御力が増す","One of the items sold by the Gerudo jeweler.
These earrings are made with amber, a gem
that harnesses the power of the land to
increase defense when equipped."
46,Armor_029_Head_Name,コハクの耳飾り,Amber Earrings
47,Armor_035_Head_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれている帽子
大妖精の力で防御力が1段階アップしている","According to legend, this cap was crafted for
a hero who travels the wild lands. A Great
Fairy has increased its defense by one level."
48,Armor_035_Head_Name,息吹の勇者帽子,Cap of the Wild
49,Armor_036_Head_Desc,"雪鳥の羽とルビーがあしらわれた
リト族の羽飾り寒さに強くなる効果がある
大妖精の力で防御力が1段階アップしている","A Rito accessory made from snow-bird
feathers. Adorned with a ruby, a gem that
harnesses the power of fire. A Great Fairy
has increased its defense by one level."
50,Armor_036_Head_Name,雪よけの羽飾り,Snowquill Headdress
51,Armor_037_Head_Desc,"ゴロン族の職人が観光客向けに作った石製の兜
頭をすっぽりと覆う作りで耐火性能を持つ
大妖精の力で防御力が1段階アップしている","Stone headgear made for tourists by Goron
crafters. Not only is it flame resistant, but
it also covers your entire head. A Great
Fairy has increased its level by one."
52,Armor_037_Head_Name,耐火の石兜,Flamebreaker Helm
53,Armor_039_Head_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれている帽子
大妖精の力で防御力が2段階アップしている","According to legend, this cap was crafted for
a hero who travels the wild lands. A Great
Fairy has increased its defense by two levels."
54,Armor_039_Head_Name,息吹の勇者帽子,Cap of the Wild
55,Armor_040_Head_Desc,"ゲルド製の男性用防具額のサファイアは
氷の力を宿し その加護により耐暑効果を発揮する
大妖精の力で防御力が1段階アップしている","Gerudo armor for males. Contains sapphire,
which harnesses the power of ice to make
the heat more bearable. A Great Fairy
has increased its defense by one level."
56,Armor_040_Head_Name,熱砂の鉢がね,Desert Voe Headband
57,Armor_042_Head_Desc,"シーカー族の技術で衣擦れの音を徹底して抑える
工夫が施されているマスク隠密行動に最適
大妖精の力で防御力が1段階アップしている","A Sheikah-made mask that suppresses the
noisy rustling of clothes. Perfect for sneaking
about. A Great Fairy has increased
its defense by one level."
58,Armor_042_Head_Name,忍びマスク,Stealth Mask
59,Armor_045_Head_Desc,"キルトンお手製の モリブリンの被りモノ
特徴的な長い鼻と大きな角も再現されている
被っていると モリブリンに気づかれにくくなる","Kilton's handmade Moblin headgear. It's
designed to replicate the Moblin's distinct
long nose and large horn. Equip it to
blend in with Moblins."
60,Armor_045_Head_Name,モリブリンマスク,Moblin Mask
61,Armor_046_Head_Desc,"古代の技術で作られた耐電性能を持つ帽子
現代では失われた ゴムという電気を通しにくい
特殊な素材で作られているらしい","A helmet made from ancient techniques and
electricity-resistant material. It's made from
something called \""rubber,\"" a material that
can no longer be found."
62,Armor_046_Head_Name,ラバーキャップ,Rubber Helm
63,Armor_048_Head_Desc,"太古のフィローネ地方に住んでいたといわれる
戦闘部族の兜刻まれている古の文様は 
被る者の精神を高揚させ攻撃力が増加する","A helmet once worn by the warriors of an
ancient warlike tribe from the Faron region.
Wearing it draws out your inner animal,
increasing your strength and battle prowess."
64,Armor_048_Head_Name,蛮族の兜,Barbarian Helm
65,Armor_053_Head_Desc,"ゲルド族の女性が身につけるマスク
砂漠の日差しからお肌を守ってくれる
防具としての性能は期待できない","A mask worn by Gerudo women. It protects
the skin from the harsh sun, but don't expect
it to protect much in combat..."
66,Armor_053_Head_Name,淑女のマスク,Gerudo Veil
67,Armor_055_Head_Desc,"キルトンお手製の リザルフォスの被りモノ
複雑な形状の角や舌も リアルに作り込まれている
被っていると リザルフォスに気づかれにくくなる","Kilton's handmade Lizalfos headgear. It's
designed to replicate the unique tongue and
horn of the Lizalfos. Equip it to blend in
with Lizalfos."
68,Armor_055_Head_Name,リザルフォスマスク,Lizalfos Mask
69,Armor_056_Head_Desc,"キルトンお手製のライネルの被りモノ
ライネルの目さえも欺く高い完成度を誇り
被っていると気づかれにくくなる","Kilton's handmade Lynel headgear. It's so
well crafted, it can deceive a real Lynel.
Equip it to blend in with Lynels, but don't
linger too long. Those beasts are smart."
70,Armor_056_Head_Name,ライネルマスク,Lynel Mask
71,Armor_060_Head_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれている帽子
大妖精の力で防御力が3段階アップしている","According to legend, this cap was crafted
for a hero who travels the wild lands.
A Great Fairy has increased its defense
by three levels."
72,Armor_060_Head_Name,息吹の勇者帽子,Cap of the Wild
73,Armor_061_Head_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれている帽子
大妖精の力で防御力が最大までアップしている","According to legend, this cap was crafted
for a hero who travels the wild lands.
A Great Fairy has increased its defense
to its maximum level."
74,Armor_061_Head_Name,息吹の勇者帽子,Cap of the Wild
75,Armor_062_Head_Desc,"素材に使われている龍の鱗の力で
泳ぎ速度が上がりスピンアタックも可能になる兜
大妖精の力で防御力が2段階アップしている","Zora headgear made from dragon scales.
Increases swimming speed and allows you to
spin to attack underwater. A Great Fairy has
increased its defense by two levels."
76,Armor_062_Head_Name,ゾーラの兜,Zora Helm
77,Armor_063_Head_Desc,"素材に使われている龍の鱗の力で
泳ぎ速度が上がりスピンアタックも可能になる兜
大妖精の力で防御力が3段階アップしている","Zora headgear made from dragon scales.
Increases swimming speed and allows you to
spin to attack underwater. A Great Fairy has
increased its defense by three levels."
78,Armor_063_Head_Name,ゾーラの兜,Zora Helm
79,Armor_064_Head_Desc,"素材に使われている龍の鱗の力で
泳ぎ速度が上がりスピンアタックも可能になる兜
大妖精の力で防御力が最大までアップしている","Zora headgear made from dragon scales.
Increases swimming speed and allows you to
spin to attack underwater. A Great Fairy has
increased its defense to its maximum level."
80,Armor_064_Head_Name,ゾーラの兜,Zora Helm
81,Armor_065_Head_Desc,"ゲルド製の男性用防具額のサファイアは
氷の力を宿し その加護により耐暑効果を発揮する
大妖精の力で防御力が2段階アップしている","Gerudo armor for males. Contains sapphire,
which harnesses the power of ice to make
the heat more bearable. A Great Fairy
has increased its defense by two levels."
82,Armor_065_Head_Name,熱砂の鉢がね,Desert Voe Headband
