#,Title,JPja,USen
1,Armor_001_Lower_Desc,"ハイラルで広く親しまれている一般的なズボン
柔らかな布で作られており心地が良い
作りは丈夫なので旅の装束としても人気","Traditional dress trousers of Hyrule.
The plush fabric makes these trousers
quite comfortable, and their high durability
makes them ideal for travelers."
2,Armor_001_Lower_Name,ハイリアのズボン,Hylian Trousers
3,Armor_002_Lower_Desc,"ハイラルで広く親しまれている一般的なズボン
柔らかな布で作られており心地が良い
大妖精の力で防御力が1段階アップしている","These trousers are common throughout the
Hyrule region. The soft fabric makes them
quite comfortable. A Great Fairy has
increased their defense by one level."
4,Armor_002_Lower_Name,ハイリアのズボン,Hylian Trousers
5,Armor_003_Lower_Desc,"ハイラルで広く親しまれている一般的なズボン
柔らかな布で作られており心地が良い
大妖精の力で防御力が2段階アップしている","These trousers are common throughout the
Hyrule region. The soft fabric makes them
quite comfortable. A Great Fairy has
increased their defense by two levels."
6,Armor_003_Lower_Name,ハイリアのズボン,Hylian Trousers
7,Armor_004_Lower_Desc,"ハイラルで広く親しまれている一般的なズボン
柔らかな布で作られており心地が良い
大妖精の力で防御力が3段階アップしている","These trousers are common throughout the
Hyrule region. The soft fabric makes them
quite comfortable. A Great Fairy has
increased their defense by three levels."
8,Armor_004_Lower_Name,ハイリアのズボン,Hylian Trousers
9,Armor_005_Lower_Desc,"荒野を旅する勇者のために 
あつらえられたと いわれているズボン
サイズもちょうど良く履き心地が抜群","Legends say these pants were tailored for a
hero who travels the wilderness. Strangely
enough, they're the most comfortable pair
of pants you've ever worn."
10,Armor_005_Lower_Name,息吹の勇者ズボン,Trousers of the Wild
11,Armor_006_Lower_Desc,"ゾーラ族に代々伝わる すねあて
龍の鱗が素材として使われているといわれ
装備すると泳ぎが速くなる効果を発揮する","These greaves have been passed down
among the Zora for generations. It's been
said they're crafted using dragon scales.
Equip them to swim faster."
12,Armor_006_Lower_Name,ゾーラのすねあて,Zora Greaves
13,Armor_007_Lower_Desc,"ゾーラ族に代々伝わる すねあて
装備すると泳ぎが速くなる効果を発揮する
大妖精の力で防御力が1段階アップしている","These greaves have been passed down
among the Zora for generations. Equip
them to swim faster. A Great Fairy has
increased their defense by one level."
14,Armor_007_Lower_Name,ゾーラのすねあて,Zora Greaves
15,Armor_008_Lower_Desc,"ゲルド秘密クラブで密かに売られている
男性用のズボン氷の力を宿すサファイアが
使われており その加護により耐暑効果を発揮する","Gerudo-made trousers for men sold rarely
by Gerudo retailers. Sapphire is used in
their creation, which harnesses the power
of ice to make the heat more tolerable."
16,Armor_008_Lower_Name,熱砂のズボン,Desert Voe Trousers
17,Armor_009_Lower_Desc,"リト族の生え替わりの羽を使って作られたズボン
布の内側に羽毛が仕込まれており保温性に優れる
リトの村でハイリア人向けに販売されている","The Rito sell these trousers to Hylians
in Rito Village. The inside is lined with
Rito feathers, so they excel at retaining
body heat."
18,Armor_009_Lower_Name,リトの羽毛ズボン,Snowquill Trousers
