#,Title,JPja,USen
1,Armor_001_Upper_Desc,"ハイラルで広く親しまれている一般的な装束
軽くて丈夫な布で作られているので動きやすい
旅人の中にも身に着けている者が多い","A common garb that achieved widespread
popularity in Hyrule, particularly among
travelers. Its light-yet-sturdy fabric doesn't
limit movement."
2,Armor_001_Upper_Name,ハイリアの服,Hylian Tunic
3,Armor_002_Upper_Desc,"ハイラルで広く親しまれている一般的な装束
軽くて丈夫な布で作られているので動きやすい
大妖精の力で防御力が1段階アップしている","A common garb popular in Hyrule, especially
among travelers. Its light-yet-sturdy fabric
doesn't limit movement. A Great Fairy
increased its defense by one level."
4,Armor_002_Upper_Name,ハイリアの服,Hylian Tunic
5,Armor_003_Upper_Desc,"ハイラルで広く親しまれている一般的な装束
軽くて丈夫な布で作られているので動きやすい
大妖精の力で防御力が2段階アップしている","A common garb popular in Hyrule, especially
among travelers. Its light-yet-sturdy fabric
doesn't limit movement. A Great Fairy
increased its defense by two levels."
6,Armor_003_Upper_Name,ハイリアの服,Hylian Tunic
7,Armor_004_Upper_Desc,"ハイラルで広く親しまれている一般的な装束
軽くて丈夫な布で作られているので動きやすい
大妖精の力で防御力が3段階アップしている","A common garb popular in Hyrule, especially
among travelers. Its light-yet-sturdy fabric
doesn't limit movement. A Great Fairy
increased its defense by three levels."
8,Armor_004_Upper_Name,ハイリアの服,Hylian Tunic
9,Armor_005_Upper_Desc,"荒野を旅する勇者のために 
あつらえられたといわれている緑の服
着てみると とてもぴったりなサイズ","This armor was apparently crafted for a hero
who travels the wilds. Strangely enough,
it's just your size."
10,Armor_005_Upper_Name,息吹の勇者服,Tunic of the Wild
11,Armor_006_Upper_Desc,"代々ゾーラ族の王女が将来ムコになる男に
ピッタリのサイズで想いを込めて作る鎧
なんと滝を遡ることができるようになる！","Custom armor painstakingly crafted by each
generation's Zora princess for her future 
husband. Wearing it will give you the ability
to swim up waterfalls."
12,Armor_006_Upper_Name,ゾーラの鎧,Zora Armor
13,Armor_007_Upper_Desc,"ゾーラ族の王女が想いを込めて作った防具
なんと滝を遡ることができるようになる！
大妖精の力で防御力が1段階アップしている","Armor crafted by each generation's Zora
princess for her future husband. Equip it
to swim up waterfalls. A Great Fairy has
increased its defense by one level."
14,Armor_007_Upper_Name,ゾーラの鎧,Zora Armor
15,Armor_008_Upper_Desc,"ゲルド秘密クラブで秘密裏に販売されている
男性用の防具氷の力を宿すサファイアの
加護により装備すると耐暑効果を発揮する","Armor for males sold rarely by Gerudo
retailers. It contains sapphire,
which harnesses the power of ice to
make hot climates more tolerable."
16,Armor_008_Upper_Name,熱砂の肩当て,Desert Voe Spaulder
17,Armor_009_Upper_Desc,"タバンタやヘブラを訪れる ハイリア人のために
リト族の生え替わりの羽を使って作られた服
羽毛を幾層にも重ねており保温性に優れる","Lined with molted Rito feathers, this tunic
was made by Rito artisans for Hylians visiting
cold climates. The feathers are stacked in
each layer to retain body heat."
18,Armor_009_Upper_Name,リトの羽毛服,Snowquill Tunic
