#,Title,JPja,USen
1,Enemy_AirOctarock_Name,空オクタ,Sky Octorok
2,Enemy_AirOctarock_PictureBook,"タコのような見た目の下級魔族
もともと水生の魔族だが体内の浮き袋が発達し
常に空に浮かべるようになった
だが それに目をつけた魔物たちに
空飛ぶ拠点の浮力として酷使されている
角笛の音で上昇するように飼い慣らされて
特に攻撃もしてこない","These low-level, octopus-like monsters used
to be aquatic, but their inflatable air sacs
evolved so that they are able to float around
in the air. Other monsters are known to take
advantage of this ability, using them to make
floating fortresses. They are trained to ascend
when they hear a whistle, but they will
not attack."
3,Enemy_Assassin_Junior_Name,イーガ団構成員,Yiga Footsoldier
4,Enemy_Assassin_Junior_PictureBook,"イーガ団の末端構成員
英傑リンクを見つけ出し命を奪うため
ハイラル全土に送り出されている
旅人や村人に扮し
リンクを奇襲してくることもあるため
怪しげな人物を見たら注意が必要だ
片手剣と弓を操り俊敏な動きを見せる","The lowest-ranked members of the Yiga Clan.
They've been dispatched all across Hyrule
with a single task: seek out Link and end
his life. They're a crafty bunch, sometimes
disguising themselves as simple travelers
or villagers to get the jump on you. Be
wary of suspicious people you encounter.
They're very agile and carry a bow and a
one-handed sword."
5,Enemy_Assassin_Middle_Name,イーガ団幹部,Yiga Blademaster
6,Enemy_Assassin_Middle_PictureBook,"イーガ団の構成員
真空波を発する風斬り刀を携えている
屈強な体つきだが動きは俊敏
地面を叩きつけ気流とともに石柱を突きあげる
土遁の術を使うこともできるという","These are the elite soldiers of the Yiga Clan.
They favor the windcleaver blade and are
extremely agile despite their bulky build.
At this Yiga Clan rank, they have mastered a
technique that allows them to manipulate the
very earth. By striking the ground, they can
create stone pillars and blasts of air."
7,Enemy_Assassin_Senior_Name,コーガ様,Master Kohga
8,Enemy_Assassin_Senior_PictureBook,"英傑リンクの命を狙う イーガ団の総長
世界中に子分を送り出し捜索させているが
自身はごろごろ寝てばかりいる
そんな総長だが究極の奥義を身に着けており
子分からの信頼は意外にも厚い
たとえ彼が滅しようと子分たちが意思を引き継ぎ
英傑を追い続けるだろう","The leader of the Yiga Clan, a group formed
with just a single objective: eliminate Link. He
sends his minions all over Hyrule in search of
you but tends to spend most of his own time
napping and generally loafing about. Despite
this, his mastery of the esoteric arts has
earned him a deep respect. Even if he
were to die, his followers would never
give up their one and only task."
9,Enemy_Bokoblin_Bone_Junior_Name,スタルボコブリン,Stalkoblin
10,Enemy_Bokoblin_Bone_Junior_PictureBook,"闇夜に現れるボコブリンの亡骸
一撃加えるだけでバラバラになる程 もろい反面
頭蓋骨さえあれば何度でも立ち直ってしまう
たまに頭蓋骨を取り違えることがあるが
彼らには たいした問題ではないようだ","The remains of Bokoblins appear in the dark
of the night. While they're fragile enough to
crumble from a single blow, as long as a
skull remains intact, they'll continue to pull
themselves back together and go on
fighting. Sometimes the body will pick up
the wrong skull, but this doesn't seem to
be a problem..."
11,Enemy_Bokoblin_Dark_Name,白銀ボコブリン,Silver Bokoblin
12,Enemy_Bokoblin_Dark_PictureBook,"黒ボコブリンを遥かに超える体力を持つ
最強のボコブリン
白い肉体と その希少性から
白銀ボコブリンと呼ばれている
ガノンの凶悪な魔力の影響を受け
体中に紫の縞模様が浮かび上がっているのも特徴","You would be foolish to call these Silver
Bokoblins a mere nuisance. They have
been influenced by Ganon's fiendish
magic, so they are stronger than even the
Black Bokoblins. They're called \""silver\""
not only because of their coloring but
also to denote their rarity. The purple
markings help them stand out even more."
13,Enemy_Bokoblin_Gold_Name,金色ボコブリン,Golden Bokoblin
14,Enemy_Bokoblin_Gold_PictureBook,"白銀ボコブリンすら凌駕する
戦闘力と体力を持った非常に凶悪なボコブリン
白銀ボコブリンが雷に撃たれ そのショックで
突然変異したもの といわれる
そのせいか耐性があり雷の攻撃を受けても
あまり しびれないようだ","With brutal strength and extreme resilience,
this type of Bokoblin somehow surpasses
Silver Bokoblins in sheer power. It is said they
are actually Silver Bokoblins who mysteriously
transformed after being struck by lightning.
Perhaps that is why they have such a high
tolerance for electric attacks."
15,Enemy_Bokoblin_Junior_Name,ボコブリン,Bokoblin
16,Enemy_Bokoblin_Junior_PictureBook,"ハイラル全土に生息する魔物
荒れ果てたハイラルで徒党を組み山賊化している
あまり賢くはないが 
ケモノを狩って焼く程度の知性はあるようだ
凶暴で肉食だが果物も好んで食べるという","This common species is a nuisance all
over Hyrule. Some have unified in the time
following the Great Calamity and have formed
factions of bandits. While not very clever,
they are at least intelligent enough to hunt
beasts and grill the meat for food. Though
they're typically ferocious carnivores, they
actually enjoy fruit as well."
17,Enemy_Bokoblin_Middle_Name,青ボコブリン,Blue Bokoblin
18,Enemy_Bokoblin_Middle_PictureBook,"ハイラル全土に生息する魔物
赤いボコブリンと比べると
体力が高く扱う武器もより強力
リモコンバクダンを見かけると
素早く蹴り飛ばし危険を回避するなど
少しは賢いところもあるようだ","This common species is a nuisance all
over Hyrule. They're tougher and have
stronger weapons than the red Bokoblins—
and are a little more clever, as well. At the
very least, they figured out that they can
simply kick a Remote Bomb out of the way
to avoid its blast."
19,Enemy_Bokoblin_Senior_Name,黒ボコブリン,Black Bokoblin
20,Enemy_Bokoblin_Senior_PictureBook,"ハイラル全土に生息する魔物
体力は非常に高く
強力な武器を備えていることが多いため
ボコブリン族のなかでも最上級の危険度である","Although Bokoblins are generally a nuisance,
the Black Bokoblins are among the most
dangerous type. They're extremely resilient,
and many are armed with advanced weapons."
21,Enemy_GanonBeast_Name,魔獣 ガノン,Dark Beast Ganon
