#,Title,JPja,USen
1,Horse_Link_Mane_01_Desc,,
2,Horse_Link_Mane_01_Name,ロングなタテガミ,Long Mane
3,Horse_Link_Mane_02_Desc,,
4,Horse_Link_Mane_02_Name,モヒカンなタテガミ,Mohawk Mane
5,Horse_Link_Mane_03_Desc,,
6,Horse_Link_Mane_03_Name,編みこみのタテガミ,French-Braided Mane
7,Horse_Link_Mane_04_Desc,,
8,Horse_Link_Mane_04_Name,みつあみのタテガミ,Braided Mane
9,Horse_Link_Mane_05_Desc,,
10,Horse_Link_Mane_05_Name,赤のロングなタテガミ,Long Red Mane
11,Horse_Link_Mane_06_Desc,,
12,Horse_Link_Mane_06_Name,青のロングなタテガミ,Long Blue Mane
13,Horse_Link_Mane_07_Desc,,
14,Horse_Link_Mane_07_Name,緑のロングなタテガミ,Long Green Mane
15,Horse_Link_Mane_08_Desc,,
16,Horse_Link_Mane_08_Name,紫のロングなタテガミ,Long Purple Mane
17,Horse_Link_Mane_09_Desc,,
18,Horse_Link_Mane_09_Name,お花つきのタテガミ,Floral Mane
19,Horse_Link_Mane_Desc,,
20,Horse_Link_Mane_Name,ふつうのタテガミ,Normal Mane
