#,Title,JPja,USen
1,Get_TwnObj_DLC_MemorialPicture_A_01_Desc,"ハイラル城での叙任式の後に写された
ゼルダ姫と英傑たち5人の写し絵
英傑たちの詩を完成させたカッシーワから貰った","A picture of Zelda and the five Champions,
taken after the inauguration ceremony at
Hyrule Castle. Kass gifted you this precious
item after completing The Champions' Ballad."
2,Get_TwnObj_DLC_MemorialPicture_A_01_Name,英傑たちの写し絵,Picture of the Champions
3,Item_Boiled_01_Desc,"地面から湧き出る温水の熱で
茹でられたトリのタマゴ
手軽に作れる子供にも人気のひと品","A bird egg boiled using water from naturally
occurring hot springs. It's popular among
children and is easy to make."
4,Item_Boiled_01_Name,ゆでタマゴ,Hard-Boiled Egg
5,Item_ChilledFish_01_Desc,"冷気で凍りついたバス
食べてもハートはあまり回復しないが
少しの間耐暑効果を発揮する","That's one cold fish. Eating it won't restore
many hearts, but it will lower your body
temperature a bit."
6,Item_ChilledFish_01_Name,凍結バス,Frozen Bass
7,Item_ChilledFish_02_Desc,"冷気で凍りついたマックスサーモン
余分な脂が抜け風味が増すと言われている
食べると少しの間耐暑効果を発揮する","This salmon doesn't taste quite as fishy
because the excess fat has been removed.
It's exceptionally cold, so eating it provides
a temporary boost to heat resistance."
8,Item_ChilledFish_02_Name,凍結マックスサーモン,Frozen Hearty Salmon
9,Item_ChilledFish_03_Desc,"冷気で凍りついたマス
身が締まって旨味も凝縮されている
食べると少しの間耐暑効果を発揮する","Being frozen has condensed the taste
of fish inside this trout's body. Eating it
will provide a temporary boost to your
heat resistance."
10,Item_ChilledFish_03_Name,凍結マス,Frozen Trout
11,Item_ChilledFish_04_Desc,"冷気で凍りついたコイ
シャリシャリした食感が新しい
食べると少しの間耐暑効果を発揮する","The crunchy, icy texture of this chilled
carp is quite the delicacy. Eating it will
temporarily increase your heat resistance."
12,Item_ChilledFish_04_Name,凍結ゴイ,Frozen Carp
13,Item_ChilledFish_05_Desc,"冷気で凍りついたタイ
ゲルド砂漠などの暑い地域で食べたい一品
食べると少しの間耐暑効果を発揮する","This frozen porgy is the ideal snack for hiking
through hot climates like the Gerudo Desert.
Eating it provides a temporary boost to your
heat resistance."
14,Item_ChilledFish_05_Name,凍結ダイ,Frozen Porgy
15,Item_ChilledFish_06_Desc,"冷気で凍りついたマックスバス
かなり硬くて食べづらいが このまま食べることで
少しの間耐暑効果を発揮する","This hearty bass has been frozen by cold air.
Eating it will be a challenge because it's
frozen solid, but if you persevere, it will
temporarily increase your heat resistance."
16,Item_ChilledFish_06_Name,凍結マックスバス,Frozen Hearty Bass
17,Item_ChilledFish_07_Desc,"冷気で凍りついたカニ
本来は保存のために凍らせているが このまま
食べる事もでき少しの間耐暑効果を発揮する","Doesn't provide as much companionship as
an unfrozen crab, but it won't spoil during
your travels. Eat it to gain a temporary boost
to your heat resistance."
18,Item_ChilledFish_07_Name,凍結ガニ,Frozen Crab
19,Item_ChilledFish_08_Desc,"冷気で凍りついたシノビタニシ
特徴的な光も凍らせると出なくなる
食べると少しの間耐暑効果を発揮する","The distinct glow of this sneaky river snail
has diminished after it's been frozen, but
eating it like this will provide a temporary
increase to your heat resistance."
20,Item_ChilledFish_08_Name,凍結タニシ,Frozen River Snail
21,Item_ChilledFish_09_Desc,"冷気で凍りついたマックスサザエ
中身を取り出すのにはコツがいる
食べると少しの間耐暑効果を発揮する","It takes a skilled chef to get the meat out of
this frozen hearty blueshell snail. Eating this
will provide a temporary increase to your
heat resistance."
22,Item_ChilledFish_09_Name,凍結マックスサザエ,Icy Hearty Blueshell Snail
23,Item_Chilled_01_Desc,"冷気で凍りついたケモノ肉
かじりつくにはちょっと硬すぎる
少しだけハート回復と耐暑効果を得られる","A frozen slab of animal meat. If you can
manage to chew it up and swallow it, you'll
restore some hearts and lower your body
temperature."
24,Item_Chilled_01_Name,凍結ケモノ肉,Icy Meat
25,Item_Chilled_02_Desc,"冷気で凍りついた上ケモノ肉
少しだけハート回復と耐暑効果を得られる","High-quality, frozen animal meat. Doesn't
restore many hearts, but it can lower your
body temperature."
26,Item_Chilled_02_Name,凍結上ケモノ肉,Icy Prime Meat
27,Item_Chilled_03_Desc,"冷気で凍りついた極上ケモノ肉
上質な肉は凍らせても味が落ちにくいという
食べると少しの間耐暑効果を発揮する","This raw gourmet meat has been frozen for
easy traveling. It's kept its flavor through the
freezing process. Eating it as is will provide
a temporary boost to your heat resistance."
28,Item_Chilled_03_Name,凍結極上ケモノ肉,Icy Gourmet Meat
29,Item_Chilled_04_Desc,"冷気で凍りついたトリ肉
こん棒みたいだけど一応食べられる
少しだけハート回復と耐暑効果を得られる","It's as hard as a rock but is supposedly
edible. It restores a small number of hearts
and has a cooling effect."
30,Item_Chilled_04_Name,凍結トリ肉,Frozen Bird Drumstick
31,Item_Chilled_05_Desc,"冷気で凍りついた上トリ肉
武器にできそうなくらい硬い
少しだけハート回復と耐暑効果を得られる","High-quality, frozen bird meat. It's so solid it
looks like it could be used as a weapon.
Eating it will restore some hearts and cool
you down, but don't break your teeth on it."
32,Item_Chilled_05_Name,凍結上トリ肉,Frozen Bird Thigh
33,Item_Chilled_06_Desc,"冷気で凍りついた極上トリ肉
カチカチで硬いが味は落ちていない
食べると少しの間耐暑効果を発揮する","This raw whole bird may have been
frozen solid, but its flavor remains intact.
Eating it will provide a temporary boost
to your heat resistance."
34,Item_Chilled_06_Name,凍結極上トリ肉,Frozen Whole Bird
35,Item_Enemy_00_Desc,"ハイラル各地に生息するボコブリンの角
普通の料理にはとても使えないが
虫と一緒に煮込むと薬になる","The severed horn of a Bokoblin, a creature
often encountered on the plains of Hyrule.
It isn't edible, but it can be tossed into a
stew with some critters to make an elixir."
36,Item_Enemy_00_Name,ボコブリンの角,Bokoblin Horn
37,Item_Enemy_01_Desc,"ボコブリンを倒して手に入れた牙
すり減っていて鋭さはないが硬さは十分
虫と一緒に煮込む事で薬を作る事ができる","A tooth obtained from a Bokoblin. It's worn
down and not very sharp, but it's still pretty
hard. Cook it alongside a critter to make
an elixir."
38,Item_Enemy_01_Name,ボコブリンの牙,Bokoblin Fang
39,Item_Enemy_02_Desc,"ボコブリンを倒して手に入れたとても貴重な素材
ちょっと動いていて気持ち悪い…
何か使い道があるかもしれない","A rare material obtained by defeating a
Bokoblin. It convulses on its own every now
and then, which is really creepy, but perhaps
it has a use."
40,Item_Enemy_02_Name,ボコブリンの肝,Bokoblin Guts
