#,Title,JPja,USen
1,FldObj_BoneWhale_A_01_Far_Name,化石鯨A_01(自動Far),かせきくじら化石鯨A_01(じどう自動Far)
2,FldObj_BoneWhale_A_01_Name,砂漠の鯨の化石,Leviathan (Desert)
3,FldObj_BoneWhale_A_02_Far_Name,化石鯨A_02(自動Far),かせきくじら化石鯨A_02(じどう自動Far)
4,FldObj_BoneWhale_A_02_Name,氷窟の鯨の化石,Leviathan (Ice Cave)
5,FldObj_BoneWhale_A_03_Far_Name,化石鯨A_03(自動Far),かせきくじら化石鯨A_03(じどう自動Far)
6,FldObj_BoneWhale_A_03_Name,火山の鯨の化石,Leviathan (Volcano)
7,FldObj_RuinStatueKnightSword_B_01_Name,忘れられた剣,Forgotten Sword
8,FldObj_RuinStatueKnight_SnowMT_01_Far_Name,雪山の騎士像(自動Far),ゆきやま雪山のきしぞう騎士像(じどう自動Far)
9,FldObj_RuinStatueKnight_SnowMT_01_Name,八人目の英雄像,Eighth Heroine Statue
10,TwnObj_FairySpring_A_01_Far_Name,大妖精の泉(自動Far),Great fairy fountain (Automatic far)
11,TwnObj_FairySpring_A_01_Name,大妖精の泉,Great Fairy Fountain
12,TwnObj_FairySpring_B_01_Far_Name,防具加工妖精の泉（シーザ）(自動作成Farアクタ),Armor-improving fairy fountain (SHIIZA;//)(Automatically created far actor)
13,TwnObj_FairySpring_B_01_Name,大妖精の泉,Great Fairy Fountain
14,TwnObj_FairySpring_C_01_Far_Name,防具加工妖精の泉（ミジャー）(自動作成Farアクタ),Armor-improving fairy fountain (MIJAA;//)(Automatically created far actor)
15,TwnObj_FairySpring_C_01_Name,大妖精の泉,Great Fairy Fountain
16,TwnObj_FairySpring_D_01_Far_Name,防具加工妖精の泉（テーラ）(自動作成Farアクタ),Armor-improving fairy fountain (TEERA;//)(Automatically created far actor)
17,TwnObj_FairySpring_D_01_Name,大妖精の泉,Great Fairy Fountain
18,TwnObj_FairySpring_E_01_Far_Name,馬復活妖精の泉（マーロン）(自動作成Farアクタ),Horse-reviving fairy fountain (Marlon;//)(Automatically created far actor)
19,TwnObj_FairySpring_E_01_Name,マーロンの泉,Malanya's Fountain
