#,Title,JPja,USen
1,Dm_DLC_GerudoBigPointLight_A_01_Name,英傑デモ663用_ゲルドの街のポイントライト(小),Champion demo 663 Gerudo Town point light (small)
2,Dm_DLC_GerudoBigPointLight_B_01_Name,英傑デモ663用_ゲルドの街のポイントライト(大),Champion demo 663 Gerudo Town point light (big)
3,Dm_Npc_Gerdo_Hero_Name,ウルボザ,Urbosa
4,Dm_Npc_Goron_Hero_Name,ダルケル,Daruk
5,Dm_Npc_Hyrule_KingSoul_Name,ハイラル王,King Rhoam
6,Dm_Npc_Rito_Hero_Name,リーバル,Revali
7,Dm_Npc_Zora_Hero_Name,ミファー,Mipha
8,GreatFairyBeforeRevival_Name,不思議な声,???
9,HorseAssociationCustum001_Name,テン,Tenne
10,HorseAssociationCustum002_Name,ファンファ,Phanna
11,HorseAssociationCustum003_Name,カンカン,Canni
12,HorseAssociationCustum004_Name,ブリーン,Breen
13,HorseGod001_Name,マーロン,Malanya
14,NPC_Lanayru001_Name,ラッセル,Russ
15,NPC_Lanayru002_Name,フィン,Fin
16,NPC_SystemTextBoard_Name,古びた石版,Stone Tablet
17,NPC_SystemTextBook_Name,古びた日誌,Old Journal
18,NPC_SystemTextDemonStatue_Name,悪魔像,Horned Statue
19,NPC_artist_000_Name,カンギス,Pikango
20,NPC_oasis004_Name,ゴマナ,Sesami
21,NPC_oasis004_fr01_Name,ナタネ,Canolo
22,NPC_oasis004_fr02_Name,アマニ,Flaxel
23,NPC_oasis004_fr03_Name,パーム,Palme
24,NPC_oasis004_fr04_Name,ヴェニー,Oliff
25,Npc_AncientAssistant001_Name,シモン,Symin
26,Npc_AncientAssistant003_Name,グラネット,Granté
27,Npc_AncientAssistant004_Name,ジェリン,Jerrin
28,Npc_AncientDoctor_Hateno_Name,ロベリー,Robbie
29,Npc_AncientDoctor_Name,プルア,Purah
30,Npc_Assassin_001_Name,旅人,Traveler
31,Npc_Assassin_002_Name,旅人,Traveler
32,Npc_Assassin_003_Name,旅人,Traveler
33,Npc_Assassin_004_Name,旅人,Traveler
34,Npc_Assassin_005_Name,旅人,Traveler
35,Npc_Assassin_006_Name,旅人,Traveler
36,Npc_Assassin_007_Name,旅人,Traveler
37,Npc_Assassin_008_Name,旅人,Traveler
38,Npc_Assassin_009_Name,旅人,Traveler
39,Npc_Assassin_010_Name,旅人,Traveler
40,Npc_Attacked_001_Name,リーキ,Leekah
41,Npc_Attacked_002_Name,ディル,Dillie
42,Npc_Attacked_003_Name,ガノレー,Regan
43,Npc_Attacked_004_Name,イムタ,Tye
44,Npc_Attacked_005_Name,チャビー,Chabi
45,Npc_Attacked_006_Name,ニルヴァー,Mils
46,Npc_Attacked_007_Name,ジョラム,Jora
47,Npc_Attacked_008_Name,ナツ,Nat
48,Npc_Attacked_009_Name,メグ,Meghyn
49,Npc_Attacked_010_Name,オゼーユ,Sorelia
50,Npc_Attacked_011_Name,トンミ,Mina
51,Npc_Attacked_012_Name,ネルフェン,Nell
52,Npc_Bottle_Mes001_Name,ササノ,Sasan
53,Npc_Bowling_Name,ポンド,Pondo
54,Npc_Challenge093Lady_Name,オコバ,Magda
55,Npc_DeathEastHatago_001_Name,オッズ,Ozunda
