#,Title,JPja,USen
1,Animal_Bear_A_Name,ハチクイグマ,Honeyvore Bear
2,Animal_Bear_A_PictureBook,"ベテランの狩人さえも手出しを避ける動物の王者
うっかり縄張りに入ってしまうと
武器を持った人間でも関係なく襲われる
その名の通り好物はハチミツ
危険度は高いが うまく注意を逸らせて近づければ
背中に乗ることができるかもしれない","This king among animals is dangerous game
for even the most seasoned hunters. They'll
attack anyone who wanders into their territory
regardless of the wanderer's weaponry. As
their name implies, they have a natural love
of honey. Extreme caution is advised when
you spot one, but if you're sneaky enough
and maybe just a little bit crazy...
you just may be able to ride one."
3,Animal_Bear_B_Name,コウテイヒグマ,Grizzlemaw Bear
4,Animal_Bear_B_PictureBook,"灰色の体毛を持つハチクイグマの仲間
より凶暴な性格と強靭な体躯を持つため
野生動物の中で最も危険な存在と言える
人里から離れた雪深い地域に住むため
遭遇する機会は少ないといわれているが
見かけた場合は うかつに手を出さない方が良い","This breed of honeyvore bear is distinguished
by its gray fur. Even more ferocious than their
relatives, they're commonly believed to be
the most dangerous wild animal. They live
in deep snow away from villages, so it's
uncommon to encounter one. That said, if
you do find one, you'd be better off not
picking a fight with it."
5,Animal_Boar_A_Name,モリイノシシ,Woodland Boar
6,Animal_Boar_A_PictureBook,"ハイラル全土に生息する中型のケモノ
森や草原で餌を探してる姿が よく見かけられる
基本的に性格は大人しいが近づき過ぎると 
猛スピードで突進してくることもあるので注意","These medium-sized beasts can be found all
throughout Hyrule. You can most often find
them foraging for food in forests or meadows.
Although usually docile, they won't hesitate
to charge you full force if you get too close."
7,Animal_Boar_B_Name,キバアカイノシシ,Red-Tusked Boar
8,Animal_Boar_B_PictureBook,"黒い体毛と赤い牙が特徴のイノシシ
生態は普通のイノシシと似ているが
生命力が高く突進の威力も高いため
狩るときには より危険を伴う覚悟が必要である","These boars are known for their red tusks and
black fur. They're similar to your average
boars but are considerably stronger. Extra
caution is advised when hunting these."
9,Animal_Bull_A_Name,シツゲンスイギュウ,Water Buffalo
10,Animal_Bull_A_PictureBook,"大きくたくましい角を持った野生のウシ
水辺を好み その周囲の草を食べて生活する
村で飼われている家畜のハテノウシは
このシツゲンスイギュウを品種改良したもの
質のよい肉が取れるため狩りの対象となりやすい","These wild cows come equipped with big,
strong horns. They live off grass that grows
near the waterfront. Their meat is considered
to be high quality, so they're a common target
among hunters. Fun fact: the domesticated
Hateno cow, often raised in villages, was bred
through selective breeding using these."
11,Animal_Cassowary_A_Name,オルディンダチョウ,Eldin Ostrich
12,Animal_Cassowary_A_PictureBook,"オルディン地方の火山地帯に生息する大型の鳥
火山という過酷な環境に適応する形で進化し
羽毛や皮膚が高い耐火性能を持っている
翼は小さく飛ぶことができない鳥だが
脚がとても発達しており走るのが速い","This large bird makes its home in the volcanic
region of Eldin. Their heat-resistant feathers
and skin are evolutionary traits produced by
the harsh environment. Their wings are too
small to facilitate flight, but their long legs
make them pretty speedy runners."
13,Animal_Cow_A_Name,ハテノウシ,Hateno Cow
14,Animal_Cow_A_PictureBook,"ミルクを取るために家畜として飼われているウシ
ハテノ村が原産と言われている
シツゲンスイギュウに比べて角も小さく
性格も穏やかで飼育しやすい
角に色鮮やかな飾りを付けて放牧される","Originating in Hateno Village, these cows are
kept as livestock primarily for their milk. Their
horns are smaller than a water buffalo's, and
they're much more docile and therefore
easier to raise. Their horns are decorated
with bright colors when taken out to pasture."
15,Animal_Crow_A_Name,ヤマガラス,Mountain Crow
16,Animal_Crow_A_PictureBook,"とても賢い鳥鳴き声が特徴的
山岳部だけでなく森や人里にも生息しており
人間の隙を見て農作物を荒らす事もある
その真っ黒な羽毛の印象からも
不吉な物として毛嫌いされる事が多い","This bird is known for its cleverness and for
its distinct claws. They make their homes in
mountains, forests, and villages alike. Not
only are their jet-black feathers seen as an
ill omen, but they'll steal the crops right out
of a farmer's hands if given the chance.
Because of this, they're often met with enmity."
17,Animal_Deer_A_Name,ヤマシカ,Mountain Buck
18,Animal_Deer_A_PictureBook,"森の奥で見かけることが多い雄のシカ
枝分かれした大きな角を持つのが特徴
身の危険を感じると この角を振るう事もある
用心深い性格のため近づく事は難しいが
うまく捕まえる事ができれば 
乗りこなせるかもしれない","These male deer are usually found deep in
the forest. They're well known for their huge,
branching antlers, which they'll swing in self-
defense if threatened. Deer are cautious by
nature so it can be tricky getting close, but
if you can capture one, you may be able to
take it for a ride."
19,Animal_Doe_A_Name,ヤマシカ（雌）,Mountain Doe
20,Animal_Doe_A_PictureBook,"雄と一緒にいることが多い雌ジカ
雌は角を持たず体格もやや小さい
警戒心がとても強い動物だが
好物であるリンゴなどの果実を
食べている時は その警戒が弱まるため 
狩りや捕獲のチャンスとなる","These female deer are often found alongside
a male. They're very timid animals by nature,
but they tend to let their guard down when
eating apples, a favorite food. This tidbit
of information can be useful to hunters."
21,Animal_Dog_A_Name,ハイリア犬,Hylian Retriever
