#,Title,JPja,USen
1,Weapon_Lsword_001_Desc,"各地を旅する冒険者が愛用する両手持ちの剣
魔物との戦いではその重さを生かし
敵の構えた盾を吹き飛ばすことができる","A basic two-handed sword often
wielded by aspiring adventurers.
Its immense weight can knock enemies'
shields right out of their hands."
2,Weapon_Lsword_001_Name,旅人の両手剣,Traveler's Claymore
3,Weapon_Lsword_001_PictureBook,"各地を旅する冒険者が愛用する両手持ちの剣
魔物との戦いではその重さを生かし
敵の構えた盾を吹き飛ばすことができる","A basic two-handed sword often
wielded by aspiring adventurers.
Its immense weight can knock enemies'
shields right out of their hands."
4,Weapon_Lsword_002_Desc,"戦闘用に改良された両手剣
大きく重いので扱いはむずかしいが
頑丈な作りで長く戦うことができる","A two-handed sword designed for combat.
It's heavy and hard to use but has decent
build quality and durability."
5,Weapon_Lsword_002_Name,兵士の両手剣,Soldier's Claymore
6,Weapon_Lsword_002_PictureBook,"戦闘用に改良された両手剣
大きく重いので扱いはむずかしいが
頑丈な作りで長く戦うことができる","A two-handed sword designed for combat.
It's heavy and hard to use but has decent
build quality and durability."
7,Weapon_Lsword_003_Desc,"ハイラル城を守っていた騎士の中でも
特に力に自信がある者が携えていた大剣
刃の切れ味も洗練されている","Only the most confident of Hyrule Castle's
knights carried this two-handed sword. Its
cutting edge is finely honed."
8,Weapon_Lsword_003_Name,騎士の両手剣,Knight's Claymore
9,Weapon_Lsword_003_PictureBook,"ハイラル城を守っていた騎士の中でも
特に力に自信がある者が携えていた大剣
刃の切れ味も洗練されている","Only the most confident of Hyrule Castle's
knights carried this two-handed sword. Its
cutting edge is finely honed."
10,Weapon_Lsword_004_Desc,"ボコブリンが本能のままに作った無骨なこん棒
当たり所によっては かなりの威力で
構えた盾を吹っ飛ばすことができる","A clunky club made by a Bokoblin. If you
swing it at an enemy's shield, it may be
able to knock the shield out of your
foe's hand."
11,Weapon_Lsword_004_Name,ボコバット,Boko Bat
12,Weapon_Lsword_004_PictureBook,"ボコブリンが本能のままに作った無骨なこん棒
当たり所によっては かなりの威力で
構えた盾を吹っ飛ばすことができる","A clunky club made by a Bokoblin. If you
swing it at an enemy's shield, it may be
able to knock the shield out of your
foe's hand."
13,Weapon_Lsword_005_Desc,"ボコブリンが攻撃力を高める工夫として
動物の骨で作ったトゲを付け足したボコバット
実際直撃すると結構なダメージを受ける","After much consideration by Bokoblins on
how to improve the Boko bat, they simply
attached sharp spikes to it. A skilled fighter
can cause immense damage with this."
14,Weapon_Lsword_005_Name,トゲボコバット,Spiked Boko Bat
15,Weapon_Lsword_005_PictureBook,"ボコブリンが攻撃力を高める工夫として
動物の骨で作ったトゲを付け足したボコバット
実際直撃すると結構なダメージを受ける","After much consideration by Bokoblins on
how to improve the Boko bat, they simply
attached sharp spikes to it. A skilled fighter
can cause immense damage with this."
16,Weapon_Lsword_006_Desc,"ボコバットに化石の骨を組み合わせた こん棒
強敵を殴り倒すのに十分な強度と攻撃力を持つ
ボコブリンの中でも一部の猛者だけが手にする","Used by only the toughest Bokoblin warriors,
this Boko bat has been fortified by fossilized
bone. It boasts a high durability and is strong
enough to beat down powerful foes."
17,Weapon_Lsword_006_Name,竜骨ボコバット,Dragonbone Boko Bat
18,Weapon_Lsword_006_PictureBook,"ボコバットに化石の骨を組み合わせた こん棒
強敵を殴り倒すのに十分な強度と攻撃力を持つ
ボコブリンの中でも一部の猛者だけが手にする","Used by only the toughest Bokoblin warriors,
this Boko bat has been fortified by fossilized
bone. It boasts a high durability and is strong
enough to beat down powerful foes."
19,Weapon_Lsword_010_Desc,"モリブリンが好んで使う簡素なこん棒
硬い木を材料に作られているが
雑な作りなため すぐに壊れてしまう","A crudely fashioned club favored by Moblins.
It's carved from a sturdy tree but is sloppily
made, so it breaks easily."
20,Weapon_Lsword_010_Name,モリブリンバット,Moblin Club
21,Weapon_Lsword_010_PictureBook,"モリブリンが好んで使う簡素なこん棒
硬い木を材料に作られているが
雑な作りなため すぐに壊れてしまう","A crudely fashioned club favored by Moblins.
It's carved from a sturdy tree but is sloppily
made, so it breaks easily."
22,Weapon_Lsword_011_Desc,"改良されたモリブリンの両手武器
殴りつける面に動物の骨がくくりつけられており
相手に与えるダメージが格段に高まった","Animal bone has been affixed to this
Moblin club to greatly improve its damage."
23,Weapon_Lsword_011_Name,トゲモリブリンバット,Spiked Moblin Club
24,Weapon_Lsword_011_PictureBook,"改良されたモリブリンの両手武器
殴りつける面に動物の骨がくくりつけられており
相手に与えるダメージが格段に高まった","Animal bone has been affixed to this
Moblin club to greatly improve its damage."
25,Weapon_Lsword_012_Desc,"太古の獣の骨を取り付けた モリブリンバット
斧のように先端に重心がある作りになっており
これを扱えるモリブリンは戦い慣れていて危険","The bone of an ancient beast has been
affixed to this Moblin club, further increasing
its damage. Moblins carrying these in battle
are particularly dangerous."
26,Weapon_Lsword_012_Name,竜骨モリブリンバット,Dragonbone Moblin Club
27,Weapon_Lsword_012_PictureBook,"太古の獣の骨を取り付けた モリブリンバット
斧のように先端に重心がある作りになっており
これを扱えるモリブリンは戦い慣れていて危険","The bone of an ancient beast has been
affixed to this Moblin club, further increasing
its damage. Moblins carrying these in battle
are particularly dangerous."
28,Weapon_Lsword_013_Desc,"小型ガーディアンが装備する武器
幅広で薄い刀身は古代の力によって作られており
高い攻撃力を持つが構造的に壊れやすい","A weapon used by Guardian Scouts.
Its unique blade was forged using ancient
technology. Although powerful, its unusual
shape causes it to break easily."
29,Weapon_Lsword_013_Name,ガーディアンアクス,Ancient Battle Axe
30,Weapon_Lsword_013_PictureBook,"小型ガーディアンが装備する武器
幅広で薄い刀身は古代の力によって作られており
高い攻撃力を持つが構造的に壊れやすい","A weapon used by Guardian Scouts.
Its unique blade was forged using ancient
technology. Although powerful, its unusual
shape causes it to break easily."
31,Weapon_Lsword_014_Desc,"出力強化されたガーディアンアクス
この武器には戦闘だけでなく障害物を焼き切り
進路を確保する用途があったと考えられている","This ancient battle axe's damage output
has been increased to maximum. It's sharp
enough to cut through almost anything, so
it may have been used to forge new routes."
32,Weapon_Lsword_014_Name,ガーディアンアクス+,Ancient Battle Axe+
33,Weapon_Lsword_014_PictureBook,"出力強化されたガーディアンアクス
この武器には戦闘だけでなく障害物を焼き切り
進路を確保する用途があったと考えられている","This ancient battle axe's damage output
has been increased to maximum. It's sharp
enough to cut through almost anything, so
it may have been used to forge new routes."
34,Weapon_Lsword_015_Desc,"敵を一撃で両断するために最大限まで出力が
強化されたガーディアンアクス金属製の武器では
出しにくい高い切断力を古代技術が実現している","This ancient battle axe's damage output is
scaled up to peak performance. Ancient
technology makes it possible to enhance
cutting power beyond metal weapons' limits."
35,Weapon_Lsword_015_Name,ガーディアンアクス++,Ancient Battle Axe++
36,Weapon_Lsword_015_PictureBook,"敵を一撃で両断するために最大限まで出力が
強化されたガーディアンアクス金属製の武器では
出しにくい高い切断力を古代技術が実現している","This ancient battle axe's damage output is
scaled up to peak performance. Ancient
technology makes it possible to enhance
cutting power beyond metal weapons' limits."
37,Weapon_Lsword_016_Desc,"ライネルが携える両手武器剣というより 
ただの金属の塊と言った方が良いが ライネルの
力で振られると大抵の物を粉砕する凶器となる","This two-handed weapon is favored by the
Lynels. It may be more accurate to call it a
lump of metal than a weapon, but if wielded
by a Lynel, it can pound you into a fine dust."
38,Weapon_Lsword_016_Name,ライネルの大剣,Lynel Crusher
39,Weapon_Lsword_016_PictureBook,"ライネルが携える両手武器剣というより 
ただの金属の塊と言った方が良いが ライネルの
力で振られると大抵の物を粉砕する凶器となる","This two-handed weapon is favored by the
Lynels. It may be more accurate to call it a
lump of metal than a weapon, but if wielded
by a Lynel, it can pound you into a fine dust."
40,Weapon_Lsword_017_Desc,"硬度の高い金属が先端に取り付けられ
打撃力と耐久性が増した ライネルの両手武器
圧倒的な重量で盾や鎧ごと敵を叩き潰す","This Lynel-made two-handed weapon has
been reinforced to increase its durability
and striking power. Its overwhelming heft
will crush your foe, shield and all."
41,Weapon_Lsword_017_Name,獣王の大剣,Mighty Lynel Crusher
