#,Title,JPja,USen
1,Weapon_Shield_001_Desc,"軽量な木材から作られているため
戦闘初心者でも扱いやすい盾
矢などの軽い攻撃なら受ける事ができる","This lightweight, simple shield is ideal for
less-experienced fighters. It can withstand
light attacks, but blocking stronger blows
is not recommended."
2,Weapon_Shield_001_Name,木の盾,Wooden Shield
3,Weapon_Shield_001_PictureBook,"軽量な木材から作られているため
戦闘初心者でも扱いやすい盾
矢などの軽い攻撃なら受ける事ができる","This lightweight, simple shield is ideal for
less-experienced fighters. It can withstand
light attacks, but blocking stronger blows
is not recommended."
4,Weapon_Shield_002_Desc,"かつて城を守る兵士に支給された盾
木でできているので軽くて使いやすいが
火が付くと燃えてしまうので注意","A shield once used by the guards of Hyrule
Castle. It's easy to handle, but its core is 
made of wood, so it can catch fire."
5,Weapon_Shield_002_Name,兵士の盾,Soldier’s Shield
6,Weapon_Shield_002_PictureBook,"かつて城を守る兵士に支給された盾
木でできているので軽くて使いやすいが
火が付くと燃えてしまうので注意","A shield once used by the guards of Hyrule
Castle. It's easy to handle, but its core is 
made of wood, so it can catch fire."
7,Weapon_Shield_003_Desc,"ハイラル王家に仕えた騎士が使っていた盾
金属製の頑丈な作りで激しい戦闘にも耐えられる
重量があるので扱いにはそれなりの腕前が必要","A shield favored by the knights who served
the Hyrulean royal family. Its sturdy metal
construction makes it quite durable, but
its weight requires decent skill to wield."
8,Weapon_Shield_003_Name,騎士の盾,Knight's Shield
9,Weapon_Shield_003_PictureBook,"ハイラル王家に仕えた騎士が使っていた盾
金属製の頑丈な作りで激しい戦闘にも耐えられる
重量があるので扱いにはそれなりの腕前が必要","A shield favored by the knights who served
the Hyrulean royal family. Its sturdy metal
construction makes it quite durable, but
its weight requires decent skill to wield."
10,Weapon_Shield_004_Desc,"落ちている適当な木の板に 
握り手を付けただけの ボコブリンの盾
耐久性も低く簡単に壊れてしまう","A Bokoblin-made shield created by attaching
a handhold to any flat tree bark picked up
off the ground. It's pretty shoddy, so don't
expect it to last very long."
11,Weapon_Shield_004_Name,ボコ盾,Boko Shield
12,Weapon_Shield_004_PictureBook,"落ちている適当な木の板に 
握り手を付けただけの ボコブリンの盾
耐久性も低く簡単に壊れてしまう","A Bokoblin-made shield created by attaching
a handhold to any flat tree bark picked up
off the ground. It's pretty shoddy, so don't
expect it to last very long."
13,Weapon_Shield_005_Desc,"少し硬い木で作られたボコブリンの盾
木の板に動物の骨をくくりつけて
強度を増してある","A Boko shield made of slightly stronger
wood and reinforced with animal bones."
14,Weapon_Shield_005_Name,トゲボコ盾,Spiked Boko Shield
15,Weapon_Shield_005_PictureBook,"少し硬い木で作られたボコブリンの盾
木の板に動物の骨をくくりつけて
強度を増してある","A Boko shield made of slightly stronger
wood and reinforced with animal bones."
16,Weapon_Shield_006_Desc,"化石の骨を縁に取り付けて補強されたボコ盾
敵の攻撃を受ける性能は改良されているが
作りは相変わらず雑で耐久性はそれほど高くない","This Boko shield is reinforced with fossilized
bone. Its defensive capabilities are
respectable, but its predictably slipshod
craftsmanship spells low durability."
17,Weapon_Shield_006_Name,竜骨ボコ盾,Dragonbone Boko Shield
18,Weapon_Shield_006_PictureBook,"化石の骨を縁に取り付けて補強されたボコ盾
敵の攻撃を受ける性能は改良されているが
作りは相変わらず雑で耐久性はそれほど高くない","This Boko shield is reinforced with fossilized
bone. Its defensive capabilities are
respectable, but its predictably slipshod
craftsmanship spells low durability."
19,Weapon_Shield_007_Desc,"リザルフォスが好んで使う盾
金属で作られているが荒っぽい作りを
しているため耐久性はそれほど高くない","A common shield found among the Lizalfos.
It's made of metal, but its sloppy
craftsmanship offers poor durability."
20,Weapon_Shield_007_Name,リザルシールド,Lizal Shield
21,Weapon_Shield_007_PictureBook,"リザルフォスが好んで使う盾
金属で作られているが荒っぽい作りを
しているため耐久性はそれほど高くない","A common shield found among the Lizalfos.
It's made of metal, but its sloppy
craftsmanship offers poor durability."
22,Weapon_Shield_008_Desc,"異なる種類の金属を組み合わせる事で
強度を上げたリザルシールド
縁がトゲトゲしているので扱いには注意","This Lizal shield has been strengthened by
adding a different type of metal to the mix.
The edge is lined with spikes, so handle
with care."
23,Weapon_Shield_008_Name,強化リザルシールド,Reinforced Lizal Shield
24,Weapon_Shield_008_PictureBook,"異なる種類の金属を組み合わせる事で
強度を上げたリザルシールド
縁がトゲトゲしているので扱いには注意","This Lizal shield has been strengthened by
adding a different type of metal to the mix.
The edge is lined with spikes, so handle
with care."
25,Weapon_Shield_009_Desc,"金属の装甲を何枚も重ねたリザルシールド
ガード性能は高いが重量があるため 
戦闘能力の高い個体だけが装備している","This Lizal shield is adorned with several
metal shells as a means of reinforcement.
Its defensive capabilities are high, but its
weight requires a skilled soldier to bear."
26,Weapon_Shield_009_Name,鋼鉄リザルシールド,Steel Lizal Shield
27,Weapon_Shield_009_PictureBook,"金属の装甲を何枚も重ねたリザルシールド
ガード性能は高いが重量があるため 
戦闘能力の高い個体だけが装備している","This Lizal shield is adorned with several
metal shells as a means of reinforcement.
Its defensive capabilities are high, but its
weight requires a skilled soldier to bear."
28,Weapon_Shield_013_Desc,"古代のシーカー族が用いた技術で作られた盾
小型ガーディアンが放つ程度の ビーム攻撃ならば
ガードするだけで反射する事ができる","A shield made with ancient Sheikah
technology. It can deflect a Guardian
Scout's beam."
29,Weapon_Shield_013_Name,ガーディアンガード,Guardian Shield
30,Weapon_Shield_013_PictureBook,"古代のシーカー族が用いた技術で作られた盾
小型ガーディアンが放つ程度の ビーム攻撃ならば
ガードするだけで反射する事ができる","A shield made with ancient Sheikah
technology. It can deflect a Guardian
Scout's beam."
31,Weapon_Shield_014_Desc,"出力が上がり大きくなったガーディアンガード
現代では失われた古の技術で作られており
金属製の盾に引けを取らない ガード性能を持つ","This larger version of a Guardian shield
has had its output level boosted. Its
defensive capabilities are comparable to
those of a metal shield's."
32,Weapon_Shield_014_Name,ガーディアンガード+,Guardian Shield+
33,Weapon_Shield_014_PictureBook,"出力が上がり大きくなったガーディアンガード
現代では失われた古の技術で作られており
金属製の盾に引けを取らない ガード性能を持つ","This larger version of a Guardian shield
has had its output level boosted. Its
defensive capabilities are comparable to
those of a metal shield's."
34,Weapon_Shield_015_Desc,"最大限まで出力が強化された古代の盾
金属製の盾では実現できない軽さと強さを持ち
小型ガーディアンのビームを反射する事もできる","The output level of this shield has been
boosted to maximum. Its combat capabilities
surpass those of metallic shields, and it
can deflect Guardian Scout beams."
35,Weapon_Shield_015_Name,ガーディアンガード++,Guardian Shield++
36,Weapon_Shield_015_PictureBook,"最大限まで出力が強化された古代の盾
金属製の盾では実現できない軽さと強さを持ち
小型ガーディアンのビームを反射する事もできる","The output level of this shield has been
boosted to maximum. Its combat capabilities
surpass those of metallic shields, and it
can deflect Guardian Scout beams."
37,Weapon_Shield_016_Desc,"ライネルが装備している金属製の頑強な盾
盾でありながら刃を持っているため 
それを利用して斬撃を繰り出す事ができる","A sturdy shield favored by Lynels for its
defensive and offensive capabilities. First
and foremost a shield, but the bladed edges
can deal slashing attacks when deflecting."
38,Weapon_Shield_016_Name,ライネルの盾,Lynel Shield
39,Weapon_Shield_016_PictureBook,"ライネルが装備している金属製の頑強な盾
盾でありながら刃を持っているため 
それを利用して斬撃を繰り出す事ができる","A sturdy shield favored by Lynels for its
defensive and offensive capabilities. First
and foremost a shield, but the bladed edges
can deal slashing attacks when deflecting."
40,Weapon_Shield_017_Desc,"装甲と刃が増えて攻防共に強化された
ライネルの盾縁に使われている刃は
簡単な防具ならば切り裂く鋭さを持つ","This Lynel-made shield has been reinforced
with armor and even more blades. Stronger
in both defense and offense, it can tear
through basic armor when deflecting."
41,Weapon_Shield_017_Name,獣王の盾,Mighty Lynel Shield
42,Weapon_Shield_017_PictureBook,"装甲と刃が増えて攻防共に強化された
ライネルの盾縁に使われている刃は
簡単な防具ならば切り裂く鋭さを持つ","This Lynel-made shield has been reinforced
with armor and even more blades. Stronger
in both defense and offense, it can tear
through basic armor when deflecting."
43,Weapon_Shield_018_Desc,"どんなに痛烈な攻撃も難なく防ぐガード性能と
強敵を断ち切る刃を併せ持つ究極の盾
白髪のライネルが好んで使用している","This ultimate Lynel shield is used only by the
white-haired Lynels. It excels at defending
against even the most brutal of attacks and
cutting down powerful foes when deflecting."
44,Weapon_Shield_018_Name,獣神の盾,Savage Lynel Shield
45,Weapon_Shield_018_PictureBook,"どんなに痛烈な攻撃も難なく防ぐガード性能と
強敵を断ち切る刃を併せ持つ究極の盾
白髪のライネルが好んで使用している","This ultimate Lynel shield is used only by the
white-haired Lynels. It excels at defending
against even the most brutal of attacks and
cutting down powerful foes when deflecting."
46,Weapon_Shield_021_Desc,"騎士が使っていたであろう金属製の古びた盾
長い間打ち捨てられて錆びている
防御性能は落ちているが それなりに使える","It's likely this rusty old shield once belonged
to a knight. It still has some defensive
capabilities, but its usefulness has been
worn down by time."
47,Weapon_Shield_021_Name,錆びた盾,Rusty Shield
48,Weapon_Shield_021_PictureBook,"騎士が使っていたであろう金属製の古びた盾
長い間打ち捨てられて錆びている
防御性能は落ちているが それなりに使える","It's likely this rusty old shield once belonged
to a knight. It still has some defensive
capabilities, but its usefulness has been
worn down by time."
