#,Title,JPja,USen
1,Weapon_Spear_001_Desc,"旅人がオオカミなどの野生動物から
身を守るために持ち歩く護身用の槍
握りやすく使い心地がよい","A spear used mainly by travelers to fend off
wolves and other beasts. It's easy to hold
and simple to use."
2,Weapon_Spear_001_Name,旅人の槍,Traveler's Spear
3,Weapon_Spear_001_PictureBook,"旅人がオオカミなどの野生動物から
身を守るために持ち歩く護身用の槍
握りやすく使い心地がよい","A spear used mainly by travelers to fend off
wolves and other beasts. It's easy to hold
and simple to use."
4,Weapon_Spear_002_Desc,"城の兵士が使っていた長槍
思い通りに振り回すには十分な鍛錬が必要
鉄の穂先は頑丈で火が付いても燃えない","A long spear once used by the guards of
Hyrule Castle. Easy to use but difficult to
master. The iron tip is very sturdy, and the
shaft will not burn when exposed to flame."
5,Weapon_Spear_002_Name,兵士の槍,Soldier's Spear
6,Weapon_Spear_002_PictureBook,"城の兵士が使っていた長槍
思い通りに振り回すには十分な鍛錬が必要
鉄の穂先は頑丈で火が付いても燃えない","A long spear once used by the guards of
Hyrule Castle. Easy to use but difficult to
master. The iron tip is very sturdy, and the
shaft will not burn when exposed to flame."
7,Weapon_Spear_003_Desc,"武器に熟練した騎士のために作られた槍
斧のような刃がついた槍頭が特徴的
馬上で扱う事も多かったと言われる","A spear used by knights adept in mounted
combat. The spearhead is modeled after
an axe."
8,Weapon_Spear_003_Name,騎士の槍,Knight's Halberd
9,Weapon_Spear_003_PictureBook,"武器に熟練した騎士のために作られた槍
斧のような刃がついた槍頭が特徴的
馬上で扱う事も多かったと言われる","A spear used by knights adept in mounted
combat. The spearhead is modeled after
an axe."
10,Weapon_Spear_004_Desc,"太い木の枝から乱暴に削り出された無骨な槍
肉や魚を刺して火であぶるのにも使うようだ","A spear haphazardly carved from a large tree
branch. It looks like its original intent was for
skewering meat and cooking it, but it does
have some combat merit as well."
11,Weapon_Spear_004_Name,ボコ槍,Boko Spear
12,Weapon_Spear_004_PictureBook,"太い木の枝から乱暴に削り出された無骨な槍
肉や魚を刺して火であぶるのにも使うようだ","A spear haphazardly carved from a large tree
branch. It looks like its original intent was for
skewering meat and cooking it, but it does
have some combat merit as well."
13,Weapon_Spear_005_Desc,"鋭い動物の骨を槍頭として使った ボコブリンの槍
金属の穂先を持つ槍より軽量で 
見かけより扱いやすい","A Boko spear enhanced with sharpened
animal bones. It's light, easy to use, and
deals a decent amount of damage."
14,Weapon_Spear_005_Name,トゲボコ槍,Spiked Boko Spear
15,Weapon_Spear_005_PictureBook,"鋭い動物の骨を槍頭として使った ボコブリンの槍
金属の穂先を持つ槍より軽量で 
見かけより扱いやすい","A Boko spear enhanced with sharpened
animal bones. It's light, easy to use, and
deals a decent amount of damage."
