#,Title,JPja,USen
1,"""0001""",塗ってます,It is!
2,"""0002""",塗ってません,Nope.
3,Npc_DungeonPriest_HeroGoronRelief_001,"よくぞ来た…

これより示すは其方の内なる力を高める
新たな試練の場所なり
努々侮ることなかれ…","I applaud your courage in coming here.


The locations that will be revealed to
you are of trials that will enhance
the power sleeping within.
Do not let your guard down..."
4,Npc_Musician_AoC_HeroGoronRelief_000,"なんと！
この灼熱の地で人にお会いするとは…","What's this?A traveler in the land
of flames?"
5,Npc_Musician_AoC_HeroGoronRelief_100,"♪炎の如く這い回りしは""紅き火山のルーダニア
繰り手にならんとするは""熱き英傑","♪Crawling flameon a mighty peak.
Rudania's Champion,never weak.♪"
6,Npc_Musician_AoC_HeroGoronRelief_101,"聖なる力""高めるべしとの声を聞き
石碑に刻まれし""試練の地を巡らん","♪The hero's powershall grow.
Seek trialsmonuments show.♪"
7,Npc_Musician_AoC_HeroGoronRelief_102,"もしや あなたも…
私と同様燃えず薬を塗っているのですか？","It must be...that you applied an ample
amount offireproof elixir, just as I did.
Is that so?"
8,Npc_Musician_AoC_HeroGoronRelief_103,"なんと… あなたはゴロン族のように
熱さに強いのですね！
私などは燃えず薬を塗らなければ
たちまち焼きと…","How about that! You must have a natural
ability to withstand intense heat, just like
theGorons!
As for me, if I don't usefireproof elixir,
I go from a bard to a baked bird!"
9,Npc_Musician_AoC_HeroGoronRelief_104,"やはり そうでしたか！

私などは もし燃えず薬を塗らなければ
たちまち焼きと…","Yes, I knew it!


I'm in the same boat, friend. If I don't
usefireproof elixir, I go from a bard
to a baked bird!"
10,Npc_Musician_AoC_HeroGoronRelief_105,"ああ…師匠もこの場所で
詩を思索したのでしょうか…","*sigh* I wonder if my teacher ever
contemplated this very song at this
very spot..."
11,Npc_Musician_AoC_HeroGoronRelief_106,"師匠が完成させていた…
試練に挑みし英傑ダルケルの章
お聴きください","The song my teacher left behind...
There'sa verseabout the trials that
Champion Darukovercame.
Allow me to sing it for you..."
12,Npc_Musician_AoC_HeroGoronRelief_107,"この熱さは大丈夫なのですか？
他人事ながら少し心配です","Are you truly able to withstand the heat?
I know it's not my business, but I'm
rather concerned."
13,Npc_Musician_AoC_HeroGoronRelief_108,"一つは""巨大な燃える岩石に打ち勝ち
一つは""火山に架かりし光輪をくぐり","♪One,stop a titan of molten stone.
Two,follow rings of light alone.♪"
14,Npc_Musician_AoC_HeroGoronRelief_109,"一つは""溶岩の上にその身を立たせ
聖なる力を高めし英傑""次なる試練に挑まん","♪Three,survive lava's fiery fate.
Champion,trials await!♪"
15,Npc_Musician_AoC_HeroGoronRelief_201,100年前の英傑たちの勇姿が目に浮かびます…,"I can imagine it vividly...the Champion's
vigilance from 100 years ago."
16,Npc_Musician_AoC_HeroGoronRelief_202,"師匠が言っていました
よい詩を作るには旅に出て人に会いなさいと","My teacher always advised that, to write
good songs, one must travel the world
and meet lots of people."
17,Npc_Musician_AoC_HeroGoronRelief_203,"私はそれに倣い今こうして
様々な人たちに会って話を聞いています
ゴロンシティでは英傑にお詳しい
ユン坊とブルドーという方に会えました
お二人は実に興味深い話を
聞かせてくれましたよ","That is why I spend my days afoot,
talking to anyone who will listen.

I was lucky enough to meet withYunobo
andBludo inGoron City, both of whom
knew much about the Goron Champion.
They regaled me with some rather
interesting stories!"
18,Npc_Musician_AoC_HeroGoronRelief_204,"彼らから聞いた話は
重要な章の詩作りに大いに役立つでしょう","I'm certain the stories they shared will
help greatly in my efforts to accurately
write the song'skey verses."
