#,Title,JPja,USen
1,"""0000""",ダルケルのこと教えて,Tell me about Daruk.
2,"""0001""",ユン坊はどこ？,Where's Yunobo?
3,"""0002""",さようなら,See ya.
4,"""0003""",他のことが聞きたい,Tell me somethin'.
5,"""0004""",退魔の剣って？,Legendary sword?
6,"""0005""",巨岩砕きって？,Boulder Breaker?
7,"""0006""",ルーダニアは？,Where's Rudania?
8,"""0007""",ダルケルのこと教えて,Tell me about Daruk.
9,"""0008""",さようなら,Good-bye.
10,"""0009""",他のことが聞きたい,Tell me somethin'.
11,"""0010""",ゴロ？,Umm...
12,"""0011""",ルーダニアは？,Rudania?
13,"""0012""",ダルケルの護りについて,Daruk's Protection?
14,"""0013""",ブルドーは？,Where's Bludo?
15,"""0014""",日記？,Training journal?
16,"""0015""",何のために？,...Why?
17,"""0020""",縁の地巡り？,Daruk's turf?
18,Npc_Gaman01_DLC2nd_Near00,ここでダルケル様が…,Lord Daruk trained here...
19,Npc_Gaman01_DLC2nd_Talk00,"ゴロン族の英傑""ダルケル様が なぜここを
修行の場所に選んだか知っているか？！
オレたち ド根性三兄弟は
その答えを身をもって確かめるゴロ！
ダルケル様が お強くなられたのは
ここでの厳しいトレーニングがあったればこそ
ダルケル様のような強く熱いオトコを目指す
オレたち三兄弟には避けて通れぬ道ゴロ！","Do ya know why Champion Daruk
chose this place to train, brother?

...Neither do we! But us Goron Blood
Brothers are gonna find out by
completing the training ourselves!
I'm sure this is some part of Lord Daruk's
secret Goron champ training. Intense!

We're gonna do all we can to be mighty
Gorons just like Lord Daruk!

It's the only possible path for the
Goron Blood Brothers!"
20,Npc_Gaman01_DLC2nd_Talk01,マーッスル！,"PUMP IT UP, BROTHER!"
21,Npc_Gaman01_DLC2nd_Talk02,"マーッスル！オマエはガマンくらべとド根性ガケの
トレーニングをクリアした四人目の兄弟ゴロ！","PUMP IT UP, BROTHER!Oh! It's the fourth Goron Blood Brother!
The one who beat both the contest of
endurance and our Gut Check Challenge!"
22,Npc_Gaman01_DLC2nd_Talk03,マーッスル！ガマンくらべを耐えたオトコよ よく来たゴロ！,"PUMP IT UP, BROTHER!Hey there! It's the little man who
survived the contest of endurance!
Welcome back!"
23,Npc_Gaman01_DLC2nd_Talk04,"マーッスル！おお！ オマエはド根性ガケのトレーニングを
達成した四人目の兄弟！","PUMP IT UP, BROTHER!Ah! It's the fourth Goron Blood Brother!
He who somehow survived our famous
Gut Check Challenge!"
24,Npc_Gaman01_DLC2nd_Talk05,"マーッスル！ん？！ オマエはガマンくらべもド根性ガケの
トレーニングも途中のオトコ！","PUMP IT UP, BROTHER!Hm? Aren't you the little man who's
training for the contest of endurance
and Gut Check Challenge?"
