#,Title,JPja,USen
1,"""0000""",ミファーのことが聞きたい,Tell me about Mipha.
2,"""0001""",さよなら,Farewell!
3,"""0002""",試練のことを教えて,Tell me about the trial.
4,"""0003""",日記？,Mipha's Diary?
5,Npc_Zora001_SD_000,"おお""英傑様ではありませんか！
こんな所で お会いするとは！
今私はムズリ殿の護衛で
ここに来ているんですよ
何でもこの場所にミファー様が受けた
試練があったとのことで…
詳しい話はムズリ殿から
聞かれると良いでしょう","Oh! It's the Champion, Master Link!
How are things?

As for me, I'm here to protect Sir Muzu.


I hear at this very location...is a trial that
Princess Mipha herself challenged!

If you want more information,
please talk to Sir Muzu."
6,Npc_Zora001_SD_100,"ここまで来るのは大変でした…
道中魔物に何度襲われたことか…
でも ムズリ殿は「シド王子の役に立たねば」
と張り切っていましたよ","It was a nuisance to get here...
Monsters came out and attacked
us countless times...
But Sir Muzu was determined. He kept
mumbling to himself, \""I must prove
my usefulness to Prince Sidon.\"""
7,Npc_Zora001_SD_200,"ムズリ殿から
帰り支度を整えるように言われましたが…
また あの道のりを考えると辛いですね…","Sir Muzu said to pack up and prepare to
return home.

Yeesh, but even just thinking about
treading the path we took here again
makes me miserable..."
8,Npc_Zora001_SD_300,"ゾーラの里の外に出ていたのですが
まだまだ危険が多いですね
私も里の警備に力を入れますよ！","I was just outside Zora's Domain, but it
still seems pretty dangerous out there.

I'll have to make sure I'm extra alert
when guarding the domain!"
9,Npc_Zora001_SD_301,"ムズリ殿は「シド王子の役に立てた」
と喜んでおられましたよ","I overheard Sir Muzu mumble, \""I finally
proved my usefulness to Prince Sidon.\"" 
He seemed very happy about it."
10,Npc_Zora003_SD_000,"リンク何かに困ったら
いつでも この里に来るがよい
どんな時でも一族全員で歓迎するゾヨ！

さっそくだが…
何か力になれることはあるゾヨか？","If you ever run into trouble, know that
you are always welcome here.

No matter the time, we shall all greet
you with open fins!

Now then... Is there anything I can
help you with?"
11,Npc_Zora003_SD_010,"フム いいゾヨ… ソナタにミファーのことを
聞いてもらうのも あの子への供養ゾヨ
ミファーは昔から気立てが優しくてな…""里の者
旅の者…分け隔てなく親切にする子だったゾヨ
ソナタが幼き頃 ここを訪れた時も
まるで もう一人の弟のように可愛がっておった
だが ハイリア人はワシらより成長が早い
やがてあの子は ソナタを見上げるようになり…
ミファーの日記にも書いてあったように…
ソナタを慕うように なっていったゾヨ
ゾーラの姫がハイリア人の剣士に恋い焦がれる…
我らの伝説にも そんな話があったゾヨ
だからワシは いつかソナタとミファーが
夫婦となるならば それも良しと思っておった…
残念ゾヨ…","Yes, of course you wish to hear about
our dear Mipha. I am sure it would bring
her peace to know she is on your mind.
Mipha was always kind, from the day she
was born. She was equally as kind to her
own as she was to complete strangers.
When you first took to visiting us,
back when you were but a child,
she adored you like a brother.
However, as you know, Hylians age much
faster than us. Eventually you grew so
much, she began to look up to you...
As Mipha's Diary plainly states...it was
not long before she developed strong
feelings for you.
A Zora princess falling in love with a
Hylian swordsman...

It reminds me of a Zora legend of old.
That is why I welcomed the idea of you
and Mipha becoming husband and wife.
It is a shame you two never had the
chance to see what might have been..."
12,Npc_Zora003_SD_015,"ウム最近見つかったゾヨ… ワシは嬉しくてな
ミファーの日記はそこの机に置いてあるゾヨ
…ソナタなら読んでも良いゾヨ
ミファーも きっと許してくれると思うゾヨ","Ah, of course. Mipha's Diary was found
just recently. Its discovery brought me
much joy. It is on that table over there.
I do not mind if you choose to
read it. I am sure Mipha would
forgive you anything."
13,Npc_Zora003_SD_020,"何かに困ったら いつでも来るが良い
ソナタは もはや家族のようなものゾヨ","If you need anything, please know that
I am always here for you. After all...
we are practically family."
14,Npc_Zora003_SD_100,"ワシが力になれる事なら
何でも言うゾヨ","If you need anything, I am ever at
your disposal."
