#,Title,JPja,USen
1,"""0000""",聴かせて,"Yes, please!"
2,"""0001""",今はいい,Not now.
3,"""0003""",あなたは…？,You're a traveler?
4,"""0004""",そうしましょう,Let's!
5,"""0007""",未完の詩？,Unfinished song?
6,Npc_Musician_AoC_HeroXxxx_Demo610_010,"何か光ったような気がしたが
うーむ…錯覚だろうか…","What was that...flash of light?
Perhaps it was my imagination
playing tricks on me."
7,Npc_Musician_AoC_HeroXxxx_Demo610_020,"石碑が確かに光った…
私の錯覚などではなかったか","Did that stone monument just start
glowing? I suppose that proves
I didn't imagine it the first time."
8,Npc_Musician_AoC_HeroXxxx_Demo610_030,"1万年もの時間を湛えるこの石碑…
一体何を示すのか…","This stone monument has survived
for 10,000 years. What secrets does
it hold..."
9,Npc_Musician_AoC_HeroXxxx_Demo610_040,"もしや この光…

訪れた者に反応している？
それは私なのか あるいは……","That light...


Is it a reaction to someone nearby?
Is it me...or is it..."
10,Npc_Musician_AoC_HeroXxxx_Demo610_First_010,"…ん？ お腰のそれは？

いや初めてお会いする方に
余計な詮索でしたね","Hm? That thing on your waist...


Oh, never mind. I suppose it's none of
my business, especially as this is our
first meeting."
11,Npc_Musician_AoC_HeroXxxx_Demo610_First_020,"それはそうと旅の者同士…
少しお話でもしませんか？","One thing is clear...we are both travelers.
So, fellow traveler, would you care to
chat a bit?"
12,Npc_Musician_AoC_HeroXxxx_Demo610_First_030,"古の詩に縁のある場所で お会いした時には
詠って差し上げたいと思います
…おっと いけない","Should we ever meet at a location
mentioned in an ancient song,
I would love to sing for you.
Oh... I almost forgot."
13,Npc_Musician_AoC_HeroXxxx_Demo610_First_050,"そうなんです
詩は ほぼ完成していたのですが…","Yes. The song is mostly complete.
However..."
14,Npc_Musician_AoC_HeroXxxx_Demo610_First_060,"残念ながら重要な章を作り終える前に
師匠は この世を去りました
私は その章を紡ぎたいと考え…

彼が残した詩に登場する地を
巡る事にしたのです","My teacher left this world without
finishing the key verses.

I wish to weave the missing pieces
together and finish the song.

That's why I'm roaming the areas
mentioned in the lyrics."
15,Npc_Musician_AoC_HeroXxxx_Demo610_HeroBallad_001,"…いかがです？
試練に挑みし英傑の章でした","...So? Did the verse move you?
It was written in honor of the
Champion challenging the trial."
16,Npc_Musician_AoC_HeroXxxx_Demo610_HeroBallad_002,"…いかがでしたか？

各地で英傑たちの事を聞いて回ったおかげで
重要な章の完成が少し見えてきました","...So? Did it move you?


By asking around about the Champions
of each region, I'm starting to piece
together the key verses of the song."
17,Npc_Musician_AoC_HeroXxxx_Demo610_HeroBallad_003,"…いかがでしたか？

英傑たちの伝説を聞き重ねた事で理解が深まり
重要な章の創作が進みました","...So? Did it move you?


By steeping myself in legends of the
Champions, I'm beginning to form a
deeper understanding of them.
This will prove invaluable in writing
the key verses of the song."
18,Npc_Musician_AoC_HeroXxxx_Demo610_HeroBallad_004,"…いかがでしたか？

英傑たちを深く理解したことで
もう少しで重要な章が完成しそうです","...So? Did it move you?


By understanding the true natures of
the Champions, I'm closer than ever
to completing those key verses."
19,Npc_Musician_AoC_HeroXxxx_Demo610_HeroFirst_011,いや やめておきましょう,"Well, never mind my musings."
20,Npc_Musician_AoC_HeroXxxx_Demo610_Relief_001,"そんな事よりも この石碑…
いや驚きました
師匠の未完の詩に出てくる石碑が
今まさに目の前に…","This monument... I must admit
it has taken me by surprise!

My teacher's unfinished song mentions
such monuments, and now one has
appeared before my eyes..."
