#,Title,JPja,USen
1,"""0002""",いいよ,OK.
2,"""0003""",待って,Wait...
3,"""0005""",心が大事,Love reigns supreme.
4,"""0006""",はい,Yes.
5,"""0007""",いいえ,No.
6,"""0011""",その通り,That's right.
7,"""0012""",旅の者です,I'm a traveler.
8,"""0013""",ボトルを見失った,I can't see the letter.
9,"""0014""",ボトルって？,A letter?
10,"""0015""",きみは？,Who are you?
11,"""0016""",何でも無い,It's nothing.
12,"""0017""",結構ある,It's a long ways.
13,"""0018""",それほどでも,It's not that far.
14,"""0019""",頑張ってね,Good luck with that.
15,"""0020""",しょうがないなぁ,Fine...
16,near01,彼へと……,Find him...
17,near03,くぷぷっ！,Tee hee!
18,talk00,"私の想いを…""彼へ届けて…",Carry my thoughts...to him...
19,talk01,"あら…
アナタも水の妖精へ お願いに？
…違うわねだってボトルを持っていないもの

ひょっとして アナタって…
水の妖精の使者？","Hm? Do you have a wish for the water
fairy too?

Oh... I suppose not. If you did,
you'd have a letter to send.

But wait, does that mean you're...
a servant of the water fairy?!"
20,talk02,"だったら お願いがあるんです！

今から流すメッセージボトルを追いかけて
ボトルを手にした人に会ってきて欲しいんです
そして彼がどんな人か
私に教えて欲しい…","OH, WOW! If that's the case, I have an
important request for you!

Once I release it, I'd like you to follow
my love letter and get to know whoever
picks it up.
Once you do that, please report back to
me so I can find out what kind of person
he is..."
21,talk03,"…今 「自分で行けば？」って
思いましたよね？
私 お母さんに「ここより遠くに行っちゃダメ」
って言われてるんです…
だから お願い
ボトルの受取人を… ね？
くぷぷ…ありがとうございますっ","I know, I know. You're probably thinking,
\""Why not just go yourself, lazy girl?!\""
I'm right, aren't I?
The thing is, I promised my mother
I wouldn't venture out too far.

So I'm begging you. Please... Find the
person who picks up this letter. OK?

Tee hee! Thank you!"
22,talk04,"それじゃ ボトルを投げますよ？
準備はいいですか？","Excellent! OK, I'm going to throw the
letter in now! Are you ready?"
23,talk05,"待ちますけど…
早くしてくださいね","Oh. Sure, I can wait...
But please make it quick!"
24,talk06,"ボトルは壊れやすいから
気をつけてくださいね","These letter containers break easily,
so please be careful."
25,talk07,あら アナタは…,"Oh, you..."
26,talk08,"そんな訳ないでしょう…
子供だからって からかわないでください","That can't possibly be so... Please don't
make fun of me just because I'm a
cute girl."
27,talk09,でも旅の人なら ラッキー！,"If you're a traveler, that's lucky for me!"
28,talk10,えっ何ですか？,Hm? What is it?
29,talk100,おはようございます,Good morning.
30,talk101,こんにちは,Hello.
31,talk102,こんばんは,Good evening.
32,talk103,やぁ,Hey!
33,talk104,"突然だけど キミはゾーラの里に
行った事は あるかい？","Sorry for the random question, but have
you ever been to Zora's Domain?"
34,talk105,そうか…ここから遠い？,I see... Is it far from here?
35,talk106,"そうか…

あぁ…ごめんごめん
自己紹介を忘れてたよ
僕はササノ旅の行商人さ

ゾーラの里に行くところだったんだけど
入り江にメッセージボトルが引っ掛かっててね
差出人は ゾーラの女性の
フィネさんって人だったんだ
そこで僕の返事はゾーラの里に行く旅人に預けて
手紙のやり取りをしていたんだよ","I see...


Oh! Sorry. I forgot to introduce myself.


I am Sasan, the traveling merchant.


I was on my way to Zora's Domain...
but a love letter in this inlet caught
my eye.
The writer seems to be a lovely Zora
named Finley.

I've been corresponding with her by
giving my replies to travelers heading
to Zora's Domain."
36,talk107,"ゾーラの女性からの手紙…
気になるかい？","A mysterious letter from a Zora woman...
Intriguing, is it not?"
37,talk108,"残念ながら
内容を教えてあげる事は できないな
僕は女性からの手紙を他の人に教えるような
無粋な事は しない主義でね
でも言葉づかいは丁寧だし
きっと上品な大人の女性なんだろうな","Unfortunately, I can't tell you what she
wrote. A gentleman would never read
a lady's letter to a stranger.
But I CAN assure you that she writes in
the sweetest, most refined way ever.
She must be a very elegant young lady.
Actually, as a Zora, she's probably a lot
older than me. That doesn't bother me
one bit, but...I hope she feels the same."
38,talk109,そうかならいいんだ,I see... Very well then.
39,talk11,"はい… それでは引き続き
ボトルを壊さないように追いかけてくださいね","Right... As I was saying: please follow
that letter. And don't let it break!"
40,talk111,"さて…次は彼女の手紙が来る番だから
僕はもう少し ここで待つとするよ","So then... Next it's her turn to write,
so I'll just wait here awhile."
41,talk113,"君は…このメッセージボトルを
追ってきたのかい？",So...you were following this letter?
