#,Title,JPja,USen
1,"""0030""",賊のことについて,About the thieves...
2,"""0031""",アジトの場所について,Where's the hideout?
3,"""0032""",わかった,That's all.
4,"""0033""",似合うよ,It looks good!
5,"""0034""",ちょっと大きすぎ…,It's a tad big...
6,"""0100""",もちろん,Of course!
7,"""0101""",ちょっと待って,Give me some time...
8,"""0102""",もちろん,Of course!
9,"""0103""",もう一度説明して,"The plan, once more."
10,"""0106""",やっぱり出直す,Um... I... Well...
11,"""0108""",神獣に乗り込みたい,I can calm Naboris.
12,"""0110""",もう大丈夫！,I'm ready!
13,"""0111""",もう一度作戦を教えて,"The strategy, again?"
14,"""0112""",出直してきます,Give me a bit...
15,"""0113""",引き返す,Retreat!
16,"""0114""",続行する,Keep up the fight!
17,"""0122""",もちろん,Of course!
18,"""0123""",今はちょっと…,Er... Not right now...
19,Debug_Invasion_001,（最後の一撃を喰らって雄叫びを上げる）,(Receives final hit and screams)
20,Npc_GerudoDesert001_Defeat_001,"族長様ならゲルドの街に戻られたよ
ずいぶん疲弊されていたようだけど…
あれだけの激しい戦いだったんだ
無理もないだろうさ…","If you're looking for the chief, she's gone
back to Gerudo Town. She looked
absolutely exhausted.
I would be too, though. That battle
looked so intense. I hope she didn't
overdo it..."
21,Npc_GerudoDesert001_Finish_001,"ここからじゃ何が起こったのか
わからなかったが
本当に神獣を
大人しくさせてしまうとはな…","I couldn't see all the details of what
happened out there, but I think you truly
have quieted the Divine Beast..."
22,Npc_GerudoDesert001_Invasion_001,"族長様は上にいらっしゃる

疲れておられたが
今はすっかり元気になられたようだ
あんな小さな体に大きな負担を抱えられて…
何もできない自分が歯がゆいよ…","The chief is upstairs. She was pretty
exhausted before, but it seems like
she's back to normal now.
I'm annoyed that while she risked so
much, there was nothing I could do to
help..."
23,Npc_GerudoDesert001_Strategy_001,"驚いたな…

まさか アンタみたいな
ちっこいのが来るとは…
本当に神獣と戦えるのか…？

しかし…族長様に認められたというのであれば
何か理由があるんだろうな
族長様なら この監視所のてっぺんでお待ちだ
早く行くんだな","I'm shocked... Despite what the chief
said, I wasn't expecting someone as...
short as you.
But the chief must have her reasons for
believing you can fight the Divine Beast.

She's waiting for you at the top of the
lookout post. Hurry up."
