#,Title,JPja,USen
1,"""0000""",そうです,Sure.
2,"""0001""",違います,Not right now.
3,"""0002""",やります,I'll do it.
4,"""0003""",やりません,I still don't want to.
5,"""0004""",大丈夫,"Good, so far."
6,"""0005""",見失った…,I lost sight of him...
7,Npc_Kokiri001_R_001,"あ！ キミ！ ゆうしゃサマだよね？
コログしれんやるんだよね？？","Oh! You! You're Mr. Hero, right?
You're gonna do the Korok Trial,
yes, yes?"
8,Npc_Kokiri001_R_002,"あ！ やっぱり！
ちょっと頼み事があるんだけど！","I knew it!
I'd like to ask you a favor, then!"
9,Npc_Kokiri001_R_003,"今ね ワタシのチビすけ トッチーが
コログしれんに出たんだけど…
いつもは ワタシも一緒に行くんだけど…
どうしても一人で行く って言ってきかないのね
しょうがないから一人で行かせたんだけど…
迷子にならないか不安なのね
ちょっと後ろをついていって欲しいのよ！
あ！見つからないようにね！","My little Oaki just now set off to do the
Korok Trial...

Normally I'd go along, too, but Oaki
insisted on going alone. I let Oaki go,
but...well, I'm just getting worried!
Could you please follow Oaki without
being seen? I want to be sure nothing
bad happens..."
10,Npc_Kokiri001_R_004,"あ！違うのね！
それは失敬失敬！","Oh! I was wrong?
So, so sorry."
11,Npc_Kokiri001_R_005,"あ！ さっきの！
やっぱりコログしれん やるの？","Oh, the man from before!
Did you change your mind? Do you
want to do the Korok Trial after all?"
12,Npc_Kokiri001_R_006,"あ！ やるのね！
ちょっと頼み事があるんだけど！","Yay, that's neat to hear! And since you're
going to, I'd also like to ask you a favor!"
13,Npc_Kokiri001_R_007,"あ！ やっぱり違うのね！
ごめんごめーん！","Oh, I was wrong again!
Sorry, sorry!"
14,Npc_Kokiri001_R_Near,一人で大丈夫かな…,Going alone? I dunno...
15,Npc_Kokiri001_S1_001,"あ！しれんどう？
トッチーに見つからないようにね！","Oh! How's the trial?
Remember not to get caught by Oaki!"
16,Npc_Kokiri001_S1_002,"あー トッチーに見つかっちゃったか
けっこう神経質なんだよね あの子…
トッチーは また行く って言ってるから
もう一回行ってもらえると嬉しいんだけど！
いいかな？ いいよね？
じゃあ お願いするね！","Oooh, Oaki saw you, huh?
Oaki can get a little nervous or antsy
sometimes, that's for sure...
Luckily, Oaki is planning on going to do
the trial again, so you've got another
chance to stealthily follow.
That's OK, right? It's OK? Good!
I'm counting on you!"
