#,Title,JPja,USen
1,Talk_ZoraRelief_Mess_01,"― ゾーラ史第1章 ―
永遠なるゾーラの里
ゾーラ王 ドレファン これに記す ―――

ラネール地方は古くから雨に恵まれ 
清水に富んだ地であった
水を求めたゾーラ族が この地に集い暮らし
それが街になったのは1万年以上前と伝えられる
この地は鉱石にも恵まれていたため
住居は石で作られ独自の石造技術が発展した
その完成した姿が里の建造物全体で一つの
彫刻であると称賛される我がゾーラ建築である
それは石工達に綿々と伝えられてきた技術の
結晶であり彼らの誇りが体現した形なのだ","History of the Zora, Part One
The Eternal Zora's Domain
As told by King Dorephan
The rains have blessed Lanayru since
ancient times with an abundance of
pure, clean water.
Seeking a bounty of such water, the Zora
gathered there. Thus, as the legends go,
the domain was born 10,000 years ago.
The land was also rich in ore, and so a
unique form of stonemasonry was
developed to create our new home.
The domain is one giant sculpture,
a feat of architecture that has drawn
admirers the world over.
Our great domain will ever stand as a
hallmark of the esteemed artists who
made it, an eternal symbol of Zora pride."
2,Talk_ZoraRelief_Mess_02,"― ゾーラ史第2章 ―
ハイラル王国との絆
ゾーラ王 ドレファン これに記す ―――

ラネール地方は十年に一度大雨の周期がある
その度にゾーラ川が氾濫したという
ゾーラの里でも街が傷つき人が流され
被害は甚大であった
時のゾーラ王は ハイラル王に救援を求めて
治水に乗り出した…東の貯水湖の建造である
ゾーラの建築設計と ハイラルの からくり技術
それらが合わさり 1年で東の貯水湖は完成した
以降ハイラルでは水害が起きなくなったという

ゾーラ王は感謝し ハイラル王に約束した
貯水湖の水量を管理しハイラルを水害から守ると
…これは 1万年以上続く盟約であり
東の貯水湖は ハイラル王国との絆の証でもある","History of the Zora, Part Two
A Reservoir of Hope
As told by King Dorephan
Once every 10 years, the Lanayru region
experiences unusually heavy rainfall.
The Zora River flooded every time.
The tides damaged not only our domain
but our people, washing away poor souls
and causing great suffering and disarray.
The Zora king of that time, after seeking
aid from the king of Hyrule, rode out to
see what could be done.
By joining the architectural genius of the
Zora and Hyrule's technological prowess,
East Reservoir Lake was swiftly built.
Thanks to this fruitful partnership,
Hyrule was no longer plagued by
these devastating floods.
In gratitude, the Zora king promised the
king of Hyrule to manage the reservoir
level to protect all of Hyrule from floods.
Each Zora king since has kept that oath,
spanning 10,000 years. That is why the
reservoir signifies our bond with Hyrule."
3,Talk_ZoraRelief_Mess_03,"― ゾーラ史第3章 ―
ゾーラの鎧伝説
ゾーラ王 ドレファン これに記す ―――

遥か昔 ゾーラの里に戦下手な王がいたという

王には武芸の才は無かったが
王妃はそんな王を愛しておった
ある時マモノの大群がド・ボン山脈に
集まりつつあるとの報が王のもとに届いた
王は民を守る為戦に出る事を決意したが
王妃は戦下手な王を大変心配した
そこで王妃は自身のウロコを王の鎧に編み込み
その無事を祈ったという
戦はゾーラの優勢に進み そのまま無事に
終わるかと思われた… しかし…
一瞬の隙を突いて リザルフォスの将が巧みに
斬り込み王は瞬く間に追い詰められてしまった
リザルフォスが とどめの剣を振り上げた瞬間 
その奇跡は起きた
王の鎧の一部が鋭く光り目を眩まされた
リザルフォスの動きが一瞬止まったのだ
王はその隙を逃さず横薙ぎにリザルフォスの
ノド元を切り裂いたという
それは王の鎧に編み込まれた王妃の…女性特有の
真っ白なウロコが夕日を反射させた奇跡だった
この逸話から王家では将来の婿の無事を祈って
鎧を贈る儀が行われるようになったという","History of the Zora, Part Three
Miracle of the White Scale
As told by King Dorephan
Our scholars say that in the distant past,
Zora's Domain had a king with no special
talent for the art of war.
What he lacked in skill with a blade,
he made up for in love for his people,
and especially love for his queen.
One day, news reached the king of a
horde of monsters gathering in the
Zodobon Highlands.
The king steeled himself for war to
protect his people, but the queen knew
how ill suited for the task he was.
Worried for his life, she wove one of her
own scales into his armor, hoping that
her love would protect him in battle.
It seemed for a time that the tide of
battle favored the Zora and that all
would make it safely home.
But the cunning Lizalfos general saw
an opening and seized it, driving the
king's forces into a corner.
Just when the general's sword was ready
to crash down upon the king, a miracle
took place.
An errant sunbeam reflected from the
scale on his armor blinded the Lizalfos,
stopping the deathblow from falling.
This was the chance the king needed to
rally his forces and turn the tide, taking
down the general and securing victory.
This came to be known as the Miracle of
the White Scale, a scale that only female
Zora possess.
It was this miracle that began the
tradition of Zora princesses crafting
armor for their future husbands."
4,Talk_ZoraRelief_Mess_04,"― ゾーラ史第4章 ―
光鱗の槍と英傑祭
ゾーラ王 ドレファン これに記す ―――

我と王妃は珠の様に愛らしき娘を授かった
王女に与えし名は ミファー
その折 彫金職人ロスーリから ミファーに
捧げられた祝いの品… それが光鱗の槍である
ミファーは健やかに育まれ王室騎士団の者達に
教えを受ける齢を迎えた
騎士団の者は皆王女を慈しんだ… とりわけ
兵士長セゴンは己が娘の如く王女を愛した
セゴンの指南を受け ミファーの槍術は磨かれ
光鱗の槍と共に その輝きを増していった
英傑となったミファーは ゾーラの誉れであった
だが大厄災の日帰らぬ人となってしまったのだ
ゾーラの里は悲嘆に包まれた
誰もが王女を想い涙に暮れた
そして ミファーの鎮魂のため光鱗の槍を
ゾーラ川に流そうとした その時…
まるでミファーの魂が舞い降りたかの如く
光鱗の槍が輝き言葉を紡ぎ始めたのである
光鱗の槍は私…光鱗の槍は ミファー…
だから微笑みを思い出して… もう涙は捨てて…
故にゾーラは大厄災の日…ミファーが逝きし日に
光鱗の槍を飾り彼女を称えることとなった
これが英傑祭の始まりである","History of the Zora, Part Four
The Lightscale Trident
As told by King Dorephan
The queen and I were blessed with
a daughter as lovely as a jewel.
We named our princess...Mipha.
To celebrate her birth, the smithy Dento
presented Mipha with a gift: a mighty
spear called the Lightscale Trident.
Mipha grew into a bright girl and soon
reached the age of receiving lessons
from the royal family's order of knights.
The whole of the royal guard adored her,
especially Sergeant Seggin, who loved
her as if she were his own kin.
Under Seggin's instruction, Mipha honed
her skills, and her radiance grew along
with her skill with the Lightscale Trident.
As a Champion, Mipha made her people
proud. However, once the Great Calamity
struck, she was never to return.
All of Zora's Domain fell into misery.
The merest thought of the princess was
enough to overcome anyone with tears.
As a way of offering her soul repose,
they tried to send the Lightscale Trident
drifting down the Zora River.
But when they did, the trident began to
glow, and Mipha's voice rang loud and
clear for all Zora to hear:
\""The Lightscale Trident and I are one...
Abandon your grief and know joy once
again. Do not cry...just remember.\""
And so, keeping to her request, on the
day of the Great Calamity...the day that
Mipha passed from this world...
the Zora venerate the Lightscale Trident
and remember their brave princess.

Such is the origin of the
Champion Festival."
5,Talk_ZoraRelief_Mess_05,"― ゾーラ史第5章 ―
偉大なる祖ルト
ゾーラ王 ドレファン これに記す ―――

遥か昔…大厄災よりも神獣 ヴァ・ルッタが
造られし頃よりも遥かな昔…
ゾーラの王家に1人の姫がいたという
その名は ルト
一族の民に愛され ゾーラの守護神に仕える
見目麗しい活発な姫であったと伝えられている
だが同じ時世を支配せんと野望を抱く者が現れ
ゾーラの里も彼の者が放つ災いに襲われた
その時 ルトは賢者となり ハイラル王家の姫や
勇者と共に野望抱く者に立向かったという
その偉大なる功績は ゾーラは元より
ハイラルの歴史にも深く刻み込まれている
後の世で厄災ガノンに立向かうべく造られた
神獣 ヴァ・ルッタはルトに肖り名付けられたのだ
そしてルッタの主に ゾーラの姫我娘ミファーが
選ばれたのも運命が成した技なのかもしれぬ","History of the Zora, Part Five
The Sage Princess Ruto
As told by King Dorephan
Long, long ago... In a past more distant
than even the Great Calamity or the
creation of the Divine Beast Vah Ruta...
There was a Zora princess named Ruto.


We know that she was an attendant to
the Zora patron deity and that she was
a fair and lively girl, beloved to all.
Around that same time, an evil man with
designs on ruling the world appeared,
bringing disaster upon Zora's Domain.
It is said that Ruto then awoke as a sage,
facing this foe alongside the princess of
Hyrule and the hero of legend.
Her achievements are remembered not
only by the Zora, they are also forever
etched in the history of Hyrule.
The Divine Beast Vah Ruta, built ages
later to face off against Calamity Ganon,
was named in honor of Ruto.
That the Zora princess—my sweet
daughter Mipha—was chosen to
pilot Ruta is surely the work of fate."
6,Talk_ZoraRelief_Mess_06,"― ゾーラ史第6章 ―
英傑ミファーと神獣 ヴァ・ルッタ
ゾーラ王 ドレファン これに記す ―――

ゾーラの里で神獣 ヴァ・ルッタが発掘された時
我娘ミファーは急ぎその地を訪れたという
物静かなミファーが珍しく興奮し目を輝かせて
ルッタに見入っていたと現地の者は伝えている
王女は神獣 ヴァ・ルッタに友のように語りかけ
後にルッタを操る任を受けて大層喜んだという
儂は ミファーがルッタの主となる事を許したが
後にそれを何度も悔やみ自らを責め続けた
長き悔恨の日々を経て儂は今 せめて娘の魂が
安らかであって欲しいと… そう祈り続けている","History of the Zora, Part Six
Divine Beast Vah Ruta
As told by King Dorephan
When the Divine Beast Vah Ruta was
first discovered at Zora's Domain,
my daughter Mipha hurried to see it.
Those present that day say they saw an
unusual sparkle of excitement in Mipha's
normally calm eyes as she beheld Ruta.
The princess spoke of the Divine Beast
as she would a friend and was overjoyed
when she was chosen to pilot Ruta.
I thought nothing of it at the time,
but given the events that followed,
I now regret allowing this to happen.
I have spent many long years consumed
by guilt. My dearest wish is that her soul
will know peace. I pray for it every day."
7,Talk_ZoraRelief_Mess_07,"― ゾーラ史外伝 その1 ―
ドレファン王の門前払い
ゾーラの里のドレファン王が 
王位に就かれて百年が経とうという頃 
ゾラ台地を乗り越えた はぐれガーディアンが 
ゾーラの里内部まで侵入して来た 
そのガーディアンは好きに暴れ回り 
兵士たちの槍も全く歯が立たなかった 
だがその時 ドレファン王は 
危険を顧みず正面から立ち向かわれ 
ガーディアンを その怪力で持ち上げると 
谷底に向かって投げ捨てなさった 
ガーディアンは落下の衝撃で壊れ 
ほどなくして動かなくなった 
ゾーラの民は王のこの勇猛さを讃え
より信頼と尊敬の念を寄せるようになった
ドレファン王の額に いまだ残る傷痕は 
この時に ついた物である","History of the Zora, Addendum 1
King Dorephan Stands His Ground

Around 100 years after King Dorephan
ascended to the throne, a stray Guardian
crossed Upland Zorana into our domain.
The Guardian seemed unstoppable.
Our best soldiers' spears barely left
a scratch on its metal hull.
It was then that our King Dorephan,
without a thought for his own safety,
came out to face the Guardian himself.
With supernatural strength, he lifted the
Guardian and hurled it into a ravine.

The impact of the fall left the Guardian
in pieces, and it was never to trouble
another Zora ever again.
The citizens celebrated the king's valor.
From then on, their trust and respect for
him grew beyond compare.
You can still see the scar he earned
that day on his forehead—a token of
his triumph."
8,Talk_ZoraRelief_Mess_08,"― ゾーラ史第7章 ―
魔…ライ…ルを討伐した勇…の記録
ゾーラ王 ドレファン …れ…記… ―――

民は雷…山に棲みついた…獣に怯え…いたしかし1人のハ…リア人が彼奴を退治し
里の平穏…取り戻し…くれた
こ…戦いで彼…身に着け…いたゾーラの兜は
…の北にある ……湖の拝殿に安置する
勇… リ……の活躍を称えて","H---ory of the Zor-, Part S-ven
The H-ro Who D-feat-d the Ly--l
As T--d b- King Dorephan
T--re was a time when the p--ple of the
land were thre--ened by the dr--- beast
Ly-e- who lived on Pl--mu- M--ntain.But one Hy---n drove th- beast back
an- re--ored p--ce to the do--in.

Th- Zora helm w-n in th-s fight i-
no- north of --- in the r--ns near
---- L-ke.
It re--s ther- to h--or the d--ds
of the he-- L---."
9,Talk_ZoraRelief_Mess_08_01,ところどころ文字がかすれている…,Time has taken its toll on this...
10,Talk_ZoraRelief_Mess_09,"― ゾーラ史外伝 その2 ―
シド王子の魔物退治 
ある時 ハテノ海に山のように巨大な 
オクタロックが現れ漁をする民を苦しめていた 
困窮する民を見かねたシド王子は 
自ら オクタロック退治に乗り出された 
だが吐き出す岩を避けた一瞬の隙を突かれ 
王子は オクタロックに吸い込まれてしまう 
今まで幾人もの強者が挑んだが 
体内に吸い込まれ戻って来た者はいない 
皆が絶望に顔をおおったその時 オクタロックが 
巨大な身体をよじって苦しみ始めた 
やにわに オクタロックの腹から 
銀鱗の槍の穂先が突き出て ギラリと光った 
なんと吸い込まれた王子が腹の内側から 
その剛腕で槍を幾度も突き刺していたのだ 
オクタロックはたまらず王子を吐き出し 
這う這うの体で逃げ出した 
これがハテノ海に伝わるシド王子の武勇伝
オクタロック退治である","History of the Zora, Addendum 2
Prince Sidon's Great Escape

There was once a giant Octorok in
Hateno Bay, large as a mountain,
which terrorized the village's fishers.
Hearing of their distress, Prince Sidon
went forth to personally eliminate the
offending Octorok.
But this Octorok was a tricky beast.
After the prince dodged one of the
stones it spat, it inhaled him whole.
Such had been the fate of many strong
warriors who went to slay the Octorok.
Not one had come back alive.
Just as it seemed Prince Sidon would be
counted among them, the giant Octorok
twisted in pain.
The tip of a silverscale spear pierced the
Octorok's stomach from within, revealing
itself as the source of the beast's agony.
Incredibly, Prince Sidon had fought his
way out by stabbing his spear over and
over into the monster's stomach.
Unable to bear the pain, the Octorok
coughed up the prince and scrambled
to escape.
Ever since, the fishers of Hateno Bay
have passed down this heroic tale:
The Prince Who Slew the Fell Octorok"
