#,Title,JPja,USen
1,"""0000""",してみてもいい,"Sure, I'll give it a try."
2,"""0001""",勘弁してください,Anything but that.
3,"""0002""",挑戦する,Bring it.
4,"""0003""",やっぱり無理です,"Actually, no."
5,Event_S1_001,"この土俵から降りたり飛んでいったり
倒れたりしたら負けゴロ！
ではガマンくらべを始めるゴロ！ガマンくらべぇえええ！！ 
スタートゴロォオ！！","If ya leave the ring or pass out,
it's all over! You lose! Got it?

OK... Now prepare yourself for the...CONTEST OF ENDURANCE!!
GOOOOOO!"
6,Event_S1_001_01_01,まだまだぁ！！,Not yeett!!
7,Event_S1_001_01_02,余裕よゆ……！,Piece of...cake!
8,Event_S1_001_02_01,誰か手を振ってる…,Someone's wavin'...
9,Event_S1_001_02_02,あ… じいちゃん…？,Is that...Grandpa?
10,Event_S1_001_03_01,ヒィー… ヒィー…,Phew! Phew!
11,Event_S1_001_03_02,無理… ゴロォ…,I can't...go on...
12,Event_S1_002_01_01,"オマエはすごいゴロ！
まさかオレ達 ド根性三兄弟が負けるなんて！","You're amazing! I never woulda thought
the three Goron Blood Brothers could
lose to you, brother!"
13,Event_S1_002_01_02,"後ろにある炎に囲まれた土俵が見えるゴロ？
イヤな予感がするゴロォ？！","You see the ring behind me? The one
surrounded in fire? Do ya feel it in your
gut—what a bad idea it is to go there?"
14,Event_S1_002_01_03,"この土俵の上で限界までガマンすると
勇者の試練が現れる と伝えられているゴロ！
準備が出来たら この土俵に乗るゴロ！
特別なガマンくらべを始めるゴロ！","It's said that passin' this test will
reveal a shrine...or some such!

If ya think you're ready, climb into the
ring. Do that, and our special contest
of ultimate endurance will begin!"
15,Event_S1_002_02_01,"オマエには最高レベルの
ガマンくらべの挑戦権をやるゴロ！","In fact, I'm grantin' you the highest
honor—the chance to participate in
the contest of ULTIMATE endurance!"
16,Event_S1_002_02_02,オマエの予感はすこぶる正しいゴロ！,"Your gut is dead on, brother!"
17,Event_S1_002_03_01,"ボク達の先祖が修行した地…
その中でも特別キッツい ガマンの場だゴロ…","It's where our ancestors trained...
It's considered the toughest test known
to Goron kind!"
18,Event_S1_002_03_02,特別な修行の場は この土俵の上ゴロよ…,"That special training area is even harder
than the last ring..."
19,Event_S1_003_01_01,"おお…… なんという事ゴロ！
土俵から降りてしまったゴロ！","What's that about, brother?
Why'd ya leave the ring?!"
20,Event_S1_003_01_02,"おお…… なんという事ゴロ！
土俵から飛んでいこうとしたゴロ！","What's that about, brother? Ya tried to
get away from the ring!"
21,Event_S1_003_02_01,"ガマンくらべは土俵の上で行うのがルールゴロ！
降りてしまうとルール違反ゴロ！","The rules say ya have to complete the
contest in the ring! Leavin' is the
exact opposite of that!"
22,Event_S1_003_02_02,"ガマンくらべは土俵の上で行うのがルールゴロ！
飛んでいくのは ルール違反ゴロ！","The rules say ya have to complete the
contest in the ring! Leavin' isn't part
of it!"
23,Event_S1_003_03_01,"今回は残念ゴロけど
ガマンくらべは ここまでゴロよ…","It's way too bad things turned out this
way, brother. But I'm afraid the contest
of endurance ends here."
24,Event_S2_001,"その上に立つという事は… やる気だな！ガマンくらべのルールは同じゴロ！その土俵の上から降りたり飛んでいったり
倒れたりしたらそこで終わりゴロ！
では特別なガマンくらべぇえええ！！
ンスタァートゴロォオオーー！！","You're standing up there, which can only
mean one thing... You ready to push
yourself to your limits, brother?!
The rules for this contest of ultimate
endurance are the same as ever.
Leave the ring or faint, and it's over!
OK! Time for the world famous...
CONTEST OF ULTIMATE ENDURANCE!!
GOOOOOO!"
25,Event_S2_001_01_01,もっと熱くゴロ！,"More heat, brother!"
26,Event_S2_001_01_02,熱く！熱くゴロ！,"FIRE, brother!"
27,Event_S2_001_01_03,溶岩のごとくゴロ！,"Hot like lava, brother!"
28,Event_S2_001_02_01,何も怖くないゴロ！,No fear!
29,Event_S2_001_02_02,世界が味方ゴロ！,"Seize the heat, brother!"
30,Event_S2_001_02_03,無敵のオトコゴロ！,"A real trial by fire, brother!"
31,Event_S2_001_03_01,魂を燃やすゴロ…,My soul is on FIRE...
32,Event_S2_001_03_02,バーニング魂ゴロ…,Burning...soul...
33,Event_S2_001_03_03,燃え尽きるまでゴロ…,Gonna get...burned out...
34,Event_S2_002_01_01,んぬぅおおおおおお！！マーヴェラァアアアアス！！,"RAAAAARRRGGGGHHH!!SO EPIC, BROTHER!!"
35,Event_S2_002_01_02,ガマンくらべはオマエが一番だゴロ！最ッ高ゴロォオオオ！！,"You won the contest of ultimate
endurance, little man!You're amazing!"
