#,Title,JPja,USen
1,"""0007""",行ってきます！,Off I go!
2,"""0008""",やり直したい…,Let me try again...
3,"""0014""",ヴァーイミーツヴォーイ,Noble Pursuit?
4,"""0016""",さようなら,Good-bye.
5,"""0017""",実は…,Actually...
6,"""0020""",氷？,Ice?
7,"""0021""",さようなら,Good-bye.
8,"""0022""",取りに行こうか？,Should I get it for you?
9,Npc_GerudoDesert002_F_001,"もうダメだ…

このまま私はここで
朽ち果てるんだ…","I can't take it anymore...


I'm going to rot here..."
10,Npc_GerudoDesert002_F_002,えっ…？,Huh?
11,Npc_GerudoDesert002_F_003,"トビキリの
ヴァーイミーツヴォーイですって？
こうしちゃいられないわ！","Did you say \""best Noble Pursuit ever\""?


Pfft, I am GONE!"
12,Npc_GerudoDesert002_S02_001,気を付けてな！,Be careful!
13,Npc_GerudoDesert003_F_001,"無事に氷を フロスさんに渡せたみたいだな 

私も久々に フロスさんの
ヴァーイミーツヴォーイが飲みたくなったよ","So you were able to get the ice all the
way to Furosa? Excellent.

That reminds me... It's been so long
since I've had a Noble Pursuit like
Furosa makes..."
14,Npc_GerudoDesert003_R_001,"ここは北の雪山から運んだ氷を
保存する氷室だ
貴重な氷だからな
24時間私が管理しているんだ","This is an icehouse used for storing the
ice brought down from the mountains.

Seeing as we live in a desert, it's pretty
important stuff for us Gerudo... So I
manage this place 24 hours a day."
15,Npc_GerudoDesert003_S01_001,"そうか…
フロスさんの頼みとあれば仕方がないな
ではこの氷を持っていくがいい

しかしこの暑さだ わかってると思うが
チンタラ運んでたら溶けてしまうからな
気を付けて フロスさんの元まで運ぶんだぞ","I see... Well, if Furosa wants ice, then
you should bring her some.

You're permitted to take some ice.


You've taken the heat into account,
right? If you move too slowly, the ice will
surely melt.
Furosa has no use for water..."
16,Npc_GerudoDesert003_S01_002,"ここは北の雪山から運んだ氷を
保存する氷室だ
貴重な氷だからな
盗まれんように私が管理しているんだ","This is an icehouse used for storing the
ice brought down from the mountains.

Seeing as we live in a desert, it's pretty
important stuff for us Gerudo... So I
guard the icehouse 24 hours a day."
17,Npc_GerudoDesert003_S01_101,"…誰だ…
仕事は… もう終わりだ…
用が… あるなら
明日に… してく… れ…… ぐう…","...Who are you?
My work's...done for the day...

If you...need something...
come back...tomorrow..."
18,Npc_GerudoDesert003_S01_102,今日の仕事はもう終わりだ,My work's done for the day.
19,Npc_GerudoDesert003_S01_103,"すまんが今日の仕事はもう終わりなんだ…

フロスさんの頼みなんで
何とかしてやりたいが
これも規則なんでな","Sorry, but I'm done for the day.


I know... It's a request from Furosa.
Really, I'd like to help, but rules are
rules, and I'm off the clock."
20,Npc_GerudoDesert003_S01_104,"すまんが…

今日は疲れてるんでな
もう寝かせてくれないか？
用があるなら明日聞くよ","Sorry, you're out of luck.


I'm exhausted from work.
Let me get some rest. 

Come back later if you need something."
21,Npc_GerudoDesert003_S02_001,…まさか,...You've got to be kidding me.
22,Npc_GerudoDesert003_S02_002,"だろうな…

氷運びは我らでも失敗することもある

気にしなくていい
もう1つ持っていっていいぞ","Ah, I figured as much...


Even the Gerudo make mistakes
transporting ice, sometimes. Just grab
another block and try again."
23,Npc_GerudoDesert003_S02_101,"砂漠の暑さは お前も知ってるだろう
チンタラ運んでると溶けてしまうぞ","You've walked through the desert...
You know how hot it can get. Don't take
your time, or the ice will melt."
24,Npc_GerudoDesert003_S02_102,"まったく…

フロスさんの頼みだから仕方ないが
氷は貴重だってことを忘れるなよ","I can't believe it...


OK, I know this is a request from Furosa,
but please remember that ice is precious
around here!"
25,Npc_GerudoMilkflost_002,"ヴァーサーク…

ハイリアのお嬢ちゃんかい？

いくつか知らないが
お嬢ちゃんには ウチはまだ早いようだね
ウチで使ってる氷は特別でね…
違いがわかる年齢になってから また来るんだね","Vasaaq... A Hylian vai, huh...


I can't tell how old you are, but this
place is definitely not for young vai.

Because the drinks we make here are
different from regular drinks. For one,
they have a rare treat in them—ice..."
26,Npc_GerudoMilkflost_004,"ウチの看板商品
ヴァーイミーツヴォーイが欲しいのかい？
すまないが アレを作るには
大量の氷が必要になるんだが
今 ちょうど切らしていてね

それよりも あれは強い酒なんだ

どっちにしてもアンタみたいな
お嬢ちゃんには売れないねぇ""","You want to try our signature
drink, Noble Pursuit?

Unfortunately, I need a huge amount of
ice to make that drink, and I'm fresh out
right now.
Besides, it's a really strong drink. 


Even if I could make it, I wouldn't sell it
to a little vai like you."
27,Npc_GerudoMilkflost_005,"そういえば…
最近 パクトを見ないねぇ…
毎日のように ウチのヴァーイミーツヴォーイを
飲みに来てたんだけどねぇ…
ああ ごめんよ
お嬢ちゃんには関係のない話だったね","I haven't seen Pokki in a while...
She used to come in and order a Noble
Pursuit almost every day...
Ah, sorry. This has nothing to do with
you, little vai."
28,Npc_GerudoMilkflost_006,"まったくあの子は…
ほんと手のかかる子だよ","I was just thinking about how I haven't
seen Pokki lately...

She's such a handful."
29,Npc_GerudoMilkflost_007,"氷室はこの街の北の方にあるんだ

そこにいるアンチェってやつに
事情を話せば氷を分けてもらえるだろうよ
ただ アイツは夜は早くに寝ちまうからね

行くなら明るいうちだよ","The icehouse is located north of
the city.

Anche will be on duty there. Just let her
know what's going on, and she'll
probably part with some ice.
Remember, though... She goes to bed
pretty early.

You'll have to make sure to get there
while it's bright out."
30,Npc_GerudoMilkflost_008,"やっと祠を見つけたってのに…

っぐ…
ノドが乾いて…
う…""動けない…

最後に…
最後に一口…
キンッキンに冷えた
ヴァーイミーツヴォーイが飲みたかったなぁ…","I'd just found the shrine too...


Ugh, my throat... It's so dry...
I can't move a muscle...

If this really is the end...


I wish I could have one last taste...
One sip...

One sip of an ice-cold Noble Pursuit..."
