#,Title,JPja,USen
1,"""0000""",あげる,Take this!
2,"""0001""",さよなら,Good-bye.
3,"""0002""",しっかりして！,Snap out of it!
4,"""0003""",先輩怒ってたよ,Your boss was MAD.
5,"""0004""",それ…止めてないよね？,Try harder next time...
6,Oasis042_near00,バレッタはどうした？,What happened to Barta?
7,Oasis042_near01,まったくお前らは…,You lousy lot...
8,Oasis042_talk00,"な… な…

なんだと！！！

また バレッタが帰ってこないだと？","Whuh... Whah...
WHAAAAT?!
Barta didn't come back AGAIN?"
9,Oasis042_talk01,"今度は南西の方にある
巨大化石を調べに行くって…","I'm afraid this time she went to 
investigate the leviathan bones in the
southwest..."
10,Oasis042_talk04,い… いちおう止めたんですけど…,I... I tried to stop her...
11,Oasis042_talk05,"止まってないから
ここに おらんのだろ！","But obviously it didn't work because
she's not here!"
12,Oasis042_talk06,"そうそう それにあの辺りは極暑地帯ですし
私達の装備では長くはいられませんし…","Yes, nobody would dare! And not only
that, but it's an extremely hot zone, so
we wouldn't last long there in our gear..."
13,Oasis042_talk07,"ば…

ばかもーん！

アイツにそんな
危機管理能力あるわけないだろ！
つい先日も先走って
賊につかまったばかりだろうが！","You... 


You IDIOTS! 


That scatterbrain wouldn't even realize
she was walking into danger! I mean,
you know that, right?!
Why, it was just the other day she ran
off and got captured by the Yiga!"
14,Oasis042_talk08,"お前には失態ばかり見せてしまって
恥ずかしい限りだ…
それに またバレッタがいなくなったなんて…
隊長に知られたらなんていわれるか…
バレる前に なんとかせねばな…","I've had it up to here with you lot!
You're walking embarrassments!
And now Barta has gone missing...
If the chief finds out, what do you think
she's going to say? 

Must do something before we get found out..."
15,Oasis042_talk09,"はぁ… バレッタもバレッタなら
お前達も お前達だな…
しかし なんでアイツは
こう何度も何度も トラブルばかり起こすんだ…","Ugh... I guess Barta will be Barta, and
you all aren't going to change...

But still, why does she have to go and
get in trouble like this all the time..."
16,Oasis042_talk10,"あわわわ… どうしよう…
またバレッタちゃんが…","Ahhh... What do I do... Poor Barta is
in trouble again..."
17,Oasis042_talk11,"バレッタちゃんのこと…
言うべきか…言わないべきか…","What do I do about Barta?
Do I say something? Or nothing..."
18,Oasis042_talk12,"…たしかに

でも あの辺はモルドラジークがいて危険だし
さすがに行かないかなぁと…","Well, yeah...


But... Everyone knows that area is the
domain of the Molduga, so who would
figure she'd even go close to there?"
19,Valetta_near00,はぁ…,Ugh...
20,Valetta_talk00,"アナタは…
妖精さん？
それとも私を天国に連れて行ってくれる
天使様？
…目がかすんできたわ…
もうダメかも","Are you...a fairy? An angel?
Are you here to guide my passage?

...Everything's going hazy...
This might be the end..."
21,Valetta_talk01,"ああ…
最後にマックスドリアンが食べたかったな…
マックスドリアン…
マックスドリアン…","Ahh... If only I could've eaten a
hearty durian one last time...

A hearty durian...
A hearty durian..."
22,Valetta_talk02,"ああ天使様…
私を天国に連れて行く前に
ドリアンを…
マックスドリアンを一口だけでも…","Ahh, spirits of the Goddess... Before you
bear me away, could I just have a bite of
delicious durian...
Just one taste of a hearty durian..."
23,Valetta_talk03,"ああ天使様…
私を天国に連れて行く前に
ドリアンを…
マックスドリアンを一口だけでも…","Ahh, spirits of the Goddess... Before you
take me from this world, if I could just
taste fruit...
Just one last bite of a hearty durian..."
24,Valetta_talk04,"て天使様…
一口だけでいいのです…
マックスドリアンを私めに…

永遠にサヴォークになる前に…","S-spirit... Just one bite would do...


A little hearty durian for me...


Before my last sav'orq..."
