#,Title,JPja,USen
1,"""0000""",どうして？,Why not?
2,"""0001""",そっとしておく,I'll leave you alone...
3,"""0002""",実は…,Actually...
4,"""0003""",わかった,Got it.
5,"""0004""",それはちょっと…,I don't know...
6,"""0005""",どこにあるの？,Where are they?
7,"""0006""",探しに行きます,I'll go look for some.
8,"""0007""",持ってきたよ,Berry delivery!
9,"""0008""",ゴミ… まだあるけど？,STILL with the rinds?
10,"""0009""",イチゴは？,So...the wildberries?
11,"""0010""",さよなら,Good-bye.
12,Cariban_Talk00,"何よアンタ？
そんなに見られてちゃ食べづらいじゃない！
あっち行きなさいよ！","What's with you? How am I supposed to
enjoy eating with you staring at me?
Buzz off."
13,Cariban_Talk01,"だから！ そんなに見られてちゃ
食べづらいって言ってるでしょ？
あっち行きなさいってば！","I mean it! I can't eat with your
judgmental eyes on me!

Go away!"
14,Near00,ムシャムシャ…,*chomp...chomp*
15,Near01,やったー！,I did it!
16,Talk01,"ゴミのことなんて
考えてなかったけど
まさか私の食べカスが
そんなことになっていたなんて…
でも その子には悪いと思うけど
イチゴ10個を持ってきてくれない限りは
食べるのは止めらんないわ","I haven't been thinking about trash at all.
Who can think while in a melon trance?

I just can't believe the rinds I'm tossing
are such a problem... It's all organic
material, right?
Well, anyway, I feel bad about the little
vai, but I'm going to need at least 
10 wildberries if you want me to stop."
17,Talk02,"何よアンタ？
そんなに見られてちゃ食べづらいじゃない！
あっち行きなさいよ！","What's with you? How can I enjoy my
snack with you staring at me, huh?!
Buzz off!"
18,Talk03,"あま～い！！

これがイチゴかぁ

美味しい上にゴミも出ない！
最高のフルーツだわ！","SWEEEETNESS!


So that's a wildberry...


It's delicious! And no rind to toss!
What a magical fruit!"
19,Talk04,えっ？ ホントに？,Huh? Really?
20,Talk06,"でも… その子には悪いことしちゃったね

自分の欲が満たされたら
自分がどれだけひどい事してたのか気づいたよ…
ちょっと ゴミ片づけてくる！

アンタには世話になったね
サークサーク！","But...now I feel bad for the little vai.


Now that my craving's been satisfied,
I realize just how horribly selfish I've
been... Shame on me.
I'm going to go help clean up the trash!


I've really caused a lot of trouble...but
now I'm going to make it right!
Sarqso!"
21,Talk07,"えっ？ ゴミ？？

小さなヴァーイが困ってる？","What? Garbage?!


A small vai is having trouble?"
22,Talk08,"きゅ…急にそんなこと言われても…
私が何しようと自由じゃない！","Oh, sure, you spring this on me out of
nowhere and expect me to change MY
lifestyle. Well, no. I do what I want!"
