#,Title,JPja,USen
1,"""0001""",さよなら,Good-bye.
2,"""0002""",モルドラジークって？,Molduga?
3,"""0003""",これどうぞ,"Here, take 'em."
4,Talk_01,"アタシさ…
やっと運命のヴォーイを見つけて
最近結婚したばっかりなんだ…

幸せってやつを やっと見つけたところなんだ…

なのに旦那がちょっとやっかいな病に
かかっちゃってね…
モルドラジークの肝がないと
治らないってんだよ…
でもアタシの力では
アイツを倒すことなんて到底できないからさ
兵士さん達ならって思って
頼みに来たんだけど…
今は大変で それどころじゃないって
門前払いさ…
まぁモルドラジークは凶暴だからね…
立ち向かえばタダでは済まない…
こんな他人のために
誰も行きたがらないのは当たり前だ…
…せっかく街を出られたと思ったのに
こんなにすぐに戻ってくるなんて…","I... I finally found the voe of my dreams,
and I just recently married him...

I thought I had finally found happiness...


But then...my husband fell ill with a
rare disease... One difficult to cure.

The only thing that can save him is the
innards of a Molduga...

But I would never be able to take down
such a creature myself...

I asked the soldiers for help, but...


They said they have serious issues to
deal with! They said they had no time for
my plight! They turned me away!
But then, why wouldn't they? 
The Molduga is a menacing beast... 
None who face one escape unscathed...
So perhaps it's foolish to expect anyone
to stick their neck out for a stranger...

I thought I'd finally gotten out of this
town... Never thought I'd have to come 
crawling back..."
5,Talk_02,"…くっ
こうしてる間にもあの人は…","...Oh, me. The longer I tarry, the more the danger
grows for my dear one..."
6,Talk_03,"旦那はこんなアタシを可愛いって言ってくれた
唯一のヴォーイなんだ…
だから アタシはモルドラジークの肝を
とってきてくれる人を
何が何でも探さないといけないんだ…","My husband was the first voe to tell me
I was beautiful...

I love him so! And so I must find
someone who can bring me those 
Molduga guts, no matter what..."
7,Talk_04,"ああ アンタかい…

旦那はこんなアタシを可愛いって言ってくれた
唯一のヴォーイなんだ…
だから アタシは何が何でも
モルドラジークの肝を手に入れないと…
でも… アタシの力では…","Oh, it's you...


My husband was the first voe to ever
tell me I was beautiful...

I love him so! And so I need those 
Molduga guts, no matter what... But... 
What can I do on my own?"
8,Talk_05,これって…,"Wait, these..."
9,Talk_06,"モルドラジークはバケモンさ…
魔物ですら奴らには近づかない…
ここから西のルマリン砂丘や南の方に
よく出没するようだ
奴らは振動に敏感でな近づくモノなら何であれ
襲い掛かる習性がある…
近づくのもダメ動くのもダメ…
誰かをおとりにさせるわけにもいかない…
アタシはどうしたら…","The Molduga is a monster... A terror
so savage that even other monsters 
won't approach it...
It's often been spotted west of here, in
the Toruma Dunes, and in the south.

It's very sensitive to vibrations, and it
tends to attack anything that draws near.

You can't approach it or even move
near it... And you can't use someone
as bait...
So what am I to do..."
10,Talk_07,モルドラジークの肝！！,Molduga guts!
11,Talk_08,ほ…本当にもらっていいのか？,You... You'll give these to me?
12,Talk_09,"こんな形でしかお礼できないけど
コレ受け取ってくれないか","This is all I have to thank you with, 
but I insist you take it."
13,Talk_10,これであの人も… グスッ,This will save him... *sniff*
14,Talk_12,…アタシがきっと…アナタの病気を…,I'll cure you... I'm sure I will...
15,Talk_13,サヴォッタ…,Sav'otta...
16,Talk_14,サヴァサーバ…,Sav'saaba...
17,Talk_15,サヴァーク…,Sav'aaq...
18,Talk_16,"アタシさ…
やっと運命のヴォーイを見つけて
最近結婚したばっかりなんだ…

幸せってやつを やっと見つけたところなんだ…

なのに旦那がちょっとやっかいな病に
かかっちゃってね…
モルドラジークの肝がないと
治らないってんだよ…
でもアタシの力では
アイツを倒すことなんて到底できないからさ
兵士さん達ならって思って
頼みに来たんだけど…
まぁモルドラジークは凶暴だからね…
立ち向かえばタダでは済まない…
こんな他人のために
誰も行きたがらないのは当たり前だ…
…せっかく街を出られたと思ったのに
こんなにすぐに戻ってくるなんて…","I... I finally found the voe of my dreams,
and I just recently married him...

I thought I had finally found happiness...


But then...my husband fell ill with a
rare disease... One difficult to cure.

The only thing that can save him is the
guts of a Molduga...

But I would never be able to take down
such a creature myself...

I asked the soldiers for help, but...


Why would they want to help me? 
The Molduga is a menacing beast... 
None who face one escape unscathed...
So perhaps it's foolish to expect anyone
to stick their neck out for a stranger...

I thought I'd finally gotten out of this
town... Never thought I'd have to come 
crawling back..."
19,Talk_17,"モルドラジークは凶暴だからね…
立ち向かえばタダでは済まない…
こんな他人のために
誰も行きたがらないのは当たり前だ…
でもあの人の病気を治すためには
モルドラジークの肝が必要なんだ
せっかく見つけた運命のヴォーイだ…
アタシはあきらめないよ","Of course, the Molduga is a menacing
beast... None who face one come away
completely unscathed...
So I guess it's foolish to expect anyone
to stick their neck out for a stranger...

But...the only thing that will cure my 
husband is the guts of a Molduga.

I finally met the voe of my dreams... 
I can't give up."
20,Talk_18,サークサーク！,"Oh, sarqso!"
21,Talk_19,"モルドラジークの棲んでる辺りは
極暑地帯でね…
暑さに強い ゲルド族でさえ
普通の装備では命を落としかねない場所だ…
アンタもあの辺に行くことがあれば
気を付けるんだね","The Molduga lives in a region of
extreme heat...

Even the Gerudo, who thrive in the heat,
might well expire there if they were clad
in their regular gear...
If you dare to go to that region, 
please be careful."
22,near_00,誰か…,Someone...
23,near_02,お願いします…,Please...
