#,Title,JPja,USen
1,"""0000""",サンドブーツ？,Sand boots?
2,"""0001""",さようなら,Good-bye.
3,"""0002""",見つけたよ,Found it.
4,"""0004""",砂漠なのによく走れるね,Nice sand-jogging!
5,"""0005""",サンドブーツ欲しい,Gimme those boots.
6,"""0006""",知ってる,I've heard it.
7,"""0007""",やめときます,Never mind.
8,"""0008""",これ見て！,Look at this!
9,"""0009""",探してきます,I'll go look.
10,"""0010""",八人目の英雄？,Eighth heroine?
11,"""0011""",サンドブーツください,"Sand boots, please!"
12,"""0012""",サンドブーツの事,Sand boots?
13,"""0013""",八人目の英雄の事,The eighth heroine?
14,"""0014""",スノーブーツちょうだい,"Snow boots, please."
15,"""0015""",さようなら,Good-bye.
16,Near00,ホッ ハッ ホッ ハッ,*huff...huff...huff*
17,Talk00,"なんだ男かよ…

サンドブーツを履けばゲルド女子にモテるって
聞いたから ずっと走ってアピールしてるのに…
誰一人声をかけてくれないんだよ…
ガセネタだったのかなぁ…","Oh, it's just a guy...
Saw me running around, huh?

See, I heard Gerudo women liked a guy
in sand boots, so I've been jogging all
over for forever trying to show off...
But none of them will talk to me!
I'm starting to wonder if that rumor was
just a bunch of bunk..."
18,Talk02,"ゲルド地方に伝わる
『七人の英雄伝説』…
だけど…本当は…
八人目の英雄が存在したらしいんだ…
彼女がなぜ歴史から葬られてしまったのか…
それは誰もわからないんだけど
噂はあれど誰も見た事がない幻の英雄…
子供の頃からの憧れだったんだ
だからその八人目の英雄を見せてもらえたら
このサンドブーツをキミに譲ってあげてもいいよ","Everyone's heard the legend in the
Gerudo region about the seven heroines,
but...some tell of an eighth heroine...
Wiped clean from history, and no one
knows why or how...

A phantom heroine known to all but
seen by none... I've been taken with the
legend since I was a child.
Find her! Show me the eighth heroine,
and I'll give you these sand boots. 
What do you say?"
19,Talk03,"八人目の英雄の事は色んな人が調べてるけど
まだ謎が解けていない都市伝説だ
謎を調べている間に仲良くなって…
そして…
ふふっ","Many have investigated the eighth heroine, but it's
an inscrutable legend, an unsolved and possibly
unsolvable puzzle...
And as Ms. Boots spins her wheels on it, we'll grow
closer... And closer... And then... 

Hee hee!"
20,Talk05,"よかった！
無事だったんだね！
なかなか帰ってこないし
心配していたんだ…
実は八人目の英雄なんて単なる都市伝説で
実在しないものなんだ…
僕…
キミとお近づきになりたくて
無理なことを言って
キミを引き留めておきたかっただけなんだけど…
結果的にキミを危ない目に遭わせることに
なったんじゃないかって不安で不安で…
でも もうキミを危ない目には遭わせないよ！
これからは僕がキミを守…","Oh! Oh, thank goodness!
You made it back safely!

You were gone for so long, I started to 
fear the worst...

I have to come clean. The eighth heroine
is just an urban legend—it doesn't
actually exist...
I... Well, I just wanted an excuse to get
close to you, y'know?

I wanted to keep you engaged so I just
thought up something impossible to hold
your interest...
And as a result, I put you in harm's way!
I'm a cad! And I've been so, so worried...

I won't put you in danger anymore!
From now on, I'll be your protect—"
21,Talk06,"僕を心配させまいと
慰めてくれてるのかい？
キミは優しいんだね

でも そんな気遣いは無用さ
これからは僕がキミを…","Are you trying to console me because
I've been so heartsick over this?

You're such a kind soul.


But no need to coddle me.
From now on I'll—"
22,Talk07,"ぼ僕はボテンサ
35歳独身趣味はジョギング！
皆からは良くも悪くもがんばり屋さんだね！
って言われます
き キミは一人なのかな？
良かったら僕と一緒に…","So yeah, hey, the name's Bozai.
I'm 35, single, and I LOVE jogging.
Especially on sand.
Yeah, everyone says I'm tenacious as a
tick! And I think some of them meant it in
a nice way, too!
S-so...you out here on your own?
Pretty rough and tumble place...
Wanna hang out with me awhile?"
23,Talk08,"サンドブーツは砂の上でも普通に歩ける
砂漠の民にとって憧れの一品！
でも もう作り手がいなくなっちゃって
今一番入手困難な超レアなブーツなんだ！
どうだい？ うらやましいだろ！","Sand boots let you walk normally on
sand, so if you live in the desert, 
believe me, you want a pair!
BUT! The only person capable of making
them passed away, which means they're
impossibly rare and extremely valuable!
What do you think? Jealous, right?"
24,Talk09,"あっ…サンドブーツに気づいちゃった？

これさえあれば砂漠の砂に足をとられず
普通に歩けるようになるからね
ジョギングだって楽々さ！

だから良かったら一緒に…","Ah... You noticed these old things?
Yeah, they're my sand boots.

They allow me to traverse the desert
without being slowed down at all, 
so jogging is a breeze.
If you'd like to check them out,
we could grab a quiet corner and..."
25,Talk10,"しかしまあサンドブーツもないのに
よくこの砂漠を歩き回ってられるもんだね
僕には考えられないよ","Sure seems like you do a lot of running
around in the desert for someone who
doesn't even have sand boots.
I would never think of doing that.
Don't you get tired?"
26,Talk11,"えっ…？
ああ…
さ… さよなら","Huh? Aw...


Good... Good-bye."
27,Talk13,"えっ？僕の話聞いてた？
このサンドブーツは超レアものなんだ
女の子ならともかく
男のお前なんかに譲るわけないだろ
僕は忙しいんだ
あっちいけよ！","Huh? You're coveting these things
after you heard me sing their praises?
Not cool.
Look, these sand boots are super rare.
Mayyyybe I'd consider giving them to
you if you were a girl, but a guy? NO.
I'm busy here. Get lost!"
28,Talk14,"す…

すごいじゃないか！

今まで都市伝説と思われていた
あの八人目の英雄が本当にいたなんて！
これが世間に知れたら
すごい騒ぎになるよ！！
…でもさ 
僕は誰にも言わないよ…
そうすれば これはキミと僕
2人だけの秘密ってことだよね！
よ よかったら
これを機に僕と…","That—


THAT'S AMAZING!


I thought it was just an old wives' tale!
The eighth heroine actually exists?!

If the rest of the world knew this, it'd be 
absolute bedlam!

...But I won't tell anyone...


Yeah, that way, it'll just be our little
secret, right? Sort of a bonding thing.

And yeah, i-if it's OK, I'd like to take this
opportunity to ask you—"
