#,Title,JPja,USen
1,"""0000""",どうしたの？,What's the matter?
2,"""0004""",持ってきた,I brought 'em.
3,"""0005""",どこで採れるの？,Where are they?
4,"""0006""",まだです,Not yet.
5,Near01,たりねぇなぁ…,Not enough...
6,Talk_001,"あんちゃん…

ゴーゴーダケ持ってないか…","Buddy...


Got any rushrooms?"
7,Talk_002,"俺はな…
疲れちまったんだよ…
普通の速さで進むことにな…

初めてゴーゴーダケに手を出したのは
5歳の時だった…
思えば あの時から毎日欠かさず食べてたよ…

おかげで
かけっこは いつも一番だったよ…
あれから 55年…
俺はもうゴーゴーダケが大好物になっちまった
だがな いくらゴーゴーダケを使っても
崖に生えているゴーゴーダケを採るには
俺は年をとりすぎたようだ…

だからここで めぼしいヤツに声かけて
ゴーゴーダケを集めてるんだ
どうだい？ゴーゴーダケ55個で
ダイヤモンドと交換ってのは？
ダイヤモンドは滅多に手に入らないお宝だ
悪くない取引だろ？
取引がしたいなら また声かけてくれ
俺は いつでもここに いるからよ","See, I... I'm tired.


Tired of going normal speed, I mean...


I first tried rushrooms when I was five
years old...

And come to think of it, I ate them every
day since without fail...

Back in the day, I'd win every race I ran
thanks to those things...

Cut to 55 years later...


Now I can barely drag these bones off
the ground without those rushrooms.

But no matter how many I eat to fortify
myself...

I'm just too old to get up the cliffs to
pick rushrooms where they grow...

That's why I'm letting all able-bodied
sorts know that I'm in the market for 'em.

I'll give a diamond for 55 rushrooms. 
That's worth the effort, right?

If you want to do business, just come
talk to me. I'm always here."
8,Talk_011,"ねぇちゃん…

いや… あんちゃんか…
なんでそんな恰好してるかは知らないが…
なぁ…
ゴーゴーダケ持ってないか…","Lady...


Oh, uhh... I mean, buddy... 
Threw me off with that outfit...

Anyway... Got any rushrooms?"
9,Talk_050,"また来ると思ってたぜ…

ブツは持ってきたのか？","I thought you'd come back...


You bring the stuff?"
10,Talk_051,"…5…15…25…35 …55

へへっ確かに…

約束の物は馬宿の裏に置いといたぜ

それにしても なぜ皆
あんな石っころを欲しがるんだか…
俺にはあんなものよりも
ゴーゴーダケの方がよっぽど価値があるけどな","5... 15... 25... 35... 55...


Heh, yep, they're all here...


I left that rock I promised you behind the
stable.

Beats me why anyone would go to such
trouble for a little ol' rock...

I'd rather have rushrooms any day."
11,Talk_052,"へへっ また頼むよ
俺はいつでもここにいるからよ
ただダイヤモンドは
さすがに もう持ってないんだ
その代り
相場の2倍の値段で買い取るぜ
ただし俺は55個単位じゃないと
取引はしないがな","Heh. Come back when you get more.
I'm always here.

I can't give you any more diamonds,
but I CAN offer twice the market value
for 'em.
Just remember that I won't deal in any
volume other than 55 at a time."
12,Talk_053,"…あんちゃんよぉ
俺の取引は55単位からだ…
こんな はしたゴーゴーダケなんて
いらねーんだよ
俺と取引したいなら
ゴーゴーダケ55個""耳を揃えて持ってくるんだな","...Buddy. You know the deal was for 55...


I have no use for a random number of
rushrooms. Just can't do it.

If you want to make a deal with me,
bring me 55 rushrooms."
13,Talk_054,"…5…15
……
…おいあんちゃん
俺の取引は55単位からだ…
こんな はしたゴーゴーダケなんて
いらねーんだよ
俺と取引したいなら
ゴーゴーダケ55個""耳を揃えて持ってくるんだな","5... 15... Uh... Huh.


...Hey. Buddy. The deal was for 55.


What am I supposed to do with some
random number of rushrooms?

If you want to make a deal with me,
bring me 55 rushrooms."
14,Talk_055,"ゴーゴーダケが
生えてる場所か？
それなら そこらじゅうに生えてるよ

ゴーゴーダケは崖に生える習性があるからな
この辺りにはゴロゴロあるはずだ
俺もあと5年若ければ
自分で採りに行ったんだがなぁ…","You want to know where to pick
rushrooms?

They grow all over the place.


Rushrooms tend to grow on cliffs, 
so they'll be everywhere around here.
No shortage of cliffs.
If I was five years younger, I'd be picking
them myself..."
15,Talk_056,"…5…15…25
……
おいあんちゃん
俺の取引は55単位からだ…
こんな はしたゴーゴーダケなんて
いらねーんだよ
俺と取引したいなら
ゴーゴーダケ55個""耳を揃えて持ってくるんだな","5... 15... 25... Uh... Huh.


...Hey. Buddy. The deal was for 55.


What am I supposed to do with some
random number of rushrooms?

If you want to make a deal with me,
bring me 55 rushrooms."
16,Talk_057,"…5…15…25 …35
……
…おいあんちゃん
俺の取引は55単位からだ…
こんな はしたゴーゴーダケなんて
いらねーんだよ
俺と取引したいなら
ゴーゴーダケ55個""耳を揃えて持ってくるんだな","5... 15... 25... 35... Uh... Huh.


...Hey. Buddy. The deal was for 55.


What am I supposed to do with some
random number of rushrooms?

If you want to make a deal with me,
bring me 55 rushrooms."
17,Talk_059,"…5…15…25…35 …55

へへっ確かに…","5... 15... 25... 35... 55...


Yesss. That's what I like to see!"
18,Talk_060,よぉ…,Heyyy...
19,Talk_061,"俺の取引単位は55からだ…
集めるのは大変かもしれないが
世間ではダイヤモンドってのは
かなり価値があるってきくぜ
悪くない取引だろ？

俺はいつでも ここにいるからよ
取引がしたいなら また声をかけてくれ","The deal's for 55... It might be a pain to
get 'em all, but I hear diamonds have a
pretty high value throughout Hyrule.
Not a bad deal, eh? And I'm always
waiting right here when you're ready
to do business."
20,Talk_062,"……ゼロおいあんちゃん
俺の取引は55単位からだ…
冗談なんて何の得にもならねぇもん
いらねーんだよ
俺と取引したいなら
ゴーゴーダケ55個""耳を揃えて持ってくるんだな","...Zero....Hey. Buddy. The deal was for 55...


I have no use for jokes. They're a waste
of both breath and time.

If you want to make a deal with me,
bring me 55 rushrooms."
21,Talk_063,"へへっ また頼むよ
俺はいつでもここにいるからよ","I'll happily take another batch anytime
you've got one. I'll always be right here."
22,Talk_1000,ゴー…… ゴー……,Rush... Rush...
