#,Title,JPja,USen
1,"""0000""",受ける,Of course.
2,"""0001""",なにそれ,Korok Trial?
3,"""0002""",受けない,No.
4,Korog_Young_near01,しれんはこちらー,This way to the trial!
5,Korog_Young_near02,勇気をー出してー,Summon your courage!
6,Korog_Young_talk01,"おや ハイリア人がコログしれんを
受けにきたぞー
いいのかなー
まあいいかー","A Hylian seeks to attempt the Korok Trial!
Is that even allowed?
Who cares!"
7,Korog_Young_talk02,"コログしれんっていうのは
コログが一人前になるためにやるんだー
おれも むかーしやったなー
あの時は燃えたわー… って""思い出はいいって？
こほん… この森にある3つのしれんを
一人の力で切り抜けるだけだよー
どんなしれんかは やってのお楽しみー","The Korok Trials are challenges Koroks
must complete in order to become
esteemed members of Korok society!
Or something like that...
*cough*

The three trials must be completed
alone. As for what challenges the trials
hold, you'll just have wait and see."
8,Korog_Young_talk03,"おれからのコログしれん""受けてみるー？",Are you here to attempt my Korok Trial?
9,Korog_Young_talk04,"わーすげー！ ほんとにやるのー？
言ってみるもんだなー","Oh, wow! You really want to try it?!
I guess it was worth asking after all!"
10,Korog_Young_talk05,"やりたいなーって なんとなく思ったら
また来てねー","Well, if you suddenly get the urge to
become a productive member of Korok
society, come on back!"
11,Korog_Young_talk06,"そんじゃ ここのしれんについて
説明すんねー
なんと！霧に迷い込まないように
進んでいくだけだよー簡単でしょ？
…あれ？
なんか すごい不満そうな視線…
だいじょぶ だいじょぶ！
手がかりは ちゃーんと用意してあるよー
『鉄を喰らう樹が道を示す
 それを見極めるは操りの力』
ほらー かっちょいい言葉でしょー？
よーく考えて進んでねー","Let me tell you about the trial.


All you need to do is keep going and
not get lost in the mist! Easy, right?

What's wrong? You don't look very
excited.

But don't worry—I've got a cryptic little
hint for you!

\""The hungry trees will show you the way.
Spy their iron to win the day.\""

Didn't I make that sound cool?
Think about that as you take on the trial."
12,Korog_Young_talk08,"『鉄を喰らう樹が道を示す
 それを見極めるは操りの力』
さっき考えたにしては
それっぽい言葉だよねー","\""The hungry trees will show you the way.
Spy their iron to win the day.\""

Sounds pretty cool considering I just
came up with it on the spot, huh?"
