#,Title,JPja,USen
1,"""0000""",やめマッスル…,"No pay, no way."
2,"""0001""",はじめマッスル！,Let's do this thing!
3,"""0002""",遠慮しときます,I'll pass.
4,"""0003""",やりマッスル！,"Count me in, brother!"
5,"""0004""",ルール説明して,Explain the rules.
6,"""0005""",つづけマッスル！,I'll never give up!
7,"""0006""",あきらめマッスル…,"Yeah, I'm done."
8,"""0007""",そこ どいて下さい,Um...please move.
9,"""0008""",さよなら,Riiight. Leaving now.
10,Talk_00,マッスル！ここはゴロン族の アツいトレーニング場ゴロ！一人前のオトコになるための修行場ゴロ！,"PUMP IT UP, BROTHER!By the gods, I love me some muscle.
This right here is our hard-core
training ground, string bean.This is where we come to get RIPPED.
AND. SHREDDED. It's where Goron boys
become Goron men, brother!"
11,Talk_01,"オマエのド根性を見せてくれるゴロか？！
トレーニングは一回20ルピーゴロ！","You gonna show us your grit?!
Props, brother! OK, so one training
session'll cost ya 20 rupees."
12,Talk_02,"なんと弱気な発言！
とてもとても残念ゴロォ！
思い直したらまた来るゴロ！
オマエの挑戦を待っているゴロ！","Your response is as weak as your biceps!
I'm disappointed in ya, brother!

Find your grit and rethink some things
in life, then come back. I'll be waitin'!
I wanna see what you're made of!"
13,Talk_03,"ルピーが足りないゴロ！
それでは トレーニングは受けられないゴロ！","Wha?! Ya don't have enough rupees!
This is trainin', not charity, brother!"
14,Talk_04,"トレーニングで集める額は100ルピーゴロ！
こんな数字 アツいオトコなら余裕ゴロ！
ルピーが足りなかったら時間内にゴールしても
失格になるゴロ！気を付けるゴロ！
では…","You've gotta collect 100 rupees as ya
climb. A hard-core Goron man should
be able to handle that no problem!
Even if ya reach the goal before time
runs out, if ya don't grab enough
rupees, ya fail! DON'T FAIL, BROTHER!
Got it? Good. Then it's finally time for..."
15,Talk_05,"おお！なんという事だゴロ！
制限時間を越えてしまったゴロ！
悔しいだろうが
拾ったルピーは あげられないゴロ！
今回は残念だったゴロ！
オマエの次の挑戦を待っているゴロ！","Huh? What do ya think you're
doin', brother?! Ya went over
the time limit!
I know it seems harsh, but I can't let ya
keep those rupees! Ya didn't earn 'em.

Tough luck, my minuscule friend.
But I'll be waitin' if ya wanna take the
challenge again. Don't let me down!"
16,Talk_06,"アァメイジンンッグ！！トレーニングは見事に合格ゴロォ！！このハードなトレーニングをクリアするとは…オレ達 ド根性三兄弟の
四人目を名乗っていいゴロ！
約束通り この舞台に立たせてやるゴロ！","UNBELIEVABLE!!You've passed our training with the grit
of a true Goron, my brother! In fact...
you've earned the right to call yourself...the fourth Goron Blood Brother!!


As promised, you are now allowed to
stand on this sacred platform of Goron
manliness. A real honor, I know.
You're officially one of us now!
Our true Goron brother, brother!
Welcome to the family!"
17,Talk_07,"ホット！ここは ゴロン族のトレーニング場ゴロ！
ガケを登って自分の根性を示すゴロ！
挑戦したいなら ガケの上にいる
兄貴に話してみるといいゴロ！","FEEL THE BURN, BROTHER!This hotness here is a training ground
for manly Goron men. We climb this cliff
like it's nothin', to prove our grit!
If you've got some guts in that tiny
belly of yours, then talk to my big bro
up top and prove it!"
18,Talk_08,"マッチョ！ここでやっている ド根性ガケ登りは
ゴロン族伝統のトレーニングゴロ！
ルールを知りたいなら ガケの上にいる
兄貴に話してみるといいゴロ！","BEYOND MACHO!!The Gut Check Challenge is an incredibly
macho version of traditional Goron
training, little man.
If ya wanna learn how it's done, go talk
to my big bro on top of the cliff!"
19,Talk_09,"…スウェッ… ト…ト…トレーニングするゴロォ…
がんばれボク…がんばれ…ゴロ……
ああ…ボクがリト族なら
風に乗って…上までひとっ飛び…なのに…","So sweaty... Brother...Hi... I'm trainin'...and sweaty...
Go me... I can do it... Brother...

Argh... If I were a Rito...I could just fly
right up there... If only..."
20,Talk_10,"やらないのかゴロ？！
オマエならやれると思うゴロ？！
考えが変わったら また来るゴロ！
オマエの挑戦を待っているゴロ！","What?! You're backin' down from the
challenge? But you look so strong!
Maybe I was wrong about you...
Come back if ya change your mind.
I'll be waitin'. Really! I wanna see
you in action, tiny brother!"
21,Talk_11,"よーし！ いい返事だゴロ！
ハンパなく鍛えてやるから覚悟するゴロ！
アツいトレーニングの内容を説明するゴロ！
ルールはきわめて簡単ゴロ！","Ha! Good answer, brother!
We're gonna shred you to pieces,
little man. Prepare your tiny self! 
OK, lemme explain how this hard-core
training works. The rules are dead
simple. Simple as a deadlift, brother!"
