#,Title,JPja,USen
1,"""0000""",弟？,Brother?
2,"""0001""",家出？,Did he run away?
3,"""0002""",どこへ行ったの？,Where did he go?
4,"""0003""",勇者の秘密？,Secret of the hero?
5,"""0004""",わかった,I understand.
6,"""0005""",マルゴ坑道って？,Gorko Tunnel?
7,Goron_Father_Near01,鍋にゴロゴロンス,"Mmm, Goron grub..."
8,Goron_Father_Near02,どこ行ったゴロス？！,Where did he go?
9,Goron_Father_Talk01,"ムボーな弟が帰ってこないでゴロス！！

弟は一体何を考えてるでゴロス…","My reckless brother hasn't come
back yet.

What in the world is he thinkin'?"
10,Goron_Father_Talk02,"弟よ！
そうであったゴロスか？！",Brother! So this is where you've been!
11,Goron_Father_Talk03,"弟なりに考えて
行動していたんだゴロスな…","I tried to think like my brother and do
what he would do so I could find him..."
12,Goron_Father_Talk04,"お願いがあるでゴロス！
弟に力を貸してやりたい兄心でゴロス！","I need you to do me a favor!
As a brother, I can't just sit
idly by. I have to help him!"
13,Goron_Father_Talk05,"オレはここで料理の準備をしながら
待っているでゴロスよ","I'm gonna get my cooking preparations
all in order while I wait for you..."
14,Goron_Father_Talk06,"！！
すばらしいゴロス！
最高級のロース岩でゴロス！
すぐに料理するでゴロス！","Hmmm... It's amazing!


This is the finest rock roast I've ever laid
eyes on! I'm gonna cook it up right now!"
15,Goron_Father_Talk06_2,"やったゴロス！
デリシャス焼きロース岩の完成だゴロス！","I did it! I made a deliciously grilled
rock roast!"
16,Goron_Father_Talk07,"弟よ！ できたでゴロス！
食べるでゴロス！！","Brother! It's ready! You're gonna eat it
and LOVE IT, and everything will be as
it should be again!"
17,Goron_Father_Talk08,"これが勇者の秘密ゴロスか？！

…ん？ どこかでみたことあるゴロス

とにかく…
スゴイ発見だ！我が弟よ！ ゴロス！","So this is the secret of the hero, eh?


Hmm... It looks oddly familiar...


Anyway, what an amazing discovery!
That's my brother for ya!"
18,Goron_Father_Talk09,"弟に力を貸してくれて
ありがとうでゴロス
さあ立派になった弟と
ゴロンシティへ帰るでゴロス","Thanks for helpin' out my little bro!


Now to return to Goron City with my
wonderful and accomplished brother!"
19,Goron_Father_Talk10,"弟はいつになったら
帰ってくるでゴロス？！
まさか…弟は…マルゴ坑道の奥にある
勇者の秘密を…？！","I wonder when my little brother will
come home...

He can't really be searchin' for the
secret of the hero in the depths of
Gorko Tunnel... Right?"
