#,Title,JPja,USen
1,"""0000""",そうです,That's right.
2,"""0001""",それほどでも,Not particularly.
3,"""0002""",わかった,Sure thing.
4,"""0003""",ちょっと待って,I'll think on it.
5,"""0004""",ハイリア人です,"Yes, I'm a Hylian."
6,"""0005""",違います,"No, I'm not."
7,"""0006""",そうです,"Yes, I am."
8,"""0007""",違います,"No, I'm not."
9,"""0008""",どうぞ,Sure thing.
10,"""0009""",急ぎますので,I'm in a hurry.
11,"""0010""",あなたこそ,Indeed.
12,"""0011""",はい,Yes.
13,"""0012""",いいえ,No.
14,"""0016""",お願いします,"Yes, please."
15,"""0017""",結構です,"No, I've got it."
16,"""0018""",あなたこそ,I could ask the same!
17,Npc_Lanayru003_R_001,やぁこんなトコでハイリア人とは珍しいな,"Hey. It's kinda weird to see a Hylian
around here."
18,Npc_Lanayru003_R_002,"なんかゾーラ川沿いのゾーラが
シド王子のトコまで行け行け言うから
ダルブル橋まで行ってん…でな？","The Zora along Zora River have been
telling Hylians to go see Prince Sidon.

The prince is waiting over at
Inogo Bridge—waiting to greet any
Hylians that show up..."
19,Npc_Lanayru003_R_003,"ウチは行商人やからな
どこにでも出て来よるで？
あ自己紹介しとこか

ウチはフタバ！以後 よろしゅう","Me, I'm a peddler, so I'm free to go
where the wind takes me. Or the waves.
Or whatever. Yeaaah.
Oh, let me introduce myself.


I'm Douma. Nice to meetcha!"
20,Npc_Lanayru003_R_004,"ウチ そのシド王子とやらに会ったんやけど
アレは…アカン奴や
ウチのこと見て「ずっと見ていたゾ！」とか
「君の名は？」とか聞いてきよるねん！
だから ここまで逃げて来てんけど…

まぁ…アンタも
怖い物見たさにシド王子見てきてみ？
男やったら ナンパはされんと思うけど…","Yeah, I met that so-called Prince Sidon.
Thing is...he ain't no good. First thing
he says to me, he says...
\""I've been watching you!\"" and then he
says, \""What's your name?!\"" Can you
believe that heat? I don't need it!
So I ran away from him and all that noise.
Now here I am.

So yeah... If you want to see a freak
show, go visit that Prince Sidon.

Though I doubt he'll go for you since
you're not a looker like me."
21,Npc_Lanayru003_R_005,"そんなことより アンタ
さっき そこのゾーラと話しとったやろ？","In any case, I wanted to ask you
somethin'... You just spoke to that
Zora over there, yeah?"
22,Npc_Lanayru003_R_006,"あのゾーラ…ゾーラの里方面に行って
シド王子に会ってくれ！とか言うてたやろ？","And that Zora...told you to head toward
Zora's Domain to meet Prince Sidon,
that right?"
23,Npc_Lanayru003_R_007,"なんで嘘つくねん！
あのゾーラの声 ここまで聞こえてきたで？","Hey, don't lie! That's cold! I could hear
that Zora's voice from here, ya know!"
24,Npc_Lanayru003_R_008,"だから なんでしょうもない嘘つくねん！
全部聞こえとったわ！","Why are you lying about it, fiend?!
I heard the whole thing!"
25,Npc_Lanayru003_R_009,まぁ とにかく…よ,In any case... Listen up.
26,Npc_Lanayru003_R_010,"やぁ君…
ゾーラの里方面に行くんか？","Hey, you... Are you heading to
Zora's Domain?"
27,Npc_Lanayru003_R_011,"まぁ男やったら大丈夫やろうけど…
自分でプリンスとか言ってるし怪しいもんやで","Since you've got a sword and stuff,
you'll probably be fine.

Just watch out for a creepy guy calling
himself a prince."
28,Npc_Lanayru003_R_012,"そうやなぁ…自分でプリンス言うてる時点で
ヤバさ満載やろ","Yeah, I wouldn't head that way.
I just came from there, and I ran into
this shady guy calling himself a prince.
This world we live in..."
29,Npc_Lanayru003_R_Near,こっちこっち～,Over here!
