#,Title,JPja,USen
1,"""0000""",かまどに点火したよ,The furnace is lit.
2,"""0002""",プルアは子供だよ,I met a child.
3,"""0003""",プルアって誰？,Who's Purah?
4,"""0004""",知ってる！,I know!
5,"""0005""",知らない,I didn't know.
6,"""0006""",やりましょう！,Let's do it!
7,"""0008""",古代兵装って？,Ancient soldier gear?
8,"""0009""",古代炉？,Ancient furnace?
9,"""0010""",チェリーちゃん？,Cherry?
10,"""0011""",さようなら,Bye.
11,"""0012""",話して！,Tell me!
12,"""0013""",話さなくていい,You don't have to.
13,"""0014""",はい,Yes.
14,"""0015""",いいえ,No.
15,"""0016""",ルピー？,Rupees?
16,"""0017""",その通り！,That's right!
17,"""0018""",あなたは？,Who are you?
18,"""0019""",プルアは若返った,Purah got younger.
19,near00,ウゴイテマスヨー,"Busy, busy..."
20,near01,ソザイ ヲ イレテネ,Put in the materials!
21,near02,イジョウ ナシ,Ready and waiting.
22,near03,エイギョウ チュウ,Open for business.
23,near04,……,...
24,near05,ヘイ！,Oho!
25,near06,ハフ…,*huff* *huff*
26,talk00,"ユー…まさか…リンク？
",Are you...the one called...Link?
27,talk01,"ハフ……ユーが本物のリンクなら
話さねばならん事が あるんじゃが…
さて どうやったらユーが
本物のリンクである事を証明できるかの？
100年前にできた身体の傷でも見れば
本物のリンクかどうか分かるんじゃがのゥ","Hm? Hm. That's too bad. If you WERE
the legendary Link, there would be
something important I'd need to tell you.
But how can I determine with full
certainty whether or not you are the
true hero? Yes, how indeed? Hm?
Hm, hm, yes. If you can show me the
wounds your body suffered 100 years
ago, that should prove you are truly Link."
28,talk02,"ジャスト… ユーの身体の無数の傷跡…
覚えておるぞ
ほとんど塞がっとるが 100年前
ユーが厄災で受けた傷と一致しておるな","Hm? Hm! Hmm... Yes, the number of
scars on your body...just as I remember.

Most seem to have healed, but they do
line up with the scars I know you got
during the Great Calamity 100 years ago."
29,talk03,"…じゃろうと思った
だったらゲットアウト…出てってくれんかの","Hm. Just as I thought. Then get out. 
Get out now—right this moment."
30,talk04,"ハハン？プルアに子供が出来た？

何？！プルア自身が若返って…子供に？！
リアリィ？マジ？
フムムム…まだあのハチャメチャが続くんか…

オケィ…まぁ彼女の事だから
おおかた人体実験に失敗したんじゃろ…","Hm? Purah? A child?


What?! She really has a kid? Hmm. Or do
you mean that Purah aged backward...
and SHE is now a child?
Hm? Are you certain?
Hm! So she's as crazy as ever.

Okeydoke. Knowing her, I'm guessing
she screwed up some experiment.
Hm, hm, yes. Typical."
31,talk05,"オケオケ""知らなんだら別にエエ","Hm, yes, OK. That's fine if you
don't know."
32,talk06,…バイザウェイの閑話休題,"Let us return to the subject at hand, hm?"
33,talk07,"ユーは あの厄災が
再び力を盛り返してるのは知ってる？","Did you know that the Calamity is
regaining its power?"
34,talk08,"フム…それなら
ウィらの経緯を話さんでいいかの？","Hmm, I see. Then I don't need to tell you
my story, hm?"
35,talk09,"オゥマイガッ！ それなら
ウィらの経緯を話した方がいいかの？","Are you serious?! Well then, I suppose
I should tell you my story, hm?"
36,talk10,"ウィら シーカー族研究者の目的…それは

時を超え復活する厄災を
完全に世の中から消し去る事
アンド…特に今回は厄災に捕われておる
ゼルダ様も お救いせねばならん
ウィらの研究は完成にこぎつけたが
厄災を倒すには歳を取り過ぎた…
バァット

幸いな事に ウィらが生きている間に
ユー… リンクが目覚めてくれた
ザ タイム ハズ カム…時は満ちた！","The goal of our Sheikah research lab is
simple, really. We aim to destroy the
Calamity that has endured across time...
to rid Hyrule of its dark influence...
and above all...to rescue Princess Zelda,
who is now a prisoner of the Calamity.
We have worked ourselves to the bone
conducting our research. For a time,
I feared I'd pass before we could prevail.
HOWEVER! You, Link, managed to
awaken before this old sack of flesh
gave out. That means...
THE TIME IS NOW! Hm, yes, yes!"
37,talk100,"ワープ地点として
アッカレ古代研究所を マップに登録します","Akkala Ancient Tech Lab has been added
to your map as a travel gate."
38,talk11,厄災を討つのじゃ！,We must destroy the Calamity!
39,talk12,バァット！ でもね？,Hm! Hm? Did you catch all that?
40,talk13,"ミー？

オーマイガッ！

興奮して自己紹介を忘れとったわ…
それでは改めて…","Hm? Me?


Are you serious?!


It seems I got so excited I forgot to
introduce myself! I'll start over, hm?"
41,talk14,バィバーイ,"Yes, bye!"
