#,Title,JPja,USen
1,"""0000""",持ってきてあげる,I'll bring you some.
2,"""0002""",ココナにあげる,This is for you.
3,"""0003""",気のせいだと思う,You're nuts.
4,"""0004""",頑張ってね,You'll live.
5,Near00,う～ん…,Hrmmm...
6,Talk01,ああっ！！,"...OH, NO!"
7,Talk03,"プリコにゴーゴー野菜クリームスープ作るって
お約束したのに…
ゴーゴーニンジンを忘れるなんて…

母様の分まで頑張らないとなのに…
ココナは ダメな姉なのです…","Koko promised to make Cottla some
hasty veggie cream soup... But silly
Koko forgot the swift carrots!
Koko is supposed to take Mother's place
for Cottla... Koko is a bad big sister..."
8,Talk04,"プリコにゴーゴー野菜クリームスープ作るって
約束したのに…
ゴーゴーニンジンが ないなんて…

母様の分まで頑張らないとなのに…
ココナは ダメな姉なのです…","Koko promised to make Cottla some
hasty veggie cream soup... But Koko
has no swift carrots!
Koko is supposed to be like a mother
for Cottla... Koko is a bad big sister..."
9,Talk04_2,"あれ？

あれれれれ？

ゴーゴーニンジンさんの カオリがするのです…","...Huh?


HUH?!


Koko smells swift carrots..."
10,Talk05,"ゴーゴーニンジンなのです！

ありがとうなのです！
ありがとうなのです！
これで プリコにごはんが作れるです！
さっそく クッキングなのです！","Is that...a swift carrot?!


Thank you so much! So very much!
Now Koko can make dinner for Cottla...
Yeah! Time to get cookin'!"
11,Talk07,"今日のごはんは
ゴーゴー野菜クリームスープにするのです！
じ よ う き ょ う そ う…

というのに良いらしいのです

ゴーゴーニンジンと岩塩とフレッシュミルクを
お鍋にいれて しっかり煮込むだけなのです！","Today's dinner is veggie cream soup!


It's super nourishing and fortifying!


Well, that's what they say, anyhow.
It must be true!

All you do is toss a swift carrot,
rock salt, and fresh milk in a pot
and stew it up. Then, voilà! So yummy!"
12,Talk08,"プリコにゴーゴー野菜クリームスープ作るって
お約束してたのに…","But...Koko promised to make Cottla
some hasty veggie cream soup..."
13,Talk09,"ありがとうございますです！

あとはゴーゴーニンジンが
1本あれば作れるのです！
ココナは ここで待っているです！

…暗くなったらあきらめて
お家に帰るですけど…","Thank you! So much!


OK, Koko just needs one swift carrot!
Just one and Koko can get cookin'!
Koko will be waiting for you here!
Though, once it gets dark out, Koko will have to
head home..."
14,Talk10,…つれないのです,"Oooh, that's cold..."
15,Talk12,"上手に できたのです！

よかったら
コレ どうぞなのです！
おすそ分けなのです！","Ooooh, it came out perfect!


Here, please have some!
Koko's treat!"
16,Talk13,"色々お料理を作って
母様みたいな お料理上手さんになるのです！","Koko wants to try cooking different
things so Koko can be a great chef,
just like Mother!"
17,Talk15,"今日はゴーゴーニンジンを
切らしてたのです…",Koko is all out of swift carrots!
