#,Title,JPja,USen
1,"""0000""",さ…探してこようか？,I'll go find them!
2,"""0001""",いつか戻ってきますよ！,They'll come back...
3,"""0002""",コッコちゃん捕まえたよ,Cucco update!
4,"""0003""",お仕事頑張って,Stay strong.
5,Near00,なんて事だ…,How could this happen...
6,Near01,コッコちゃん…,My precious Cuccos...
7,Talk01,リ… リンク殿…,Sir... Sir Link...
8,Talk03,えええっ！,WHAAA?!
9,Talk04,"ほ本当ですか？？

は…早く帰りたい…","...Oh. I see.


I just want...to go home."
10,Talk05,"コッコが…

コッコちゃん達が…","My Cuccos...


My precious Cuccos..."
11,Talk06,"はぁ… リンク殿…

コッコちゃん達まで
私に愛想を尽かしたのでしょうか…？
コッコちゃん…

コッコちゃん…","Waaahhh... Sir Link...


Could it be that my little Cuccos have
stopped loving me just like my wife?

My Cuccos... It can't be so...
Where are you, my sweet Cuccos..."
12,Talk07,"コッコちゃんは全部で10羽なんです！
1羽かけても ダメなんです！","I should have 10 Cuccos total. Even just
one unaccounted for won't do!"
13,Talk08,"コッコちゃんは全部で10羽なんです！
1羽かけても ダメなんです！","I should have 10 Cuccos total. Even just
one unaccounted for won't do!"
14,Talk09,"そう思って待っていた妻も…
まだ戻ってこないんですよね…
はははっ…

はぁ…","My wife left me a while ago...
All this time I've been waiting
for her to come back.
Ha. Joke's on me.


Ha... Ha ha..."
15,Talk10,"コッコちゃん達…
怖い思いをしていないでしょうか…
はぁ…","My poor little Cuccos...
I hope they aren't scared...
*sniffle*"
16,Talk11,"我々シーカー族は
代々ハイラル王家に仕えてまいりました
しかし あの大厄災後王の死とともに
シーカー族の和は乱れ
長であるインパ様を狙い
イーガ団と化す不届き者まででる始末…
そのため我々は
日々 インパ様をお守りしているのです","The Sheikah tribe has been serving
Hyrule's royal family for ages.

But after the Great Calamity and the
king's death, the Sheikah tribe was
split in two.
Some became part of the dishonorable
Yiga Clan...and those fiends are after
our beloved leader, Lady Impa.
That's why we stand guard every day.
We must protect Lady Impa."
17,Talk12,コッコちゃん…,My poor Cuccos...
18,Talk13,"ありがとうございます！

コッコちゃん達は全部で10羽です！

よろしくお願いいたします！！","Thank you so much!!


I have 10 Cuccos total. Hopefully you'll
be able to find them all..."
19,Talk14,"なのに 1羽もいないなんて…

きっとコッコちゃん達も
さみしい思いをしているはずです…
早く見つけてあげてください！

…私のためにも","But I don't have even a single one left...


Somewhere out there, my poor Cuccos
are lost and lonely... Please! Hurry up
and bring them back to me!
For their sake...and for mine, as well..."
20,Talk15,"コッコちゃんは全部で10羽なんです！
1羽かけても ダメなんです！","I should have 10 Cuccos total. Even just
one unaccounted for won't do!"
21,Talk16,"妻が帰ってこなくなった今
コッコちゃん達だけが心の支えだったのに…
うううっ…","Now that my wife wants nothing to do
with me, my Cuccos are my only
emotional support...
Waaaah... What do I doooo..."
22,Talk17,うぉぉぉぉぅっ！！！！,AAAARRRRGH!!
23,Talk18,"コッコちゃん…
寂しい思いをしてないでしょうか…
いや いかんいかん
どんな時でも職務を全うしなくては！","My little Cuccos... They're probably so
scared and lonely...

NO! I must stay focused. I must fulfill
my duty no matter what!"
24,Talk19,帰ってこないのです,They haven't come home yet!
25,Talk20,"なのに羽しかいないなんて！！

きっと コッコちゃん達も
さみしい思いをしているはずです…
早く見つけてあげてください！

…私のためにも","Sadly, only  have returned to me.


To think that somewhere out there,
even one of my poor Cuccos
could be lost and lonely...
Please! Hurry up and bring them back to
me!

For their sake...and for mine, as well..."
26,Talk21,"なのに 1羽しかいないなんて！！！

きっと コッコちゃん達も
さみしい思いをしているはずです…
早く見つけてあげてください！

…私のためにも","Despite all that, only one has returned
to me!

My poor little Cuccos... I'm sure that
wherever they are, they're as lonely
as I am... Please find them quickly!
For their sake...and for mine, as well..."
27,Talk22,本当ですか？？,Really?
28,Talk23,"コッコちゃん達…
怖い思いをしていないでしょうか…
はぁ… しかし仕事には行かなくては…","My poor little Cuccos...
They must feel so alone and afraid.

Bah, I need to get back to work."
