#,Title,JPja,USen
1,"""0000""",場所は？,Where is it?
2,"""0001""",試練って？,Blessing?
3,"""0002""",何してるの？,What are you doing?
4,"""0003""",さよなら,Gotta go.
5,"""0004""",ぜ… ぜひ…,My lips are sealed.
6,"""0005""",さよなら,I need to go.
7,"""0006""",試練って？,Blessing?
8,"""0007""",なるほど,I see.
9,"""0008""",さよなら,Bye!
10,Near_002,なるほど…,I see...
11,Talk_00,"そっか やっぱりアソコかぁ…
ずっと砂嵐がふいてるし おかしいと思ってたんだよね…","It was over there the whole time?
I thought it strange that the sandstorm over there
never lifted..."
12,Talk_01,"そ… それは
これからまた調べるんだけど…
ただ…関係あるかどうか
わからないけど
英雄様達は 1つの大きな力を
心・技・耐・知・飛・動・柔の 7つに分けて
それぞれが各々の力を担っていたというわ

でも私が見る限りは
どれも同じにみえるけどね…","I'm not sure what exactly it means, but
maybe I'll find out once I've deciphered
more of the text.
I'm not sure if this is related, but it's said
the heroines held powers that were part
of a bigger whole.
Each heroine had a different power:
skill, spirit, endurance, knowledge, flight,
motion, and gentleness.
But they all look the same to me."
13,Talk_02,"完全解読までもう一歩！

なんだけど…
最近 あの神獣様が良く動くもんだからさ
なかなか調査が進まなくてね

ほんともう！
あとちょっとなのに…","I should understand the entire script
before long, but that's only the
beginning of my problems.
That Divine Beast has been moving
around the area, making it harder for me
to conduct my research.
That thing has no respect for academia!"
14,Talk_03,"え？帰っちゃうの？

てっきり『七人の英雄伝説』の事を
聞きに来てくれたのかと…
はぁ…妹も話を聞いてくれないし
誰かに話したかったのになぁ…","Wait, you're leaving already?


Oh. I thought that you came to hear
the Legend of the Seven Heroines...

My sister won't listen to me, so I was hoping
someone else would..."
15,Talk_04,"『我ら七人の御霊正しく導きし者
勇者の試練への資格を与えん』
場所もわかってるし
完全解読まで あと一歩なんだけどなぁ…","\""When the symbols of the seven find
their place, the blessed path will be
revealed.\""
Well, we know the place it's referring to.
I just need to finish deciphering the full
text now."
