#,Title,JPja,USen
1,"""0000""",そうで…,That's right...
2,"""0001""",ちがいます,No.
3,"""0002""",お宝？,Treasure?
4,"""0003""",さよなら,Good-bye.
5,"""0004""",砂嵐？,Sandstorm?
6,"""0005""",わかりました,All right.
7,"""0006""",賊？,Karusa Valley?
8,"""0007""",お宝の事も教えて！,About that treasure...
9,"""0008""",賊の事も教えて！,About the thieves...
10,"""0010""",スナザラシラリー？,Sand-seal races?
11,Sinjyu_Female_001,"ここからは神獣の姿を
拝むことはできなかったんでな
正直遠くに行ったと言われても
ピンとはこないんだ…
しかし神獣の脅威は去ったとはいえ
魔物や砂嵐の脅威は残っている
砂漠は危険な場所だからこそ
古代人が色んなお宝を残したんだ！
まぁ お宝なんて
迷信だろうがな…","I couldn't get a good look at the Divine
Beast from here anyway, but I'm glad it's
gone.
Now, if we could only do something
about the monsters and sandstorms.

Without those, I'd be able to find all of
that treasure hidden out in the desert!

If the legends are true, that is..."
12,Sinjyu_Female_002,"神獣もいなくなったし
スナザラシラリーも再開しているはずだ
チャンピオンの走りがみられるのは
あそこだけだからな
仕事が終わったら久々に行ってみようかな","The Divine Beast is gone, so the
sand-seal races should be starting
up again.
It's been too long since I've seen the
champion strut her stuff.

Maybe I'll head over there after work..."
13,Sinjyu_Normal_001,"ここからは神獣の姿を
拝むことはできなかったんでな
正直遠くに行ったと言われても
ピンとはこないんだ…
しかし神獣の脅威は去ったとはいえ
魔物や砂嵐の脅威は残っている
砂漠は危険な場所だからこそ
古代人が色んなお宝を残したんだ！
まぁ お宝なんて
迷信だろうがな…","I couldn't get a good look at the Divine
Beast from here anyway, but I'm glad it's
gone.
Now, if we could only do something
about the monsters and sandstorms.

Without those, I'd be able to find all of
that treasure hidden out in the desert!

If the legends are true, that is..."
14,Sinjyu_Normal_002,"神獣は遠くに行ったと聞いた…
この街もこれで一安心だ
ここからは神獣の姿を
拝むことはできなかったんでな
正直遠くに行ったと言われても
ピンとはこないんだ…
しかし神獣が遠くに行ったということは…

スナザラシラリーも再開してるかな

チャンピオンの走りがみられるのは
あそこだけだからな
仕事が終わったら久々に行ってみようかな","Now that the Divine Beast is gone,
maybe things will go back to normal
around here.
Not that it bothered me much. I couldn't
really even see the Divine Beast from my
post here.
But now that the Divine Beast is gone...


The sand-seal races should start up
again!

It's been too long since I've seen the
champion strut her stuff.

Maybe I'll head over there after work..."
15,Talk_000,"ハイリア人か…
ここはゲルドの街の北西門だが
ヴォーイはこの街には入れんぞ
それがこの街の ルールだからな
…それにしても こんな裏口から来るなんて

お前まさか…
あの砂嵐の中を通ってきたのか？","Greetings, Hylian. This is the northwest
gate of Gerudo Town. Feel free to admire
it from the outside.
But don't attempt to cross its threshold.
Town law states voe like yourself are not
allowed within these walls.
Though I must admit I'm impressed you
got here from the northwest.

Did you truly pass through that
sandstorm to get here?"
16,Talk_001,"だろうな ゲルドの砂嵐は
気性が荒いじゃじゃ馬でな
アレに巻き込まれると方向感覚が失われ
ゲルド人ですら遭難することもあるぐらいだ
ただ その砂嵐を利用して古代人は
色んなお宝を隠したと言われてるがな","Of course you didn't. A Gerudo
sandstorm has the temperament of a
raging stallion.
If you wander into one, you'll lose all
sense of direction. Even us Gerudo are in
a bind if one seizes upon us.
But the ancients were able to use the
storms to their advantage. It's said they
hid all manner of treasure here."
17,Talk_002,"とはいえ
私もよくは知らないんだが…","Having said that, I don't really know the
details either."
18,Talk_003,"砂嵐には ゲルドの民でも近づく者は少ない…
まぁ近づかんことだな","There aren't even many Gerudo who
would risk being caught in a sandstorm.
You should keep your distance."
19,Talk_004,"ハイリア人か… ここはゲルドの街の北西門
ヴァーイなら遠慮せず中でゆっくりするがいい
旅人が砂嵐に巻き込まれんよう
注意喚起を行っている
アレに巻き込まれると方向感覚が失われ 
我々ですら遭難することもあるぐらいだからな
…ただ そんな場所だからこそ

古代人がお宝を隠してるなんて
言い伝えがあるんだろうがな","Ah, a Hylian. This is the northwest gate
of Gerudo Town. All vai are welcome.

We caution all travelers to avoid
sandstorms.

If you're caught in a sandstorm, you'll
lose your way. Even us Gerudo have
trouble navigating them.
...Which is precisely why there are so
many stories about ancient cultures
hiding their treasure in the desert."
20,Talk_005,"…まぁ良く考えたらそれはないか…

ゲルドの砂嵐は
気性が荒いじゃじゃ馬でな
アレに巻き込まれると方向感覚が失われ
ゲルド人ですら遭難することもあるぐらいだ
ましてや ハイリア人が入るなど…
ありえんな
…ただ そんなありえん場所だからこそ

古代人はこのゲルド砂漠に
色んなお宝を隠したと言われてるがな","No, that would be impossible...


A Gerudo sandstorm has the
temperament of a raging stallion.

Wander into one, and you'll lose all
sense of direction. Even us Gerudo are
in a bind if one seizes upon us.
I shudder to think what would happen
to a Hylian in a sandstorm...

It would be utterly impossible for you to
navigate one.

And that's precisely why ancient cultures
hid all manner of treasure in the
Gerudo Desert."
