#,Title,JPja,USen
1,"""0000""",引き受けた,Leave it to me!
2,"""0001""",ごめんなさい,No can do.
3,"""0002""",どうぞ！,I've got it right here.
4,"""0003""",もう ちょっと待ってて,I'll do my best.
5,Near_00,巨大クジラはやはり…,The leviathans...
6,Near_01,巨大クジラはなぜ…,How did they go extinct?
7,Near_02,絵さえあれば…,If only we had a picture...
8,Near_03,巨大な…,Leviathan...
9,Near_04,クジラ…,Bones...
10,talk-Gamyo01,"俺は巨大クジラは世界の砂漠化による
水不足で絶滅したと思ってる！","My theory is that the leviathans of
ancient times went extinct due to a
sudden, cataclysmic drought long ago!"
11,talk-Gamyo04,"くっ… ここで巨大クジラの
議論を続けていても らちが明かねぇな…","Hmph... Debating the cause of extinction
of the leviathans accomplishes nothing
without proof."
12,talk-Gamyo05,"俺はゲルド地方の巨大クジラの骨を
見てみたいんだ！","I must see that leviathan skeleton from
the Gerudo region..."
13,talk-Gamyo07,"絵が ないじゃないか！
持ってきてから言ってくれよ！","Hey, you don't have the picture!
Show it to me once you have it."
14,talk-Gamyo08,"わぉ！３つの巨大クジラの骨の絵を
そろえてくれたんだな！
ありがとうよ！
約束の報酬持っていきな！","Whoa! You got pictures of all three
leviathan skeletons!

Thank you. Here's the reward we agreed
upon."
15,talk-Gamyo09,"この調子で他の兄弟たちの分も
よろしく頼むな！","I'm sure my brothers would appreciate
your help with their pictures too."
16,talk-Gamyo10,"報酬は奮発して300ルピーだ！
よろしく頼むぜ！","I'll give you 300 rupees!
I'm sure you could use it."
17,talk-Gamyo11,"俺は巨大クジラが世界の砂漠化で滅んだ説の
証拠固めを進めるぜ！
後の二人の分も よろしくな！","I'm moving forward with my theory that
the leviathans died out due to global
desertification!
Please help my broth—
Er...my colleagues out too!"
18,talk-Gamyo12,"アンタの絵があれば百人力だぜ！
ありがとうよ！","Your pictures will do wonders for our
research! Thanks again!"
19,talk-Negyui01,"僕は巨大クジラは氷河期の到来により
絶滅したと考えてるんだ…","My theory is that the leviathans of
ancient times went extinct due to an
extended ice age..."
20,talk-Negyui04,"むぅ… ここで巨大クジラの
議論を続けていても らちが明かないね…","Mah... Mere words won't solve the
mystery of leviathan extinction.
We need proof!"
21,talk-Negyui05,"僕はヘブラ地方の巨大クジラの骨を
見てみたいんだけど…","I'd really like to see the leviathan
skeleton in the Hebra region..."
22,talk-Negyui07,"絵を持っていないじゃないか…まぁヘブラ地方の骨は
特に探すのが難しいらしいんだ
何でも閉ざされた洞窟の奥深くに あるとか…
ごめんね""詳しくは知らないんだ","But you're not carrying the picture...Not that I'm surprised—I imagine the
skeleton located in the Hebra Mountains
is incredibly hard to find in all that snow.
Now that I think about it, the only way it
would be preserved in such conditions is
if it were nestled away in a deep cave..."
23,talk-Negyui08,"わぁ！３つの巨大クジラの骨の絵
本当に そろえてくれたんだね！
ありがとう""感謝してもしきれないよ！
これはほんの気持ち""受け取ってね！","WOW! You got pictures of all three
leviathan skeletons! I can't thank you
enough!
Please. Take your reward."
24,talk-Negyui09,"この調子で他の兄弟たちの分も
しっかり頼んだよ！","Please help my other brothers out in the
same way!"
25,talk-Negyui10,"そうだよね すぐには見つからないよね…
気長に待ってるから よろしくね","Yeah, you probably wouldn't survive the
journey anyway. But I'll be here if you
change your mind."
26,talk-Negyui11,"君の絵を見ながら氷河期の到来説を
じっくり考えさせてもらうよ！","I'll continue to research my ice-age
extinction hypothesis while analyzing
the picture you provided."
