#,Title,JPja,USen
1,"""0002""",勝負する,You're on.
2,0002_00,"ヘーィ！""イイネ！イイヨ！サイコーだよ！
ただしかけっこといえど勝負は勝負！
20ルピーを賭けてもらう！
俺とかけっこ勝負するかい？","Yahoo! Now we're talking! This is
fantastic! But every challenge has to
have some stakes.
I'll bet you 20 rupees I can beat you in
a race. You have to pay first, though!"
3,0002_01,"ヘーィ！""イイネ！イイヨ！サイコーだよ！
また20ルピーを賭けて俺とかけっこ勝負だ","Yahoo! Now we're talking! This is
fantastic! Why don't you put down
another 20 rupees and race me again?"
4,"""0004""",勝負しない,I don't feel like it.
5,0004_00,"オット！残念！

久しぶりに見込みのある青年と
出会えたと思ったのに…見込み違いか…ヘェーィ","Noooo! What a letdown... I thought I'd
finally met a tough boy with some real
potential. Guess I thought wrong."
6,"""0005""",もちろん勝負する,Let's get started.
7,0005_00,"ヘィ！""その意気込みこそが大事だな！
じゃあ準備するし ちょっと待っててくれ！","Yesss! Now you're getting into the
spirit of things! I'll go set things up.
Don't go anywhere!"
8,0005_01,"ヘィ！""お待たせ！足の先まで準備万端だ！
お待ちかねのかけっこ勝負の時間だぜ！ヘィ！","OK! Thanks for waiting! I'm so ready
I could burst, and I bet you are too!
So let's begin...the race!"
9,0005_03,"かけっこのゴールはあの山のてっぺんの旗の所！
どちらかがゴールに着いた時点で勝負は終了！","The goal is the flags on top of the 
mountain! There's only two of us, so the
race ends once someone reaches them!"
10,0005_04,"ヘイ！わかっているとは思うが…
かけっこ勝負は自分の力だけでの勝負だ！
馬を使ったり ゴールを目指さなかったり
した場合は失格になるから気を付けてくれよ！","One more thing! You could probably
guess this already, but this is a foot race,
not a hoof race.
If you ride your horse or run away from
the goal instead of toward it, you'll
be disqualified!"
11,0005_07,"ヘィ！""かけっこ勝負！ ヨーイ…",And now...it's time! Get ready...
12,0005_08,ドン！,Go!
13,0005_NotEnoughMoney,"ヘィ！軍資金として20ルピーを用意してから
かけっこ勝負といこうじゃないか！まってるぜ！","Oops! I don't race without those 20
rupees on the line. Why don't you go
get some so we can finally race?
I'll be waiting!"
14,"""0006""",じゃあ勝負しない,You lost me.
15,0006_00,"ヘィ！""戦う前から諦めか？
そんな心構えで この先旅を続けられるのか？","What?! You're giving up before we
even start? Yikes... You'll never get
anywhere in life with that attitude!"
