#,Title,JPja,USen
1,"""0000""",どうしたの？,Is something wrong?
2,"""0001""",さようなら,Good-bye.
3,"""0002""",えっ？,Hmm?
4,"""0003""",つけたげる,I'll light it for you.
5,"""0004""",オッケー,Easily.
6,"""0005""",やめときます,I give up.
7,"""0006""",やっぱやめる,No way.
8,"""0007""",アッカレ古代研究所？,The lab?
9,"""0008""",やりますよ！,I'll do it!
10,"""0009""",お金取るの？！,Horse-handling fee?!
11,"""0010""",分かりました,If you say so.
12,Ask,どうしたの？やめちゃうの？,"You're not thinking of quitting, are you?"
13,BeforeStart_00,はい それじゃ位置についてー,Alrighty... On your mark...get set... 
14,BeforeStart_01,"3

2

1

Go！",Three...Two...One...Go!
15,BeforeStart_02,…って言ったら スタートだからね！,"See, I'll say that, and then you'll start."
16,CantPlay_End,…消しちゃダメよ,Don't put it out!
17,CantPlay_End_00,消しちゃダメって言ったのに…,I told you not to put it out...
18,CantPlay_LanternOn_AfterTalk,"フフ…青い炎""キレー…","Is there anything in all the world
as pretty as the blue flame?
I'm thinking...no."
19,CantPlay_LanternOn_BeforeTalk,"はぁ…青い炎…
見てるだけで癒される…","*sigh...* Good old blue flame. It's so
soothing to stare at, don't you think?"
20,CantPlay_Weather,んーでも天気悪いから いいよー,"The weather's pretty lousy, though,
so maybe not."
21,CantPlay_Weather_00,"お礼 もう20ルピーしかあげられないけど…
それでも やってくれる？","You can try anyway, but the reward is
still the same 20 rupees."
22,Explanation_00,"そうなの？
できるんなら お願いしちゃおっかなー","You? Hmm... That's one possibility,
I guess."
23,Explanation_01,"だったら3分以内に
このしょく台に青い炎 つけてみてよ！","How fast can you do it? Do you think
you can bring the blue flame to this
lantern in under three minutes?"
24,Explanation_02,"だったら1分以内に
このしょく台に青い炎 つけてみてよ！","How fast can you do it? Do you think
you can bring the blue flame to this
lantern in under one minute?"
25,Explanation_03,"だったら20秒以内に
このしょく台に青い炎 つけてみてよ！","How fast can you do it? Do you think
you can bring the blue flame to this
lantern in under 20 seconds?"
26,Explanation_04,"ふんじゃ馬の保全活動の代金として
20ルピーいただきまーす
だって少しでも早く青い炎""運ぶなら
馬使う事になると思うし…
だから20ルピーね？","Great! But I'll be taking 20 rupees as a
horse-handling fee.Well, you're going to use a horse, right?
I don't see any other way to do it that
fast. So yeah, 20 rupees."
27,Explanation_05,"ふんじゃ馬の保全代
20ルピーいただきまーす","Great! But I'll be taking 20 rupees as a
horse-handling fee."
28,Explanation_06,まいどありっ♪,You won't regret it!
29,Explanation_07,"…あれ？ ルピー足りてないよ？

20ルピー貯まったら また来てよ","Unless I'm counting wrong...this isn't
enough rupees. Come back when you've
saved up at least 20 rupees."
