#,Title,JPja,USen
1,"""0000""",はい！,Yes!
2,"""0001""",いいえ！,No!
3,"""0002""",お願いします！,Yes!
4,"""0003""",結構です！,I'm fine.
5,"""0004""",やめておきます！,Never mind!
6,"""0005""",大丈夫です！,That's OK.
7,"""0006""",もうやめる！,I'm through for now.
8,"""0007""",なんでもない！,Nothing!
9,"""0008""",それでもやめる！,I still want out!
10,"""0009""",やっぱり続ける！,"Well, in that case..."
11,"""0010""",進みたい！,Do your worst!
12,"""0011""",まだこのままで！,I'll just take it easy...
13,"""0012""",人生そのもの！,Shield surfing is life!
14,"""0013""",わからない！,*shrug*
15,"""0014""",上級コースで,The advanced course.
16,"""0015""",初級コースで,The beginner course.
17,"""0016""",やっぱりやめる！,Neither of them!
18,"""0018""",ごめんなさい…,Sorry...
19,"""0019""",そうなんですか？,Does that happen?
20,AboutCourse_Beginner,"この下へ真っ直ぐ進むと大きな橋があるわ
まずは その下まで滑ってもらいましょうか
本当に一本道のシンプルなコースだけど
これくらいの方が腕前の差がはっきり出るのよ","Straight down from here, you'll see a
big bridge. Why don't you start by
surfing your way there?
It's a pretty no-frills course, but it'll
help me get a bead on where you're at
with your technique."
21,AboutGame_00,"あら意外と慎重派なのね
じゃあ簡単に説明するわよ
ここからゴールまでいかに早く滑り降りるか？
いわゆる タイムアタックという競技ね！
盾サーフィンのやり方くらいは知っているわよね
盾を構えながら ジャンプ中に盾に乗るのよ！
別に途中で盾から降りても構わないし…
スピードに乗って空を飛んでもいいわよ！","Wow, you seem serious about this.
Not very surfer-like, but OK. I'll boil
it down for you.
Shield surfing is all about how fast you
can make it to the bottom of the hill.Quick check—you do know how to surf,
right? Just hold out your shield, and
then hop onto it in mid-jump.
For this course, I don't care if you stay
on your shield or not. You can go so fast
that you start to fly for all I care."
22,AskAboutShieldSurfing_Beginner,"分かったわ…じゃあ試験の代わりに
あなたに一つ意気込みを聞かせてもらうわね！
あなたにとって盾サーフィンとは？","Hmmm. Let's put the test aside for now
and just ask you straight out...What does shield surfing really mean
to you?"
23,AskCourse_Expert,"良い心がけね いい弟子を持ったものだわ
どっちのコースで腕を見せてくれるの？","That's my boy. Which slope were you
thinking for today?"
24,AskPurpose_Beginner,"元・プロ盾サーファーの私に
会いに来たのね？","You hiked all this way to meet the best
there ever was at shield surfing, right?"
25,AskPurpose_Expert,"今日はどうしたの？日頃の練習の成果を
私に見せに来てくれたのかしら？","So what brings you out here today? 
Wanna show me the results of all that
training I'm sure you've been doing?"
26,AskRetry_Beginner,"さてと…もう一度滑ってみる？
モチロン授業料として20ルピー頂くけど","So want to hit the slope again?
It'll be another 20 rupees for the
course fee."
27,AskRetry_Expert,さてと もう一度腕を見てあげましょうか？,So wanna hit the slope one more time?
28,AskRupee_Beginner,"そうね…一回につき20ルピー
ってトコかしらね？","How does... Hmmm... Is 20 rupees
a session OK with you?"
29,AskRupee_Expert,"それじゃ いつも通りだけど
授業料の20ルピーを頂くわよ？","The same charge as usual applies.
You have that 20 rupees for the course
fee, right?"
30,AskTraining_Beginner,"やっぱりね！でも私はもう引退した身…
雪の女王と呼ばれたのも随分と昔の話よ
でも そんな私でよければ
あなたの滑りを見てあげるわよ？","Knew it! Too bad for you that I'm retired,
huh? It's been years since anyone knew
me as the Duchess of Downhill.
But if you don't mind a few pointers from
a has-been, I'd be happy to critique
your technique."
31,CautionBigDoor_Expert,"あ あと！間違っても変な方に行っちゃダメよ！道を間違うと大きな石の扉があるんだけど
あんなのにぶつかったら大ケガするわよ","Oh, one more thing! Watch where you
surf!If you go the wrong way, you're bound
to slam into this giant stone door. Take
my word for it...that thing hurts."
32,ChangeBeginnerToExpert_Expert,"それじゃ上級コースでの滑りを見るわね
今までよりコースが長いけど頑張ってね！
ちなみに上級コースをクリアした暁には
クリアタイムごとに記念の盾を贈呈するわよ","Now let's see you hang on the advanced
slope. It's longer than the beginner
course, but stick with it!
The upside for the advanced course?
Finish it, and I'll give you a nice shield.
How nice all depends on your time!"
