#,Title,JPja,USen
1,ClearTerrorEnemy_00,ふぅ…,Phew...
2,ClearTerrorEnemy_01,あぶなー…,That was close...
3,ClearTerrorEnemy_02,ほっ…,Hohhh...
4,ClearTerrorGuardian_00,びっくりしたー…,That was scary...
5,ClearTerrorGuardian_01,あぶなー…,That was close...
6,ClearTerrorGuardian_02,ふぅ…,Phew...
7,NakedPlayer_00,ハダカだー,Where are his clothes?!
8,NakedPlayer_01,へんなやつー,What a weirdo!
9,NakedPlayer_02,ふく きないのー？,Not gonna put clothes on?
10,TerrorAnimal_00,ひぃーっ！,Aaaaauugh!
11,TerrorAnimal_01,ぎゃーっ！,Gyaaah!
12,TerrorAnimal_02,にげろー！,Run away!
13,TerrorArrow_00,なんだよ！,What are you doing?!
14,TerrorArrow_01,ちょっとっ！,Hold it!
15,TerrorArrow_02,やめてよ！,Stop that!
16,TerrorBomb_00,なっ？！,What the—?!
17,TerrorBomb_01,わっ！,Wah!
18,TerrorBomb_02,んっ？！,Hmm?!
19,TerrorEnemy_00,にげろー！,Run away!
20,TerrorEnemy_01,うわーっ！,Uwaah!
21,TerrorEnemy_02,たすけてー！,Help me!
22,TerrorExplosion_00,わーっ！,Wahh!
23,TerrorExplosion_01,ぎゃっ！,Gyah!
24,TerrorExplosion_02,うわーっ！,Uwaah!
25,TerrorFire_00,あちー,It's hot!
26,TerrorFire_01,あちゃちゃ,Hot hot hot!
27,TerrorFire_02,あぶねー,That was close...
28,TerrorGuardian_00,ひぃーっ！,Eeee!
29,TerrorGuardian_01,うわーっ！,Uwaah!
30,TerrorGuardian_02,たすけてー！,Help me!
31,TerrorHorse_00,ひゃー,Hyahh!
32,TerrorHorse_01,あぶねー,That was close...
33,TerrorHorse_02,わっ,Wah!
34,TerrorImpulse_00,ひぃーっ！,Aaaaack!
35,TerrorImpulse_01,うわーっ！,Uwaah!
36,TerrorImpulse_02,ぎゃーっ！,Gyaah!
37,TerrorInsect_00,ぎゃーっ！,Gyahh!
38,TerrorInsect_01,ひぃーっ！,Ewwwww!
39,TerrorInsect_02,うわーっ！,Uwaah!
40,TerrorLightning_00,わーっ！,Wahh!
41,TerrorLightning_01,ぎゃっ！,Gyah!
42,TerrorLightning_02,こえー,Yikes...
43,TerrorSword_00,おっ！,Hey!
44,TerrorSword_01,ちょっ！,Watch it!
45,TerrorSword_02,わっ！,Wah!
