#,Title,JPja,USen
1,ClearTerrorEnemy_00,はひー…,Hee...
2,ClearTerrorEnemy_01,ふぅ…,Phew...
3,ClearTerrorEnemy_02,ふへぇ…,"Phew, hee..."
4,ClearTerrorGuardian_00,はひー…,Hee...
5,ClearTerrorGuardian_01,ふぅ…,Phew...
6,ClearTerrorGuardian_02,ふへぇ…,"Phew, hee..."
7,TerrorAnimal_00,こわーい！,Scaaaary!
8,TerrorAnimal_01,ヤダー！,"Oh, nooooo!"
9,TerrorAnimal_02,勇者サマたすけてー！,"Help me, Mr. Hero!"
10,TerrorArrow_00,ややや！,Yayaya!
11,TerrorArrow_01,アワワ…,Ah wawah...
12,TerrorArrow_02,んきゃー！,Mmkya!
13,TerrorBomb_00,ボバーン？！,Boom?!
14,TerrorBomb_01,ピカピカ？！,Sparkles?!
15,TerrorBomb_02,ひぇ～,Heeeh!
16,TerrorEnemy_00,こわーい！,Scary!
17,TerrorEnemy_01,ヤダー！,Nooo!
18,TerrorEnemy_02,勇者サマたすけてー！,"Help me, Mr. Hero!"
19,TerrorExplosion_00,ばばばーん！！,Bada boom!
20,TerrorExplosion_01,ひゃあ！,Hyah!
21,TerrorExplosion_02,んぎゃ！,Ngya!
22,TerrorFire_00,あっちあちち,Ouch ouch!
23,TerrorFire_01,きゃー！ きゃーっ！,Kyaah! Kyaaah!
24,TerrorFire_02,コワイコワイ…,Scary...
25,TerrorGuardian_00,こわーい！,Scarrry!
26,TerrorGuardian_01,ヤダー！,Noooo!
27,TerrorGuardian_02,勇者サマたすけてー！,"Help me, Mr. Hero!"
28,TerrorHorse_00,でっかーい,So biiiig!
29,TerrorHorse_01,ぶひひーん！,Neeeeeigh!
30,TerrorHorse_02,やあやあ,Yah! Yah!
31,TerrorImpulse_00,ひぃーっ！,Heeeeeh!
32,TerrorImpulse_01,うわーっ！,Waaaah!
33,TerrorImpulse_02,ぎゃーっ！,Gyaaaah!
34,TerrorInsect_00,ぶんぶんぶん,Buzz buzz buzz!
35,TerrorInsect_01,やーん！,"Oh, nooooo!"
36,TerrorInsect_02,うわわわ！,Wah!
37,TerrorLightning_00,ぴしゃーん！,"Oooh, flaaash!"
38,TerrorLightning_01,ビリビリッ！,Zap zap!
39,TerrorLightning_02,ひゃわわわ…,Hya wah wah!
40,TerrorSword_00,わわ？,Wah?
41,TerrorSword_01,ぴゃっ！,Pyah!
42,TerrorSword_02,ヒャッ！,Hya!
