#,Title,JPja,USen
1,ClearTerrorEnemy_00,ふぅ…,Phew...
2,ClearTerrorEnemy_01,あぶなかった…,That was a close one...
3,ClearTerrorEnemy_02,ほっ…,Wow...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... I'm saved...
5,ClearTerrorGuardian_01,ふぅ…,Phew...
6,ClearTerrorGuardian_02,あぶなかった…,That was close...
7,NakedPlayer_00,ん… はだか…？,Hm. Going a little casual?
8,NakedPlayer_01,うわぁ…,Uwaah...
9,NakedPlayer_02,あれ…服は…？,Where are his clothes...
10,TerrorAnimal_00,逃げろーっ！,Run awaaay!
11,TerrorAnimal_01,ぎゃーっ！,Gyaah!
12,TerrorAnimal_02,ひぃーっ！,Nyaaaah!
13,TerrorArrow_00,危ないっ！,That's dangerous!
14,TerrorArrow_01,やめてくれ,Stop it!
15,TerrorArrow_02,わわわ…！,Whyyy?
16,TerrorBomb_00,何だ？,What the?
17,TerrorBomb_01,んっ？,Hm?
18,TerrorBomb_02,わっ！,Wah!
19,TerrorEnemy_00,助けてくれーっ！,Help meee!
20,TerrorEnemy_01,ぎゃーっ！,Gyaah!
21,TerrorEnemy_02,ひぃーっ！,Heeeeelp!
22,TerrorExplosion_00,うわーっ！,Uwaah!
23,TerrorExplosion_01,ぎゃーっ！,Gyaah!
24,TerrorExplosion_02,ひぃーっ！,Gahhhh!
25,TerrorFire_00,あっつ,Hot!
26,TerrorFire_01,あっちーっ！,That's hot!
27,TerrorFire_02,うわーっ！,Yikes!
28,TerrorGuardian_00,ガーディアンだーっ！,A Guardian!
29,TerrorGuardian_01,助けてくれーっ！,Save meeee!
30,TerrorGuardian_02,ぎゃーっ！,Gyaah!
31,TerrorHorse_00,危ねっ！,Look out!
32,TerrorHorse_01,何すんだよ！,What are you doing?!
33,TerrorHorse_02,うわっ！,Yikes!
34,TerrorImpulse_00,ひぃーっ！,Aieeee!
35,TerrorImpulse_01,うわーっ！,Yikes!
36,TerrorImpulse_02,ぎゃっ！,Gyah!
37,TerrorInsect_00,ひぃーっ！,Aaaaagh!
38,TerrorInsect_01,ぎゃーっ！,Gyah!
39,TerrorInsect_02,うわーっ！,Yikes!
40,TerrorLightning_00,うわーっ！,Uwaah!
41,TerrorLightning_01,ぎゃーっ！,Gyaah!
42,TerrorLightning_02,ひぃーっ！,Wauuugh!
43,TerrorSword_00,ちょっ！,Hold it!
44,TerrorSword_01,わっ！,Aaaah!
45,TerrorSword_02,おっ！,Hey!
