#,Title,JPja,USen
1,ClearTerrorEnemy_00,はぁはぁ…,"Haah, haah..."
2,ClearTerrorEnemy_01,どうにか…,I'm fine...
3,ClearTerrorEnemy_02,ふぅ…,Phew...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... I'm saved...
5,ClearTerrorGuardian_01,はぁはぁ…,"Haah, haah..."
6,ClearTerrorGuardian_02,どうにか…,I'm OK...
7,NakedPlayer_00,うおっ はだか…,"Uh-oh, no clothes..."
8,NakedPlayer_01,何だ こいつ…,What is up with this guy...
9,NakedPlayer_02,はだかで大丈夫か？,You OK? A little cold?
10,TerrorAnimal_00,しゃー こら！,"Let's go, you filth!"
11,TerrorAnimal_01,かかって来いっ！,Bring it!
12,TerrorAnimal_02,じゃまだっ！,"Get out of here, pest!"
13,TerrorArrow_00,何をするっ！,What are you doing?!
14,TerrorArrow_01,ムダだっ！,Don't attack ME!
15,TerrorArrow_02,撃ってみなっ！,Take your best shot!
16,TerrorBomb_00,おっ何だ！,What IS that?
17,TerrorBomb_01,むっ！,Ungh!
18,TerrorBomb_02,これは？,What's this?
19,TerrorEnemy_00,かかって来いっ！,Come get some!
20,TerrorEnemy_01,やっつけてやる！,I'll take you down!
21,TerrorEnemy_02,しゃー こら！,"Let's go, you filth!"
22,TerrorExplosion_00,ぬわーっ！,Yikes!
23,TerrorExplosion_01,ぐはーっ！,Waaah!
24,TerrorExplosion_02,うおーっ！,Whooa!
25,TerrorFire_00,あっつ,Hot!
26,TerrorFire_01,あちゃちゃ！,Hot! Hot!
27,TerrorFire_02,うおーっ！,Whooa!
28,TerrorGuardian_00,逃げろーっ！,Run awaaay!
29,TerrorGuardian_01,ガーディアンだーっ！,It's a Guardian!
30,TerrorGuardian_02,うわーっ！,Yikes!
31,TerrorHorse_00,おっと！,Whoaaa!
32,TerrorHorse_01,気をつけろ！,Be careful!
33,TerrorHorse_02,危ねっ！,Watch out!
34,TerrorImpulse_00,ひぃーっ！,Urghh!
35,TerrorImpulse_01,うわーっ！,Uwahh!
36,TerrorImpulse_02,うおっ！,Whoa!
37,TerrorInsect_00,ひぃーっ！,Really?!
38,TerrorInsect_01,くそーっ！,"Oh, no! Oh, no!"
39,TerrorInsect_02,うおっ！,Whoa!
40,TerrorLightning_00,ぬわーっ！,Yikes!
41,TerrorLightning_01,ぐはーっ！,Waaah!
42,TerrorLightning_02,うおーっ！,Whooa!
43,TerrorSword_00,やる気かっ！,You want to fight?!
44,TerrorSword_01,何をするっ！,What are you doing?!
45,TerrorSword_02,かかって来い！,Don't cross me!
