#,Title,JPja,USen
1,ClearTerrorEnemy_00,ふぅ…,Phew...
2,ClearTerrorEnemy_01,あぶなかった…,That was close...
3,ClearTerrorEnemy_02,ほっ…,Hoh...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... Safe at last...
5,ClearTerrorGuardian_01,ふぅ…,Phew...
6,ClearTerrorGuardian_02,あぶなかった…,That was close...
7,NakedPlayer_00,えっ… はだか？,Wha... No clothes?
8,NakedPlayer_01,何… この人…,What's the deal here...
9,NakedPlayer_02,やだ… はだか…,Maybe...cover up a little?
10,TerrorAnimal_00,いやーっ！,Nooo!
11,TerrorAnimal_01,きゃーっ！,Yikes!
12,TerrorAnimal_02,ひぃーっ！,Ruuuuun!
13,TerrorArrow_00,危ないっ！,Stop playing around!
14,TerrorArrow_01,やめてっ,Stop it!
15,TerrorArrow_02,わわわ…！,What is wrong with you?!
16,TerrorBomb_00,えっ何？,Huh-what?
17,TerrorBomb_01,んっ？,Hm?
18,TerrorBomb_02,きゃっ！,Yikes!
19,TerrorEnemy_00,きゃー助けてーっ！,Yikes! Help!
20,TerrorEnemy_01,誰かーっ！,"Somebody, please!"
21,TerrorEnemy_02,ひぃーっ！,Oh nooooo!
22,TerrorExplosion_00,きゃーっ！,Yyyyikes!
23,TerrorExplosion_01,わーっ！,Waaah!
24,TerrorExplosion_02,ひぃーっ！,Urrrrrk!
25,TerrorFire_00,あっちー,Hot!
26,TerrorFire_01,あっつ,That's hot!
27,TerrorFire_02,うわーっ！,Waaah!
28,TerrorGuardian_00,逃げてーっ！,Run awaaay!
29,TerrorGuardian_01,きゃー助けてーっ！,Aiiiie! Help meee!
30,TerrorGuardian_02,ひぃーっ！,Run for your life!
31,TerrorHorse_00,きゃっ！,Yikes!
32,TerrorHorse_01,えっ何？,"Hm, what?"
33,TerrorHorse_02,ちょっと！,Hey!
34,TerrorImpulse_00,ひぃーっ！,Yeeep!
35,TerrorImpulse_01,わーっ！,Waaah!
36,TerrorImpulse_02,きゃーっ！,Yyyyikes!
37,TerrorInsect_00,ひぃーっ！,Eewwww!
38,TerrorInsect_01,きゃーっ！,Yyyyikes!
39,TerrorInsect_02,わーっ！,Waaah!
40,TerrorLightning_00,きゃーっ！,Yyyyikes!
41,TerrorLightning_01,わーっ！,Waaah!
42,TerrorLightning_02,ひぃーっ！,Yeeeeek!
43,TerrorSword_00,きゃっ！,Kyah!
44,TerrorSword_01,やめてっ,Stop it!
45,TerrorSword_02,いやっ！,Nooo!
