#,Title,JPja,USen
1,ClearTerrorEnemy_00,はぁはぁ…,Haah...haah...
2,ClearTerrorEnemy_01,どうにか…,Somehow...I made it...
3,ClearTerrorEnemy_02,ふぅ…,Phew...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... Safe at last...
5,ClearTerrorGuardian_01,はぁはぁ…,Haah...haah...
6,ClearTerrorGuardian_02,どうにか…,Somehow...I made it...
7,NakedPlayer_00,なっ… はだか…,You're...missing clothes.
8,NakedPlayer_01,くっ… こいつ…,Ugh...
9,NakedPlayer_02,はだか かよ…,You dare walk unarmored?
10,TerrorAnimal_00,さぁーっ！,Come on!
11,TerrorAnimal_01,かかって来なっ！,Bring it!
12,TerrorAnimal_02,じゃまだっ！,You pest!
13,TerrorArrow_00,何をするっ！,What are you doing?!
14,TerrorArrow_01,やめときなっ！,Stop that!
15,TerrorArrow_02,撃ってみなっ！,Give it your best shot!
16,TerrorBomb_00,なっ何だ？,Wh-what are you doing?
17,TerrorBomb_01,むっ！,Ungh!
18,TerrorBomb_02,これは？,What's this?
19,TerrorEnemy_00,かかって来なっ！,Have at you!
20,TerrorEnemy_01,身の程知らずめ！,Know your place!
21,TerrorEnemy_02,さぁーっ！,Come on!
22,TerrorExplosion_00,きゃーっ！,Yikes!
23,TerrorExplosion_01,うわーっ！,Waaah!
24,TerrorExplosion_02,ひゃっ！,Ahhhh!
25,TerrorFire_00,あっちー,Hot!
26,TerrorFire_01,あちゃちゃ！,Hot! Hot!
27,TerrorFire_02,うわーっ！,Yikes!
28,TerrorGuardian_00,ガーディアンだーっ！,It's a Guardian!
29,TerrorGuardian_01,まずいっ！,This is bad!
30,TerrorGuardian_02,きゃーっ！,Gyaah!
31,TerrorHorse_00,おいっ！,Careful!
32,TerrorHorse_01,こらっ！,Hey!
33,TerrorHorse_02,危なっ！,Look out!
34,TerrorImpulse_00,ひぃーっ！,Ooooof!
35,TerrorImpulse_01,うわーっ！,Waaah!
36,TerrorImpulse_02,ひゃっ！,Ahhhh!
37,TerrorInsect_00,ひぃーっ！,Get them away!
38,TerrorInsect_01,ちょっー！,Hey!
39,TerrorInsect_02,うわーっ！,Waaah!
40,TerrorLightning_00,きゃーっ！,Yikes!
41,TerrorLightning_01,うわーっ！,Waaah!
42,TerrorLightning_02,ひゃっ！,Ahhhh!
43,TerrorSword_00,やる気かい？！,You looking to fight?!
44,TerrorSword_01,何をするっ！,What are you doing?!
45,TerrorSword_02,かかって来な！,Bring it on!
