#,Title,JPja,USen
1,ClearTerrorEnemy_00,ふぅ…,Phew...
2,ClearTerrorEnemy_01,はぁはぁ…,Haah... Haah...
3,ClearTerrorEnemy_02,ほっ…,Hoh...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... Safe at last...
5,ClearTerrorGuardian_01,はぁはぁ…,Haah... Haah...
6,ClearTerrorGuardian_02,死ぬかと思うた…,I thought I was a goner...
7,NakedPlayer_00,はだか とな…,"No clothes today, then?"
8,NakedPlayer_01,元気じゃのう,You're energetic.
9,NakedPlayer_02,服は どうした…,Did you lose your clothes?
10,TerrorAnimal_00,逃げろーっ！,Run awaaay!
11,TerrorAnimal_01,ぎゃーっ！,Gyaah!
12,TerrorAnimal_02,ひぃーっ！,Get away!
13,TerrorArrow_00,やめてくだされ…,"Please, stop..."
14,TerrorArrow_01,何をする…,What are you doing?
15,TerrorArrow_02,ひいぃ…,Hey now...
16,TerrorBomb_00,何じゃ？,What's the deal?
17,TerrorBomb_01,あぁっ？,Huh?
18,TerrorBomb_02,ひゃっ！,Aah!
19,TerrorEnemy_00,お助けーっ！,Help meee!
20,TerrorEnemy_01,ぎゃーっ！,Gyaah!
21,TerrorEnemy_02,ひぃーっ！,Noooooo!
22,TerrorExplosion_00,ひゃーっ！,Yiiiikes!
23,TerrorExplosion_01,ぬわーっ！,Waaah!
24,TerrorExplosion_02,おぉーっ！,Whoa!
25,TerrorFire_00,あちゃちゃ,Hot! Hot!
26,TerrorFire_01,ぎゃーっ！,Gyaah!
27,TerrorFire_02,ひぃーっ！,Yowch!
28,TerrorGuardian_00,お助けーっ！,Help meee!
29,TerrorGuardian_01,ぎゃーっ！,Gyaah!
30,TerrorGuardian_02,ひぃーっ！,I don't want to die!
31,TerrorHorse_00,こりゃっ,Hey!
32,TerrorHorse_01,ひゃっ！,Yiiikes!
33,TerrorHorse_02,おぉっ！,Whoa!
34,TerrorImpulse_00,ひぃーっ！,Yipes!
35,TerrorImpulse_01,ぎゃーっ！,Gyaah!
36,TerrorImpulse_02,おぉーっ！,Whoa!
37,TerrorInsect_00,ひぃーっ！,Ughhhh!
38,TerrorInsect_01,ぎゃーっ！,Gyaah!
39,TerrorInsect_02,おぉーっ！,Whoa!
40,TerrorLightning_00,ひゃーっ！,Yiiiikes!
41,TerrorLightning_01,ぬわーっ！,Waaah!
42,TerrorLightning_02,おぉーっ！,Whoa!
43,TerrorSword_00,ひゃっ！,Hyahh!
44,TerrorSword_01,やめんか,Stop that!
45,TerrorSword_02,こりゃっ！,Hey!
