#,Title,JPja,USen
1,ClearTerrorEnemy_00,ふぅ…,Phew...
2,ClearTerrorEnemy_01,はぁはぁ…,Haah... Haah...
3,ClearTerrorEnemy_02,ほっ…,Hoh...
4,ClearTerrorGuardian_00,ふぅ…助かった…,Phew... I'm saved...
5,ClearTerrorGuardian_01,はぁはぁ…,Haah... Haah...
6,ClearTerrorGuardian_02,死ぬかと思うた…,I thought I was a goner...
7,NakedPlayer_00,はだか とな…,"Not a fan of clothes, huh..."
8,NakedPlayer_01,若いのう,"Ahh, to be young..."
9,NakedPlayer_02,おや… まあ…,"Well, that's unexpected..."
10,TerrorAnimal_00,ひぃーっ！,Take cover!
11,TerrorAnimal_01,ぎゃーっ！,Gyaah!
12,TerrorAnimal_02,あぁーっ！,Ahhh!
13,TerrorArrow_00,やめてくだされ…,Please stop...
14,TerrorArrow_01,な…何を…,Wh-what are you...
15,TerrorArrow_02,ひいぃ…,Ahhh!
16,TerrorBomb_00,何じゃ？,What? Why?!
17,TerrorBomb_01,おぉっ？,Oh?
18,TerrorBomb_02,ひぇっ！,Ahhh!
19,TerrorEnemy_00,誰かーっ！,Someone heeelp!
20,TerrorEnemy_01,ぎゃーっ！,Gyaah!
21,TerrorEnemy_02,ひぃーっ！,Aaaack!
22,TerrorExplosion_00,ひいぃーっ！,Waaaagh!
23,TerrorExplosion_01,ぎゃーっ！,Gyaah!
24,TerrorExplosion_02,あぁーっ！,Ahhh!
25,TerrorFire_00,あちゃちゃ,Hot! Hot!
26,TerrorFire_01,ぎゃーっ！,Gyaah!
27,TerrorFire_02,ひぃーっ！,Aaaaaaa!
28,TerrorGuardian_00,誰かーっ！,Someone heeelp!
29,TerrorGuardian_01,ぎゃーっ！,Gyaah!
30,TerrorGuardian_02,ひぃーっ！,"Ohhh, this is bad!"
31,TerrorHorse_00,くわっ,Yikes!
32,TerrorHorse_01,ひぇっ！,Heeh!
33,TerrorHorse_02,あぁっ！,Ahhh!
34,TerrorImpulse_00,ひぃーっ！,Eeek!
35,TerrorImpulse_01,ぎゃーっ！,Gyaah!
36,TerrorImpulse_02,あぁーっ！,Ahhh!
37,TerrorInsect_00,ひぃーっ！,Uh-oh!
38,TerrorInsect_01,ぎゃーっ！,Gyaah!
39,TerrorInsect_02,あぁーっ！,Ahhh!
40,TerrorLightning_00,ひいぃーっ！,Bluhhhh?!
41,TerrorLightning_01,ぎゃーっ！,Gyaah!
42,TerrorLightning_02,あぁーっ！,Ahhh!
43,TerrorSword_00,ひぇっ！,Hey!
44,TerrorSword_01,やめなされ,Stop that!
45,TerrorSword_02,くわっ！,Yikes!
