#,Title,JPja,USen
1,"""0000""",買います,I'll buy.
2,"""0001""",いりません,Nope.
3,"""0002""",何それ？,What's that?
4,"""0003""",違います,Nope.
5,Talk001,やぁ！ キミ盾サーフィンしに来たのかい？,"Heeey, man. You here for some
shield surfing?"
6,Talk002,"木の盾だね？""盾サーフィンするには
手ごろな盾だよ それなら30ルピーでどうだい？","The wooden shield? A decent choice
for shield surfing, sure. How's about
30 rupees?"
7,Talk003,"兵士の盾かい？""盾サーフィンでも戦いでも
頼りになる盾だね！""100ルピーでどうだい？","The soldier’s shield? A reliable choice
for combat or the slopes, sure.
How's about 100 rupees?"
8,Talk004,"騎士の盾だね？""頑丈だから盾サーフィンには
もってこいだよ！""300ルピーでどうだい？","The knight's shield? A sturdy choice,
sure. Perfect for shredding, my man!
How's about 300 rupees?"
9,Talk005,"やぁ！ また滑りに来てくれたのかな？
どんどん滑ってってね！
ていうか盾は全部売れちゃったから
もうキミに用はないんだけどね…
ボクの盾も売っちゃったし どうしようかな…？
また廃墟にでも落ちてないかなぁ…
それか ちょっと怖いけど夜
魔物が寝てるところを こっそり かすめ取るか…","Heeey, man. You back to tear it up
some more? Couldn't stay away,
could ya? Yeaaah, go nuts out there.
I'm all sold outta shields anyway, so I've got
nothin' for ya, my man.

I shouldn't have sold my own shield... Yeaaah.
Well, maybe I'll find another just lyin' around
the ruins.
Or maybe I can try sneaking up on a monster
when it's sleeping and stealing theirs...
Nah, too scary."
10,Talk006,"おっ！""盾が欲しいのかい？！","Heeey, man! You lookin' for a shield?!"
11,Talk007,また今度 よろしくね！ていうか買ってもらわなきゃ サークル解散だよ…,"Aww. Maybe next time.If I don't sell somethin' soon, my gang is doomed..."
12,Talk008,"ありがとう！盾サーフィンの気持ちよさ
ぜひ試してみてね！
ふぅ… これで少しは しのげるかな…","Rock solid, man! You just gotta shred it
up and you'll be sold for life!

Phew! With this sell, maybe we can keep going
just a little longer..."
13,Talk009,"うーん…""ルピーが足りないみたいだね","Oh, awkward... Looks like you're a little
light on rupees, my man."
14,Talk010,"おや…""ポーチがいっぱいじゃないか","Whoa there... Looks like your inventory
is full, my man."
15,Talk011,"ちょっ？！
何してんの？！",Heeey! Quit messin' around!
