#,Title,JPja,USen
1,"""0000""",アルバムを見せる,Check out my album.
2,"""0001""",やめておく,Nope.
3,Talk00,"む キミは大妖精の泉を見つけてくれた……
奇遇だな キミも旅をしているのか
私もさらに あちこち旅をしているからな
新たに教えてやれる場所があるかもしれん","Oh! You're the guy who found the
Great Fairy Fountain! Funny running
into you here. Are you traveling too?
I've traveled all over the world,
so I'm happy to tell you about
new places, if you want."
4,Talk01,"何とも趣のある造形だ……""自然はなぜ
こういったものを造り出せるのか……","Wow... What a dignified structure!
How does nature create such
magnificence?"
5,Talk02,もし見て欲しい絵があれば出してみなさい,"If you have a picture to show me,
let's see it already!"
6,Talk03,"うむ奥にハイラル城が映っている この絵……

昔ハイラル城の南には騎士の叙任式を行う
式典場があったらしい
今は廃墟になっているが…… この絵に
描かれているのは おそらくその式典場だろう","Hmm... This picture shows Hyrule Castle
in the distance.

They say there used to be a stage where
knighting ceremonies were performed,
just south of Hyrule Castle.
It's in ruins now, but...I'm pretty certain
that's what's in this picture."
7,Talk04,"そうかね もし必要な時は言ってくれ
キミには世話になったからな","I see. Well, if you ever need my help,
the offer stands. After all, you helped
me out a great deal!"
8,Talk05,"ただ…… あの辺りは非常に危険な場所だ
もし行くなら くれぐれも気を付けることだ","However...that area is extremely
dangerous. If you're planning on
going there, please be careful."
9,Talk08,"やぁ キミか
キミの絵を また見せてくれるのかな？","Hey! It's you! Did you come by to show
me that fabulous picture again?"
10,Talk09,"やぁ また会ったな
キミも旅の途中かね？
私もずっと あちこちと旅をしているのでな
また教えてやれる場所が あるかもしれんぞ","Hey! We meet again. Are you out
traveling as well?

I've traveled all over the world,
so I'm happy to tell you about
new places, if you want."
11,Talk10,"ん？ キミは…？
失礼だが キミも旅をしているのかね？
私は絵が趣味でね
美しい風景を求めて旅をしているんだ
実は この世界のどこかに それはそれは美しい
大妖精の泉というのがあるらしくてね
その泉は美しいだけでなく
不思議な力が秘められているという…
しかし未だに見つけられなくてねだが最近カカリコ村の近くにあるという
噂を聞いたんだ
カカリコ村は私の故郷でね
久しぶりに一度帰ってみるかな…","Hm? And you are? Sorry, but...
are you traveling too?

I'm a painter, you see. I'm traveling the
world in search of beautiful scenery.

They say the most beautiful spots in
the world are these places called
Great Fairy Fountains.
Not only are they incredibly beautiful,
but they supposedly can grant people
some kind of strange power...
Sadly, I've yet to find one.But I heard a rumor recently that there's
one near Kakariko Village!

Kakariko Village is my hometown.
Perhaps it's time for a visit..."
12,Talk11,"カカリコ村に大妖精の泉……
果たして本当にあるのだろうか……？","A Great Fairy Fountain near
Kakariko Village... Could the rumor
be true?"
13,Talk12,"ん？ キミは…？
失礼だが以前どこかで会ったかな？
まぁいい ところでキミ
大妖精の泉というものを見たことがあるかね？
この世界のどこかに それはそれは美しい
大妖精の泉というのがあるらしくてね
その泉は美しいだけでなく
不思議な力が秘められているという…
しかし未だに見つけられなくてねだが最近カカリコ村の近くにあるという
噂を聞いたんだ
カカリコ村は私の故郷でね
久しぶりに一度帰ってみるかな…","Hm? You... I'm sorry, but have we met
somewhere before?

Well, it's not important. Have you ever
heard of a Great Fairy Fountain?

They say Great Fairy Fountains are
some of the most beautiful places
in the world!
Not only are they incredibly gorgeous,
but they can supposedly grant people
some kind of strange power...
Sadly, I've yet to find one.But I heard a rumor recently that there's
one near Kakariko Village!

Kakariko Village is my hometown.
Perhaps it's time for a visit..."
