#,Title,JPja,USen
1,"""0000""",灼熱？極寒？,Hot and cold? Really?
2,"""0001""",伝説の剣？,A legendary sword?
3,"""0002""",さよなら,Gotta go.
4,"""0003""",渡ったら？,Why not do it?
5,"""0004""",やめといたら？,No way.
6,"""0005""",買ったら？,Why not buy one?
7,Talk_001,"ゲルド砂漠は
昼と夜の気温差が激しいのなんのって
暑さ寒さに耐えられる服でもないと
体力が奪われて すぐにオダブツだよ
ったく…馬も嫌がって砂漠には
入りたがらないしよぉ
そんな中魔物までいたんじゃ
オレなんて一瞬で…
だからさ せめて伝説の剣でもあればなって
考えてたわけさぁ","The temperature in the Gerudo Desert
swings dramatically between the day and
night.
If you haven't got the right clothing for
hot and cold weather, your health will
certainly suffer.
Spend too much time in a temperature
you can't handle and your goose is
cooked. Or frozen, I guess.
Even horses don't like going into the
desert. That really tells you something...

And of course, when you add monsters
to that mix... It's just a nightmare of a
place.
That's what got me thinking that having a
legendary sword would make a serious
difference. I'd be safe with that."
8,Talk_002,"ハイラルの森で主を待つっていう
伝説の剣の事だよ
結構有名な話だと思ってたけど…
知らない？
オレは オルディン地方のハイラル大森林に
あるんじゃないかって思ってるんだけどさぁ
あっこには妖精が住んでいてさぁ
森に立ち入った者を迷わせるって噂でよぉ
伝説の剣ってのが本当にあるなら
いつか一目拝ませてもらいたいもんだけどさぁ
オレ迷うの
イヤなんだよなぁ","I'm talking about the legendary sword
that's supposedly sleeping in a forest in
Hyrule, awaiting its owner's return.
I thought it was a pretty well-known
story... You've never heard it?

Well, anyway... I think it's in the
Great Hyrule Forest in the Eldin region.

Fairies live there, and someone once told
me that if you enter their forest, they'll
get you all turned around and confused.
If the legendary sword does exist, I'd
love to even just get to see it, just once.

But I get lost in the woods when there
aren't fairies messing with me, so I'd
never survive the Great Hyrule Forest..."
9,Talk_003,"ゲルド砂漠は
昼と夜の気温差が激しいのなんのって
暑さ寒さに耐えられる服でもないと
体力が奪われて すぐにオダブツだよ
ったく…馬も嫌がって砂漠には
入りたがらないしよぉ
そんな中魔物までいたんじゃ
オレなんて一瞬で…
だからさ せめて伝説の剣でもあればなって
考えてたわけさ","The temperature in the Gerudo Desert
swings dramatically between the day and
night.
If you haven't got the right clothing for
hot and cold weather, your health will
certainly suffer.
Spend too much time in a temperature
you can't handle and your goose is
cooked. Or frozen, I guess.
Even horses don't like going into the
desert. That really tells you something...

And of course, when you add monsters
to that mix... It's just a nightmare of a
place.
That's what got me thinking that having a
legendary sword would make a serious
difference. I'd be safe with that."
10,Talk_004,"ハイラルの森で主を待つっていう
伝説の剣の事だよ
結構有名な話だと思ってたけど…
知らない？
オレは オルディン地方のハイラル大森林に
あるんじゃないかって思ってるんだけどさぁ
あっこには妖精が住んでいてさぁ
森に立ち入った者を迷わせるって噂でよぉ
伝説の剣ってのが本当にあるなら
いつか一目拝ませてもらいたいもんだけどさぁ
オレ迷うの
イヤなんだよなぁ","I'm talking about the legendary sword
that's supposedly sleeping in a forest in
Hyrule, awaiting its owner's return.
I thought it was a pretty well-known
story... You've never heard it?

Well, anyway... I think it's in the
Great Hyrule Forest in the Eldin region.

Fairies live there, and someone once told
me that if you enter their forest, they'll
get you all turned around and confused.
If the legendary sword does exist, I'd
love to even just get to see it, just once.

But I get lost in the woods when there
aren't fairies messing with me, so I'd
never survive the Great Hyrule Forest..."
11,Talk_005,"出来る男ってやつは

行きたいって気持ちよりも
目の前の現実をみないとだろ？","Y'know, a capable adventurer...is one
who considers the big picture and
doesn't just act rashly. Right?"
12,Talk_006,よぅ また会ったなぁ！,"Hey, we meet again!"
13,Talk_008,"ちょっと オレの悩み聞いてくれよぉ

オレさゲルド砂漠を渡るべきか
渡らざるべきか…悩んでるんだよぉ","You should hear about what I've been
going through.

So I've really been struggling with
whether or not I should venture into the
Gerudo Desert..."
14,Talk_009,"選ばれた勇者しか手にできないって言う
伝説の剣の事知らない？
オレは オルディン地方のハイラル大森林に
あるんじゃないかって思ってるんだけどさぁ
あっこには迷いの森って呼ばれてるだけあって
気が付いたら入口に戻されてる って噂でよぉ
伝説の剣を隠すのには
持って来いの場所だと思うんだよなぁ
…でもオレ迷うの嫌だから
行かないけどさぁ","You've never heard of the legendary
sword? The one that can only be wielded
by the chosen hero? Weird...
Well, personally, I think it must be in the
Great Hyrule Forest in the Eldin region.

I mean, the whole reason they call it the
Lost Woods is because you always lose
your way and end up back at the start.
If someone wanted to hide a legendary
sword, is there really a better place than
that to do it?
But I get lost in the woods without magic
making it happen, so there's no way I'm
going in there."
15,Talk_010,"この変な兄ちゃんが売ってる
ヒンヤリアゲハ…
魔物の素材と調合すると
暑さに強くなれる薬が作れるらしいんだ…
買うべきか…
買わざるべきか…","So the winterwing butterfly this
weird guy is selling...

I hear that mixing it with monster parts
will produce an elixir that can improve
your heat tolerance...
Should I buy one? Should I not buy
one? ...Such a hard choice."
16,Talk_012,"だよなぁ…

砂漠はよぉ昼夜の寒暖差も
半端ないからさぁ
暑さ寒さに耐えられる服でもないと
命がいくつあっても足りないよなぁ
それに砂漠にゃ
凶悪な魔物がゴロゴロいるんだぜぇ
オレ… こう見えて意外と
箱入り息子なんだよなぁ
勝てない勝負はしない主義なんだ

でもさぁ伝説の剣があれば
オレだって…","Yeah, I could forget about it...
It is either blazing hot in the day or
bitterly cold at night.
If you haven't got the right clothing for
hot and cold weather, you're just
throwing your life away...
And of course, when you add monsters
just rolling around all over the place...

Ugh, I must sound like such a sheltered
person right now. I'm just not one to
pick a fight I can't win, you know?
Although... If I had that legendary sword,
then maybe even I would stand a
chance..."
17,Talk_013,"この変な兄ちゃんが売ってる
ポカポカヤンマ…
魔物の素材と調合すると
寒さに強くなれる薬が作れるらしいんだ…
買うべきか…
買わざるべきか…","So the warm darner this weird guy is
selling...

I hear that mixing it with monster parts
will produce an elixir that can improve
your tolerance to cold...
Should I buy one? Should I not buy
one? ...Such a hard choice."
18,Talk_014,"そうなんだけどさぁ

砂漠は夜になると
極寒になるからさぁ
ポカポカヤンマも欲しいんだよなぁ

でもさぁ
今… オレ…
19ルピーしか持ってないんだよなぁ","That's the thing... I could buy one, but...


When the desert gets extremely cold at
night, I'm sure I'll wish I'd bought the
warm darner instead.
But right now...


Also... I only have 19 rupees."
19,Talk_015,"そうなんだけどさぁ

砂漠は昼がすっごい暑いからさぁ
ヒンヤリアゲハも欲しいんだよなぁ
でもさぁ
今… オレ…
19ルピーしか持ってないんだよなぁ","Yeah, but...


When the desert gets extremely hot
during the day, I'm sure I'll wish I'd
bought the winterwing butterfly instead.
Also... I only have 19 rupees."
20,Talk_016,"そうだよなぁ

砂漠の昼は やっぱり暑いし
ポカポカヤンマだけじゃ ダメだよなぁ
やっぱりヒンヤリアゲハも必要だよなぁ

なんでオレ…
今… 19ルピーしか持ってないんだろ…","I mean, yeah, but...


The desert also gets hot during the day,
so I can't just get the warm darner.

I'm pretty sure I'd need the
winterwing butterfly too.

And at the moment... I only have 19
rupees..."
21,Talk_017,"そうだよなぁ

砂漠の夜は冷えるから
ヒンヤリアゲハだけじゃ ダメだよなぁ
やっぱりポカポカヤンマも必要だよなぁ

なんでオレ…
今… 19ルピーしか持ってないんだろ…","Yeah, but I keep thinking...


The desert at night also gets cold, so I
can't just get the winterwing butterfly.

I'm pretty sure I'll need the
warm darner too.

And at the moment... I only have 19
rupees..."
22,Talk_018,"おお いいところに
来てくれたな","Oh, you came along at just the right
moment."
23,Talk_019,"出来る男ってやつはさぁ

ロマンより現実だろ？","Y'know, a capable adventurer...is more
concerned with the reality of a situation
than the romantic notion. Right?"
24,Talk_020,"冷えてきだしたな…

もしかして今から砂漠にいくつもり？

ここはまだいいけどよぉ
砂漠の夜は極寒だっていうしさぁ
外にでるなら寒さに耐えられる服じゃないと
ヤべぇみたいだぜ
それに夜は魔物も増えてくるからなぁ
しかも砂漠の魔物は凶悪ときたもんだ
まぁ伝説の剣でもあれば
まだ マシかもしれないけどさ","It's starting to get colder... Is this when
I'm supposed to go into the desert?

It doesn't feel so bad right now, but the
desert gets really, really cold at night.

You've absolutely got to have clothing
that resists the cold weather, or you'll be
in serious trouble.
Oh, and there are more monsters out at
night too. Desert monsters are
particularly fierce, I've heard.
If only I had that legendary sword...
I'm sure I'd be all right then..."
