#,Title,JPja,USen
1,"""0001""",写し絵を追加する,I need a picture.
2,"""0002""",連動って？,Sensor targeting?
3,"""0003""",所長？,Director?
4,"""0004""",ありがとう,Thank you.
5,"""0005""",あなたは？,Who are you?
6,"""0006""",さようなら,Bye.
7,"""0007""",どうして名前を？,You know my name?
8,"""0008""",写し絵って？,Pictures?
9,"""0009""",違います,"No, I'm not."
10,"""0010""",シーカーストーンって？,Sheikah Slate?
11,"""0011""",古代研究って？,Ancient Tech Lab?
12,"""0012""",楽に？,Is it hard?
13,"""0013""",いいよ,Sure.
14,"""0014""",ダメ,No.
15,"""0015""",まだ,Not yet.
16,"""0016""",はい,Yes.
17,"""0017""",大丈夫,I'm good.
18,"""0018""",要る,I want them.
19,"""0019""",要らない,You can keep them.
20,"""0020""",お願いします,Please...
21,"""0021""",やめときます,Never mind.
22,"""5500""",はい,Yes.
23,"""5501""",いいえ,No.
24,"""5502""",買う,I'll take it.
25,"""5503""",やっぱりやめる,I've changed my mind.
26,"""5504""",何か買う,I'm here to shop.
27,"""5505""",何か売る,I'm here to sell.
28,"""5506""",やめとく,Good-bye.
29,"""5507""",ぜんぶ買う,I'd like all of them.
30,Com_Talk_00,現在追加できる写し絵は こちらです,"These are the pictures you can currently
add."
31,Com_Talk_06,どちらを お買い上げになりますか？,Would you like to buy one?
32,Com_Talk_10,"を お買い上げですね
ルピーになりますが よろしいですか？","I have to charge you  rupees for
the .
Boss's orders!"
33,Com_Talk_11,ありがとうございました,Thank you for supporting our research.
34,Com_Talk_30,"を枚でしたら
ルピーですが よろしいですか？","You want  of the
s?
That will be  rupees."
35,Com_Talk_31,"ですね？
いくつお買い上げになりますか？","Sure, I can sell you some
s.
How many would you like?"
36,Com_Talk_34,"を全部ですか…
枚でルピー必要ですよ？","You want to buy all of the 
s?
It'll be  rupees for all  of them."
37,TerrorArrow,わわっ！,Arrrgh!
38,TerrorBomb,リモコンバクダン？！,A Remote Bomb?!
39,TerrorSword,それはっ…！,Stop that!
40,near00,う～む…,Hmm...
41,talk00,"これだけの数の書物を ご覧になるのは
初めてでございましょう？
ここには古代の文明に関する文献が
集められておりましてですね…
その数たるや なんと…","I imagine you've never seen so many
books in one place. Pretty incredible,
isn't it?
We've gathered all of Hyrule's known
literature on ancient civilizations here.

As for the actual number of books, well..."
42,talk01,"あーっ！私としたことが！
自己紹介を忘れてました！","Ah! Where are my manners? I nearly
forgot to introduce myself!"
43,talk02,"インパ様に お会いになったようですね

それでは そのシーカーストーンに
基本アイテムを復活させましょうか…
…とその前に あなたにお伝えせねば
ならない事が山ほどありまして…
例えば我々の研究の歴史そしてその成果
その後で このハテノ古代研究所を案内し…
…","So you've met with Lady Impa.


Well then, let's take a look at that
Sheikah Slate. I'll try to restore some of
its basic functionality.
But I need to tell you something first.
A lot of somethings, actually...

I'll start with the history of the research
we're doing here, as well as our findings.

After that, I'll give you a tour of the
Hateno Ancient Tech Lab."
44,talk03,"私は シモンと申します

あなたは…

リンクさんですよね？","My name is Symin.


You are...


Link, right? "
45,talk04,インパ様から全て聞いています,Lady Impa caught me up to speed.
46,talk05,"かしこまりました
それでは僭越ながら…
まずはマップから
ハイラル図鑑を開いてください
そして素材の項目からポカポカダケの写し絵を
選び「これを探す」…としてください
そうすればシーカーセンサー＋がポカポカダケを
探知してくれますよ","I see. I must apologize for being so
forward, but could you please open your
Hyrule Compendium?
I need you to select the picture of the
sunshroom and tune the sensor to it.

And with that, the Sheikah Sensor + is
set to find sunshrooms."
47,talk06,"まるでハイラル図鑑が過去の記憶を
取り戻したかのようですね！","It seems the Hyrule Compendium
recovered a picture from the past!"
48,talk07,"所長！""聞いてください所長！
なんと本物のシーカーストーンですよー！","Director! Listen, Ms. Director!
This is a REAL Sheikah Slate!"
49,talk08,"ああ そうでした…
所長の紹介がまだでしたね","Oh, that's right...
I haven't introduced our director."
50,talk09,"かしこまりました
それではこれは私達の晩御飯にでも…","Understood. Well, I'll prepare these a bit
later. I'm trying out a new recipe for
tonight's dinner."
51,talk10,"所長なら今ちょうどあちらに…

あの方こそがハテノ古代研究所の所長にして
古代研究の第一人者…プルア様です","Ms. Purah happens to be right over
there...

As the Hateno Ancient Tech Lab director,
Ms. Purah is the world's foremost
authority on ancient Hyrule culture."
52,talk100,"申し訳ございませんが
ルピーが足りないようです…","I am dreadfully sorry, but you appear to
be light on rupees..."
