#,Title,JPja,USen
1,"""0000""",そうです,That's right.
2,"""0001""",さようなら,Bye.
3,"""0004""",読んでません,I didn't read it.
4,"""0005""",…読みました,I read it.
5,"""0006""",あなたって？,Who are you?
6,"""0008""",いい事って？,Something good?
7,"""0013""",シーカーセンサー,Sheikah Sensor.
8,"""0014""",リモコンバクダン,Remote Bomb.
9,"""0015""",ビタロック,Stasis.
10,"""0016""",古代素材をどうぞ！,Ancient materials!
11,"""0017""",もっと詳しく,Tell me more.
12,"""0020""",チェッキー…,Snap...
13,"""0021""",どう変わるの？,How does it change?
14,"""0022""",他のにする,I'll pick another one.
15,"""0023""",やめときます…,I won't do it.
16,"""0024""",お願いします！,Yes!
17,"""0027""",インパって…,Impa is...
18,"""0028""",ここって？,What is this place?
19,"""0029""",うんうん,That makes sense.
20,"""0031""",なるほど,I see.
21,"""0032""",そうなんだ,I never knew.
22,"""0033""",へぇ～,Hmm...
23,"""0034""",そうだったんだ！,That's crazy.
24,"""0035""",古代素材って？,Ancient materials?
25,"""0036""",ロベリーって？,Who's Robbie?
26,"""0037""",チェッキー！,Snap!
27,"""0038""",はい,Yes.
28,"""0039""",まだです,Not yet.
29,"""0040""",お願いします！,I'm game.
30,LookPicture,…わ！誰？ この美少女？！,"Hm? My, who IS this beautiful
young creature?"
31,NakedPlayer,ふむ…,Fascinating...
32,TerrorArrow,おのれ…,Dangerous...
33,TerrorBomb,リモコンバクダン…,"A Remote Bomb, eh..."
34,TerrorExplosion,ななななな！！,That won't work on me!
35,TerrorSword,んふぉっ！,Huh...
36,near00,むふ…♪,♪Hmm...♪
37,talk00,こんにちは,Hello.
38,talk01,こんばんは,Good evening.
39,talk02,所長なら奥でございます,The director is in the back.
40,talk03,"回生の眠りで ほとんどの傷は癒えたようだネ
ま それはさておき","It seems most of your wounds healed
during the Slumber of Restoration.
Anywaaaay..."
41,talk04,"100年前の傷 だいぶふさがったみたいネ！
ま それはさておき","Hm, I see your scars from 100 years ago
have mostly healed. In any caaaase..."
42,talk05,"先にインパのトコ行った方が
いいと思うけど
古代素材""持って来たなら
シーカーストーン""パワーアップしちゃおっか？","I think you should go see Impa first.
But if you're saying you already have
some ancient materials...
Then why don't we go ahead and
power up your Sheikah Slate?"
43,talk06,"シーカーストーンのアイテムを
全て消去しました","All Sheikah Slate runes have now
been deleted."
44,talk07,"ここはハテノ古代研究所でございます
所長に御用ですか？","This is the Hateno Ancient Tech Lab.
Do you have some business with
the director?"
45,talk08,あはい…,Oh. I see...
46,talk09,はいほ～い！,Hey!
47,talk10,おはようございます,Good morning.
48,talk11,聞こえてましたよ…,Liar.
49,talk12,…読んだよナ？,You read it...didn't you?
50,talk13,"そんな嘘ついても""丸わかりだっつーの…

そんな嘘つきさんには天罰がありまーす！
スイッチオーン！","Don't lie! I know just what's going on!


Liars like you deserve to be punished!
Switch ON!"
51,talk14,"正直なのはいい事だけど
乙女の花園を踏み荒らしちゃ ダ～メ
はい当然ですが天罰がありまーす
スイッチオーン！","Well, I commend your honesty. Still, it is
never acceptable to rummage through a
young lady's private musings! Got it?!
Naturally, you shall be punished for that.
Switch ON!"
52,talk15,"…というわけで アンタのシーカーストーン
ぜーんぶ消去しといたし！""見てみ！","I completely deleted the data on your
Sheikah Slate. Go on, take a look!"
53,talk17,"その身ごしらえ…
旅の途中と お見受けしました","Judging by your equipment and that
gleam in your eye... I'd say you must
be in the midst of an epic journey."
54,talk18,"それはそれは

旅の思い出にでもしてくださるなら
こちらとしても うれしい限りです","Well, well.


If your visit here today leaves you with
fond memories of your journey, then I,
too, will be most pleased."
55,talk19,所長とは お話されましたか？,Have you spoken to the director?
56,talk20,"なにぶん多忙の身ですので
手短にお願いしますね","A terribly busy person, that one.
Please try to keep it brief."
57,talk21,そうですか,Oh. I see.
58,talk22,旅の お方…,"A traveler, eh?"
59,talk23,"うっそプー！！キャハハ！

勇導石ちゃんの声マネ
なかなか達者だったでしょ？
…若い娘が達者なんて言葉を使うだろうか？
まいっか","GOTCHYA! HA!


Did you like my Guidance Stone
impression? Superb, right?

Don't young girls do mean impressions for fun?
Maybe not? Oh, well!"
60,talk24,…すいません そこ下りてもらえますか？,"Excuse me... Could you please get down
from there?"
61,talk25,えと…そこ乗らないでください,Erm... *ahem* Please don't climb that.
62,talk26,"ちょい！
そこ下りてから話してよネ！","Hey! If you want to talk, would you mind
getting down from there first?"
63,talk27,"フム…回生の眠り明けは高い所から見下ろして
優越感に浸る症状が見られる…と…メモメモ","Hmm... Awaking from the Slumber of Restoration
seems to have given subject the desire to look
down on others in an attempt to annoy them...
as much as possible. Noted!"
64,talk31,"んじゃ…
どのアイテムをパワーアップする？","So... Which rune do you want to
power up?"
65,talk32,あっさ～！,Good morning!
66,talk33,にっちゅ～！,"Hey, you!"
67,talk34,やっはーん！,Yaaaawn!
68,talk35,チェッキー！,Snap!
69,talk38,"じゃ古代のネジ""3個と
かわいい チェッキー！ よろしく！","Three ancient screws and a cute snap!
Here I goooooo!"
70,talk39,"じゃ古代のシャフト""3個と
とびっきりの チェッキー！ よろしく！","Three ancient shafts and an epic snap!
Here I goooooo!"
71,talk40,"じゃ古代のコア""3個と
照れずに チェッキー！ よろしく！","Three ancient cores and a bold snap!
Here I goooooo!"
72,talk42,はいほ～い！,Okeydoke!
73,talk43,りょうか～い！,Gotcha!
74,talk44,"やったネ！

アタシの勇導石ちゃんも がんばったし！ンフ♪","Yahoooo!


♪My little Guidance Stone did the trick!♪
Hee hee!"
75,talk45,"…元気なのは いいんだけど
アタシの欲しい古代素材""持ってないよネ？
せっかくアイテムのパワーアップ
してあげようと思ってたのになー","Um... I admire your enthusiasm,
but more importantly, do you have
any of the ancient materials I need?
Too bad. I was gonna power up your
runes for you."
76,talk49,"ん？他の2つは
パワーアップ済みのはずだけ…ど…
あ！アイスメーカーとマグネキャッチが
まだだったっけ？！
そっちも メッチャ仕様検討したんだけど
なかなか手が回んなくてさ…
最後の1個を パワーアップしたくなったら
また声かけてネ","Hm? It seems the other two are
already powered up...

Oh! You're wondering about the
Cryonis and Magnesis, yes?

To be honest, I tried my best to think of
upgrades for those two...but then I got
frustrated and gave up. Heh. Sorry.
That said...if you want to upgrade the
last one, just give me a holler."
77,talk50,"シーカーセンサーをパワーアップだネ！
それなら古代のネジ 3個かナ","Sheikah Sensor power-up time! Yahoo!
For that, three ancient screws should
do the trick."
78,talk51,"リモコンバクダンをパワーアップだネ！
だったら古代のシャフト""3個だヨ","Remote Bomb power-up time! Yahoo!
For that, I'll need three ancient shafts."
79,talk52,"ビタロックをパワーアップだネ！
んじゃ古代のコア""3個ネ","Stasis power-up time! Yahoo!
For that, I'll need three ancient cores."
80,talk55,"シーカーセンサーをパワーアップすると
ウツシエで撮った物を探知できるようになるの
便利でしょ？
シーカーセンサーのパワーアップ…するよネ？","If you power up the Sheikah Sensor,
you'll be able to detect the objects
you take pictures of with your Camera.
Handy, eh? So... You're gonna go
ahead and power up that ol'
Sheikah Sensor, right?"
81,talk56,"リモコンバクダンを パワーアップすると
爆発の威力が増して リロード時間も早くなるの
すごいでしょ？
リモコンバクダンのパワーアップ…するよネ？","If you power up your remote bombs,
your blasts will become more powerful
and your reload time will decrease.
Sweet deal, eh? So...you're going to
power up your remote bombs, right?"
82,talk57,"ビタロックをパワーアップすると…

物質だけじゃなくって
邪悪なる者の動きも止められるようになるの
助かるでしょ？
ビタロックのパワーアップ…するよネ？","If you power up your Stasis, you'll be
able to freeze more than just objects.
You'll be able to target monsters too!
Pretty handy, eh? So...you're going to
power up your Stasis, right?"
83,talk58,"…ん？えっ？！
もしかして全部パワーアップしちゃった？！
そのシーカーストーンと
アンタの剣術があれば怖いものなしだよネ？
そう！
たとえあの厄災ガノンだろうとも！","Hm? What's this? Perhaps you already
went and powered them all up?!

Well, I suppose with your Sheikah Slate
and your legendary swordsmanship,
we have nothing to fear.
Yes, quite! Nothing at all! Not even...
Calamity Ganon!"
84,talk59,"他にもパワーアップしたいアイテムが あったら
また声かけてちょ！","If you have any other runes you'd like
to power up, just let me know!"
85,talk60,"アタシにできる事は もうないかも…
お話でも…する？","There's nothing more I can do for you.
Unless you want to chat?"
86,talk61,"聞いてるかも知んないけど
インパは アタシの妹なのネ
あの子任務に忠実なのはいいんだけど
昔っから堅苦しいんだよネー","You may already know this, but although
Impa looks a looooot older than me,
she's actually my little sister.
She's incredibly responsible, but at what
cost? She's wound up waaaay too tight,
if ya ask me. Love her though!"
87,talk62,"フフ…姉妹なのに似てないねって
たしかに昔からよく言われてる…
アタシは思い立ったら突き進むほうだし
インパは「しばし待つのじゃ」って感じだし
そもそも この研究機関って
元々はハイラル城の直轄なのネ
それで インパはああ見えても
ハイラル城執政補佐官なの
要するに…わかるでしょ？

アタシの暴走を止める役…
それが妹のインパってわけ","Heh. People have always noted how
we're nothing alike, even though
we're sisters.
I'm the type that charges ahead once I'm
inspired! Impa prefers to wait and see.
But mostly wait and wait and wait.
In any case, this research facility was
founded by order of some Hyrule Castle
bigwigs.
Despite her frail appearance, Impa was
a valued and distinguished advisor to
the royals at Hyrule Castle.
You...see where I'm going with this,
I assume?

Basically, she's the one who puts a stop
to some of my crazier antics. And that's
the story of me and my little sis, Impa."
