#,Title,JPja,USen
1,"""0000""",りゅうぼく,Lurk?
2,"""0001""",りっしょく,Lick?
3,"""0002""",りっぷく,Leek?
4,"""0003""",りんく,Link?
5,Henshin00,お命 ちょうだい！,Lay down your life!
6,Henshin01,コーガ様の仇！,"Begone, enemy of my master!"
7,Near00,なんだっけ……,What was it...
8,Talk00,"うーん…
アレ… なんて言うんだっけ…
「り」で始まって
「く」で終わるんだけどな…","Hrm... What's that word? It's on the
tip of my tongue, but I just can't think
of it...
It starts with L...ends in K...
What is it, though..."
9,Talk01,"そうそう…
川の上から どんぶらこと流れてくる…
って それは流木
それじゃないんですよね","Isn't that when you kinda sneak around
and listen in on others? I think it is...
The word sounds like that too...
Not the word I was thinking of, though."
10,Talk02,"そうそう…
立ちながら ご飯を食べるんですよね
って… それは立食
違うんですよね","Oh, that word... That's when you use
your tongue to taste something, right?
Yeah... \""Lick.\"" Hrm.
Not the word I wanted, though."
11,Talk03,"私怒ってます！

って… それは立腹
他にないですか？","Ooh, the long vegetable! Wait... Is it a
vegetable? I actually don't know.

Regardless, not the word I was
looking for."
12,Talk04,"そうそう…
ハイリアの英傑だった人らしいですよね
って… あなたのことですよ
リンクさん","Oh, right... The Hylian Champion, or
so I've heard...somewhere...

That's you, right? You're Link."
13,Talk05,また会えましたね リンクさん,"Yes... We meet again, Link."
