#,Title,JPja,USen
1,After00,"笑うなら笑えさー！

漁なんか…魚なんか獲れなくたって
俺は お金を稼いでやるさー！","Go ahead, laugh! I don't care! Fishing
is for suckers. I can make plenty of
money without sitting on a dock all day!"
2,After01,"また助けられてしまったさー…

だけど…俺はまだ ウオトリー村には帰らない
金持ちになって みんなを見返してやるさー！","There I go, needing someone to bail me
out again.But there's no way I'm going back to
Lurelin Village! I gotta strike it rich so
I can rub it in everyone's faces!"
3,After02,"こういったところを あさってると
思わぬ お宝が出てくることがあるさー！
壊れたガーディアンや廃墟なんかには
高く売れる素材が ゴロゴロあるわいさ！","The best part about scavenging is you
never know what kinda crazy stuff you'll
find if you poke around long enough.
Busted Guardians...old ruins... It's all
chock-full of neat gizmos you can sell
for beaucoup bucks!"
4,Atacked00,くそっ…俺のお宝が…,No... All my stuff...
5,Atacked01,"おい！
ボーっと見てないで何とかしてくれさー","What the— Dude! Not cool! Don't just
stand there—do something!"
6,Failed00,"くそっ…俺なんかを襲って
何がうれしいんかいさー まったく","Owwww...what did they have to go and
do that for?"
7,Failed01,"イタタタ… まったく ついてない
いっつも こうさー…","Ow! Ow ow ow! Man...how come nothing
ever goes my way?"
8,GoodBye00,"俺は この先にある
ウオトリー村から飛び出してきたんさー
そこでは みんな
漁をして生計を立てているんだけど
俺は…""俺は…

泳げないんさー！

漁ができない俺は がれきをあさってでも
生きていくしかないんさー…","I ran away from Lurelin Village just up
the road. The whole place stinks of cut-
up bait and fish guts.
Well, that's no life for me! I'm gonna
make my living as a scavenger, fishing
around Hyrule's rubble for neat stuff!
Not much choice, really, since I...uh...
can't swim..."
9,Guardian00,ガーディアンが来るさー！,Guardian! Guardian coming!
10,Near00,助かったさー…,That was too close...
11,Near01,お宝… お宝…,Where to scrounge next?
12,SavedLv1_00,"いやあ助かった！
ありがとうさー！
こんな物しか もってないけど
受け取ってくれさー！","Whoa... Way to bail me out, guy. This is
all I have for a reward, but it's yours!"
13,SavedLv1_01,"あ… ありがとうさー
助かったよ
今 こんなものしかないけど…
受け取ってくれさー！","Dang... How did I miss those monsters
coming at me? Well, they're gone now,
and that's what matters. Thanks, bud!"
14,SavedLv2_00,"もう ダメかと思ったさ…

俺は貧しくて大したものは持ってないが
これは気持ちだ受け取ってくれさー","Whoa. I was NOT looking forward to the
rest of my life in that thing's stomach.I don't have any fancy reward for you,
but I do have this. And now it's yours."
15,SavedLv2_01,"すまない本当に助かったさ…

こんなものしか あげられないが
これは気持ちだ受け取ってくれさー","You sure saved my neck... Too bad I got
nothing to pay you back with but pocket
lint. Oh, and this, I guess."
16,SavedLv3_00,"こんな俺を助けてくれるやつがいるなんてさー

本当に ありがとうさー
これは気持ちだ受け取ってくれ","It blows my mind that anyone bothered
to save a sad sack like me. How can I
ever thank you? Uh...do you want this?"
17,SavedLv3_01,"お前みたいな すごいやつ
初めて見たさー
貧しい俺だが気持ちは貧しくないつもりさー
受け取ってくれ","I've never seen ANYONE take down one
of those things! Wh-who ARE you?!
Well, whoever you are, this is all yours!"
