#,Title,JPja,USen
1,"""0000""",強くする,Enhance away!
2,"""0001""",しない,"No, thanks."
3,"""0002""",お願いする,"Yes, please."
4,"""0003""",やめておく,Never mind.
5,"""0004""",分かりました,Take a look.
6,"""0005""",結構です,I'd rather you not...
7,Revival00,"う～～～ん？

そなたがわらわを解き放ったのか？

ふぅん…？もっと筋骨隆々の
たくましい者かと思うたが
ホッホ…
わらわは華奢な男子も守備範囲じゃ","Mmmmmm. So you're the one who
released me.

I was expecting someone...bigger,
I guess...

But a slim little lad like you will do just
fine. Yes."
8,Revival00_1,"さて そなたのおかげで
力を取り戻せたようじゃ
引き換えに…
そなたの服を強くしてたもう
ただ それなりの材料が必要じゃが…
試されるかの？","Thanks to you, my power has been
returned to me.

And I think you'll agree—a good deed
deserves a good reward.

I can enhance your clothing, but I
require the necessary materials to do it."
9,Talk00,"また来たんじゃのぅ？
さぁ服を見せてたもれ","Ah, you've come here again?
OK, let me see your clothes."
10,Talk01,"ふむ…しばしの別れじゃな？
服を手に入れたら いつでも来るがよいぞ","Hrm... So long for now, I suppose?
Once you have some clothing you
want to upgrade, come back anytime."
11,Talk02,"フム… わらわの姉妹には
まだ力を取り戻せてない者が おるようじゃ
やつらの力が戻ったなら
さらに服を強くできるぞよ","Hm... It seems like a few of my sisters
haven't yet recovered their power.

Once they have their power back, I can
make your clothes even stronger."
12,Talk04,では そこに直れ,One moment...
13,Talk06,できたぞえ,There we go.
14,Talk08,では服を選んでたもれ,Then please choose some clothes for me.
15,Talk09,他の服も やってほしいのか？,"Any other clothing items you want me to
work on?"
16,Talk10,"なにゆえ強くできぬのか
わらわが教えてやろう","I can't enhance your clothing,
but let me tell you why..."
17,Talk11,"…呆れた装備しておらんのはともかく
服を一つも持っておらんではないか！
強くできそうな服を手に入れたら
また来るがよい","Oh! You don't have any clothes at all?
Well, if you get some, come back and
I'll see if I can enhance them for you."
18,Talk12,"今のわらわなら そなたの服を
少しだけ""強くできるぞえ","With the power available to me...
I should be able to enhance your
clothing a little bit."
19,Talk13,"今のわらわなら そなたの服を
だいぶ""強くできるぞえ","With the power available to me...
I can enhance your clothing
a fair amount."
20,Talk14,"今のわらわなら そなたの服を
かなり""強くできるぞえ","With the power available to me...
I can greatly enhance your clothing."
21,Talk15,"今のわらわなら そなたの服を
最大まで""強くできるぞえ","With the power available to me...
I can enhance your clothing to the max."
22,Talk16,"姉妹達を全員解き放ったのじゃな？
礼を言うぞ
わらわ達の力が必要なら
いつでも待っておるぞ","You've freed all of my sisters? I cannot
thank you enough... Anytime you need
our power, we'll be waiting."
23,Talk17,じゃぁのぅ,See you later.
24,Talk18,参上っ！,And... Here!
25,Talk19,見参っ！,"Here I am, at your service!"
26,Talk20,推参っ！,Here I am!
27,Talk21,登場っ！,Ready to help!
28,Talk22,"それではを
強くするぞ？","Now then, I'll enhance the
."
29,Talk23,"ふむ…を
強くすれば よいのじゃな？","Hrm... You want the 

enhanced, correct?"
30,Talk24,"わらわにを強くせよと
申すのか？","You're telling me to enhance the
?"
31,Talk25,"強くするのは
で相違無いな？","You want to enhance the
, correct? "
32,Talk26,"すまぬ…わらわの力を もってしても
強くできない服も あるのじゃ…","Sorry, there are some clothes, even with
my powers, that cannot be enhanced..."
33,Talk27,"悪いが その服は強くできん
違うのを選んでたもれ","Sorry, but I can't enhance that clothing
item. Choose a different one."
34,Talk28,"その服は強くできんようじゃ
別のものに変更してたも","Seems like that clothing item can't be
enhanced. Please choose something
else."
35,Talk29,"どうやらその服は強くできんようじゃのぅ
別の服はどうじゃ？","Seems like that clothing item can't be
enhanced. How about another piece
of clothing?"
36,Talk30,"その服は わらわの力だけでは無理じゃ
姉妹が力を取り戻せればのぅ…","That clothing item can't be enhanced
with my power alone. But if my sisters
regained their powers..."
