#,Title,JPja,USen
1,"""0000""",湯加減どう？,How's the water?
2,"""0001""",ごめんなさい,Um...sorry.
3,near00,～♪,♪
4,talk00,誰ゴロ朝風呂の邪魔をするのは…,"Who's there?! Who's disturbing my
mornin' bath?"
5,talk01,誰ゴロ,Who's there?!
6,talk02,誰ゴロ湯治の邪魔をするのは…,"Who's there?! Who's disturbing
my bath?"
7,talk03,誰ゴロせっかくの月見風呂が台無しゴロ…,"Who's there?! You're ruinin'
my evening bath..."
8,talk04,ふむ…ハイリアの観光客ゴロか…,"Hmph. A Hylian tourist, eh?"
9,talk05,ふむ…,Hmph.
10,talk06,"ヌルいゴロ

本当は もっとあつ～い湯に入りたいゴロ","Bah. Lukewarm.


I'd like to relax in some reeeeally hot 
water. A LOT hotter than this nonsense."
11,talk07,"しかし お前さんのようなハイリア人は
これ以上熱い所には近づかんほうがええゴロ
特にオルディン橋より先は
ここよりもさらに熱いゴロ","But a Hylian like you should stay away
from any place hotter than here.

That goes double for the area past the
Bridge of Eldin. It's scorching there!"
12,talk08,"しかし お前さんのような
耐火準備万端の観光客も珍しいゴロ","By the way, I don't see many tourists like
you equipped to stand up to this heat.
I'm impressed!"
13,talk09,…はい,...What is it?
14,talk10,"ヌルいゴロ

本当は もっとあつ～い湯に
入りたいんじゃが落石がひどくての…","Lukewarm.


I'd like to find some reeeally hot water to
relax in...but those fallin' rocks make it
way too dangerous."
15,talk11,"しかし お前さんのような
耐火準備万端の観光客も珍しいゴロ
ルーダニアも大人しくなったようだし
これで ゆっくり温泉に浸かれるゴロ","It's rare to see a tourist like you
equipped to stand up to this heat.

By the way, Rudania has settled down,
so feel free to take your time soakin'
in the hot springs."
16,talk12,"もっともオルディン橋の向こうに行くのは
無理ゴロよ
ルーダニアが こっちへ来んように
組長がオルディン橋を上げとるかも知れんでな","In any case, gettin' across the
Bridge of Eldin is impossible
right now.
The Boss probably raised the bridge to
keep Rudania from comin' over here."
17,talk13,"それでもルーダニアには
絶対に近づいちゃダメゴロよ
ルーダニアに近づこうもんなら
いくら耐火準備万端のあんたでも
燃えて灰になってしまうゴロよ","Even still, don't you go near Rudania.
If ya do, no matter how well prepared
ya are...you'll be burned to ashes!"
18,talk14,"あとルーダニアには
絶対に近づいちゃダメゴロよ
ルーダニアに近づこうもんなら
燃えて灰になってしまうゴロよ","Never go near Rudania. Get too close
and you'll be a pile of ashes before
ya know what hit ya!"
