#,Title,JPja,USen
1,"""0000""",何してるの？,What are you up to?
2,"""0001""",そっとしておく,I'll...leave you to it.
3,"""0002""",手伝いましょうか？,Do you need help?
4,"""0006""",古文書？,Ancient texts?
5,"""0007""",はい カリーユ先生,"Of course, Dr. Calip."
6,"""0008""",はい カリーユさん,"Gotcha, Calip."
7,"""0009""",どういうこと？,What do you mean?
8,"""0010""",そうだね,You're right.
9,"""0011""",はい,Read it.
10,"""0012""",いいえ,Leave it alone.
11,Book00,"『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』","\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\"""
12,Book01,"古びた本が置かれている
読んでみますか？","There's a worn-looking book here.
Would you like to read it?"
13,Talk20,"ここだけの話だが…

『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
まぁ この呪われし石像ってのは…

髪が伸びる
呪いの石像だと思うわけだよ
おっと素人には怖すぎたかな？","Don't go spreading this around, but I've
made an interesting discovery in this
ancient text.
\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
After cross-checking with a few other
manuscripts, I've realized something
about this cursed statue...
It can only refer to a dreadful variety of
doll with the ability to influence one's
behavior!
Ah, but my apologies. I'm delving into
matters too terrifying for laymen."
14,Talk22,"『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
この闇の光について いろいろ調べたんだが…

どうやら何らかの黒い光のことらしいと
この私は にらんでるんだよ
おっと…ヒントを与えすぎちゃったかな？","\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
I've been pondering the dark light
mentioned here for some time, and I
must admit I'm stumped.
Light can't be dark, obviously. Unless...
Whoops! Can't go divulging my research
before I publish, now, can I?"
15,near00,謎だ…,What a mystery...
16,talk00,"『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
…おそらく

あの辺だと思うんだがなぁ…","\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
I'm not wrong, am I? It must be around there..."
17,talk01,"…なんだ君は

私が考古学者のカリーユだということを
知ってて声をかけたんだろうね？
……まさか？古代の祠の研究に一生を捧げる
このカリーユを知らない？
…まあ いい機会なので
私の名前だけでも覚えて帰ってくれ
カリーユさんではなくて
できれば その…カリーユ先生と呼んでくれ
なぜか誰ひとりとして
この私のことを先生とは呼んでくれない…
じゃあ私は古文書の分析で忙しいので
無駄話はこのくらいで…","HA! Let me guess...


You caught wind of the great Dr. Calip's
groundbreaking research and just HAD to
meet him for yourself. Heh...
No? Don't tell me you've never even
HEARD of me! After I've dedicated my
life to researching the ancient shrines?!
*sigh* Well, you'd better remember my
name, for it's not the last you'll hear
of it!
And while I'm at it, it's \""DOCTOR Calip,\""
if you please. I didn't study my rear end
off to be called \""Mr. Calip.\""
Everyone forgets I'm a doctor for some reason...And since you asked, I'll inform you that
I'm engaged in analyzing ancient texts.
I haven't time for idle chitchat."
18,talk03,"まーた君か…

なんだって？
私の調査についてきたい？
遊びのつもりなんだろうが
くれぐれも邪魔だけはしないようにな","You again? What now? You want to tag
along on my fieldwork?Well, I suppose it might do you some
good to see an expert at work. Just try
to stay out of my way."
