#,Title,JPja,USen
1,"""0000""",そうです,That's right.
2,"""0001""",ちがいます,Huh?
3,"""0002""",自分を信じて！,Believe in yourself!
4,"""0003""",ここじゃないんじゃ…,Try another pond.
5,talk00,キミも運命の人に出会いにきたクチ？,You here to meet your soul mate too?
6,talk02,"僕もなんだよ～

でも全然…

誰も…

来ないんだよなぁ…

伝説のラブポンドって
ここじゃないのかな…","Yeah, same.There's just one problem...Nobody's shown up yet.I thought this was the \""sweetheart's
pond\"" everyone talks about, but maybe
I'm in the wrong place?"
7,talk03,"なんだよ～
照れんなよ～
ソレ以外にここに来る理由なんてないだろ？

いや～ でもさ…
僕もここでずっと待ってんだけど…
全然…

誰も…

来ないんだよなぁ…

伝説のラブポンドって
ここじゃないのかな…","Hey, don't be shy. I'm here for the same
reason, after all. Why else would anyone
come all the way out here?
To be honest, though, I've been waiting
for a pretty long time, and...well...Nobody's shown up yet.I thought this was the \""sweetheart's
pond\"" everyone talks about, but maybe
I'm in the wrong place?"
8,talk04,"なんで誰も来ないんだろ…
運命の人は自分で探せってことかな…","Where's that special someone I've been
waiting for? Is this a sign? Should I put
myself out there more?"
9,talk05,"もしかして慰めようとしてる？

ははっ僕は問題ないさ！

だってママも「ワトルちゃんは何でもできる」
って いつも言ってくれてるしね
それよりも キミ…
自分の心配した方がいいんじゃないかな？
噂にばかり頼ってちゃ
女の子は寄ってこないぞ！","Are you trying to cheer me up?Because don't worry about me! My mom
always said, \""You can do anything you
put your mind to, Mimos.\""
Anyway, what about you? Putting your
faith in some silly legend won't make the
ladies come calling!"
10,talk06,"……

えっ？",Hmm. Hmmmmm...You really think that'll help?
11,talk07,"…それにしてもさ

こんな天候の中
こんな所に来るなんて…
キミも必死だね","You must really be hungry for love,
coming out here in this weather."
