#,Title,JPja,USen
1,"""0000""",する,Uh... Yeah.
2,"""0001""",しない,Nope.
3,"""0002""",はい,I love stories!
4,"""0003""",いらない,"No, thanks."
5,"""0004""",……？,Well? What was it?!
6,"""0008""",見つけたよ,I found it.
7,"""0009""",それは…,Well...
8,near00,♪～～,♪
9,near01,ふあぁ～…,*yawn*
10,near02,トリさん～,A birdie!
11,talk02,"モモちゃん今 忙ちぃち

座ったら お話ちてあげる","I'm busy right now...


But if you follow me, I'll tell you a story."
12,talk04,お話なら また今度するち…,Let's talk later...
13,talk05,モモちゃん もう寝るち…,I'm gonna go sleepy now...
14,talk06,…おはようする？,"...Aren't you going to say
\""good morning\"" to me?"
15,talk09,まだ おはようしないち…,"I'm not ready to say \""good morning\""
yet..."
16,talk10,うん…眠いち,Yep... Sleepy.
17,talk12,"飛行訓練場？

あそこはモモちゃんと お友達が
飛ぶのを練習するトコだち","Flight Range?


That's where me and my friends practice
flying."
18,talk13,"おっきな木は パパに連れてってもらうち
飛行訓練場は…お兄ちゃん行ってらっしゃい♪","I'll ask my dad to take me to the big tree.
As for the Flight Range, you should just
go check it out."
19,talk50,お話ちてほしいち？,Want me to tell you a story?
20,talk51,わかったちまたね,OK. Later.
21,talk52,"げんきなおへんじうれちいち

…こほん","Awesome! Me too!


*ahem*"
22,talk53,"むかーちむかち
モモちゃんの おじいちゃんがいまちた
おじいちゃんはおっきなお山のおっきな木から
北の西のほうを見おろしまちた
するとおっきなおっきな白いトリさんが
とんでいるように みえまちた
おじいちゃんは思いきって
白いトリさんめがけてとんでみまちた
すると白いトリさんの おなかが割れて
中にはとてもだいじなものがはいっていまちた","Once upon a time...


My grandpa stopped at a big tree while
he was climbing a big mountain and
looked below him to the northwest.
When suddenly he saw a HUGE snow-
white birdie with its wings spread wide!

My grandpa took off flying after the
snow-white birdie.

And as he got a little closer to the white
birdie, Grandpa saw something SUPER
important inside its belly!"
23,talk54,それは……でちた！,The birdie had swallowed—!
24,talk55,"…モモちゃん いっつもここで
ねむたくなっちゃったから…おぼえてないち…
あ！おっきな木はわかるち！","...I always get sleepy around that part of the
story...so I don't remember...

OH! I know where the big tree is, though!"
25,talk56,"あれあれ！見えるち？

モモちゃんの おじいちゃん
あの木から白いトリさんにとんでったち","It's over there! You see it?


Grandpa said he saw the snow-white
birdie from THAT tree!"
26,talk57,"んーんーんー…
白いトリさんの おなかの中に はいってたもの…
おじいちゃんの お話は もうきけないち…
モモちゃん…かなちぃ…","Hmm hmm hmm... Now what did that
snow-white birdie swallow?

I can't hear the story from Grandpa
anymore...
*sniff*"
27,talk58,もっかいお話ちてほちいち？,"Do you want me to tell you the story
again?"
28,talk59,"白いトリさんのだいじなもの…

モモちゃん おっきくなったら
おっきな木にいって みつけるち","The snow-white birdie's important
thing...

When I grow up, I'm gonna go to the
big tree and find it."
29,talk60,"白いトリさんのだいじなもの…

モモちゃん おっきくなったら
おっきな木にいって みつけるち","The snow-white birdie's important
thing...

When I grow up, I'm gonna go to the
big tree and find it."
30,talk61,"ち？""白いトリさん会えたち？
おなかの中には なにが入っていたち？","WHAT?! You met the white birdie?!
What did he swallow?"
31,talk62,"…ホコラ？

白いトリさんって ほんとのトリさんじゃ
なかったち？！
おじいちゃんの見た ヘブラのお山が
白いトリさんだったち？！
おじいちゃん ろまんちすと！
モモちゃん かんどうちた…ちぃ！","A...shrine?


The snow-white birdie wasn't actually
a bird?

So the white birdie was actually
Hebra Mountain!

Oh, Grandpa! You always were such a
prankster."
32,talk70,"おにいちゃんのおかげで
白いトリさんのだいじなもの わかったち！
おじいちゃんは もういないけど…
モモちゃん ちゃーんとお話できるち！","Thanks for helping me figure out what
the snow-white birdie's important thing
was! Even if it wasn't a birdie at all.
My grandpa isn't here anymore...
But now I can tell the story all by myself!"
33,talk71,"それは…ホコラでちた！

ホコラをみつけた ゆうしゃさまは
わるいやつを こらしめて
おひめさまを たすけまちた！
めでたち めでたち～","It was... A shrine!


The hero who found the shrine defeated
the bad guys...and saved the princess!

And they all lived happily ever after!"
34,talk72,"モモちゃん ぜんぶお話できた！
ばっちりち！","I told the whole story by myself!
Perfectly!"
