#,Title,JPja,USen
1,"""0000""",はい,I am.
2,"""0002""",ちょっと考えます…,I don't know...
3,"""0005""",ハテノ村って？,Hateno Village?
4,"""0006""",わかった,Understood.
5,"""0007""",四体の神獣？,Four Divine Beasts?
6,"""0008""",四神獣のこと教えて,Four Divine Beasts?
7,"""0009""",記憶を取り戻したい,My memories?
8,"""0010""",行ってくる,I won't fail.
9,"""0011""",どこに行けばいい？,Where should I go?
10,"""0013""",1万年前のこと,"10,000 years ago?"
11,Anataha00,"どうした？

この我を初めて見るかのような
その眼…
我はインパじゃ…
インパの名くらいは覚えておるじゃろう？","What is the matter?


You are looking at me as though I am a
stranger to you. Those eyes... They lack
the light of familiarity.
It is I, courageous one. Impa.
Surely you must at least remember
the name Impa?"
12,Anataha01,しかしじゃ！,However!
13,Anataha02,"姫様が命を懸け其方に残した言葉…
そのお言葉を賜うこと… それすなわち
其方も命を懸ける覚悟を決めるということ

とは言え記憶を失った今の其方に
押し付けることはできん
姫様のお言葉を賜う覚悟ができたら
また ここへ来るがよかろう","These words, which the princess risked
her life to leave you... Well, if you are to
hear them...
You must be prepared to risk your life
as well.

But I am afraid that burden may be too
much to bear while you are still without
your memories.
I leave the choice to you. When you feel
you are ready to receive the princess's
message, return to me."
14,Anataha03,"其方…やはり記憶が…

まあ今はむしろ それが救いかもしれん

リンクよ…
もそっと近くへ","I see... So you have lost your memory.


Well, it matters not. In fact, that may
actually be a blessing in disguise for
the time being.
Dearest Link... Please come a bit closer."
15,Anataha06,100年前…,A hundred years ago...
16,Anataha07,"そう…
ハイラル王国が滅びた 100年前のあの時…
ゼルダ様は最後の希望として
倒れた其方を聖なる眠りにつかせ…
そしてお1人で… たったお1人で
厄災ガノンの元へ向かわれたのじゃ…","Yes... A hundred years ago, the kingdom
of Hyrule was destroyed.

After you fell, Princess Zelda's final wish
was to place you in a sacred slumber.

And then...all alone... Alone she went
to face Ganon."
17,Anataha08,"そのゼルダ姫…
其方に向けたある言葉を この我に残された
そのお言葉を其方に伝える日を
我は100年…待っておったというわけじゃ","Before Princess Zelda went to nobly
meet her fate...she entrusted me with
some words she wished to say to you.
I have been waiting 100 years to
deliver the princess's message."
18,CarryingBlueFireEXMini02,"ほほぅ…

プルアに振り回されておると聞いたが
意外と元気そうじゃのう","Huh...


I heard Purah was giving you the
runaround, but you seem just fine."
19,CarryingBlueFireEXMini03,"どれ…""見せてみよ",Now then... Let me see.
20,CarryingBlueFireEXMini05,"おお… これは間違いなく
100年前 ゼルダ様が お撮りになった写し絵","Aha! This is, without a doubt, the Camera
that Princess Zelda used 100 years ago."
21,CarryingBlueFireEXMini06,"……姫様の想い出である この写し絵の地を巡れば
其方の記憶取り戻すことができるやも知れんの","...


It could be that if you visit the locations
within those pictures, you will be able
to restore some of your lost memories."
22,ChottoMatte00,"ゼルダ様は未だお1人で
厄災ガノンと戦われておる
ゼルダ様を… このハイラルを救えるのは
其方だけ… さあ はよう向かうのだ","Princess Zelda is fighting Calamity Ganon
all alone.

You are the only one who can save her—
the only one who can save Hyrule.
Now go. You must!"
23,Connective_CarryingBlueFireEXMini,"すまんの…
話がそれてしまったが…","I apologize... It seems I strayed from
the topic at hand."
24,Connective_Comp_Find_4Relic,"ところで…
もしやと思ったが…","By the way... How are you faring
thus far?"
25,Connective_Demo309_0,それはそうと…,"Ah, that's right..."
26,Connective_Find_4Relic_One,"ところで…
もしやと思ったが…","I am curious how your adventure is
going so far..."
27,Connective_Find_4Relic_TwoOrMore,ところで…,By the way...
28,Connective_Give_ChampionShirt,"おおっ
そうじゃった そうじゃった","Ah, that's right..."
29,Connective_PictureMemory_All,それはそうと…,"Ah, that's right..."
30,FirstTalk00,…やっと目覚めおったか,...So you're finally awake.
31,FirstTalk01,"久しいのう リンク…

すっかり年をとってしまったが
覚えておるじゃろ？","It has been quite a long time...Link.


I am much older now, but...
you remember me, don't you?"
32,FirstTalk02,"姫様が命を懸け其方に残した言葉…
生半可な覚悟の者に伝えることはできん
其方…命を懸ける覚悟はできたか？","The words that the princess risked her
life to impart to you...I cannot pass them
on to someone who lacks conviction.
Are you prepared to risk your life
for the greater good?"
33,FirstTalk05,"よかろう…

其方は記憶を失うておるでのう
順を追って話していくとしようかの…","Very well.


Since you have lost your memory, I will
recount for you all that has happened..."
34,FirstTalk06,"よかろう…

其方は記憶を失うておるでのう
何度でも語ろうぞ…","Very well. Since you lost your memory,
I will gladly tell you as many times as
you need me to."
35,FirstTalk07,"…そして 100年前

予言された厄災ガノンの復活に備えるべく
1万年前の伝説に倣い我々は準備を急いだ
しかし結果は…

我らは彼奴を侮っておった…

そして二度と同じことを繰り返さぬよう
姫様は其方に この言葉を託されたのじゃ…","A hundred years ago...


in preparation for the foretold revival of
Ganon, we strove to follow the lead of
our ancestors of 10,000 years prior.
But...in the end...


Despite our best efforts and careful
planning, we underestimated his power.

In order to avoid ever making that grave
mistake again, the princess left you
these words..."
36,FirstTalk08,"…そして 100年前

予言されたガノンの復活に備えるべく
1万年前の伝説に倣い我々は準備を急いだ
しかし結果は…

我らは彼奴を侮っておった…

我らは二度と
同じことを繰り返してはならぬ
姫様は其方に
このハイラルの未来を託されたのじゃ","A hundred years ago...


in preparation for the foretold revival of
Ganon, we strove to follow the lead of
our ancestors of 10,000 years prior.
But...in the end...


Despite our best efforts and careful
planning, we underestimated his power.

We must never again make that mistake.
The princess has left the future of Hyrule
in your hands."
37,FirstTalk_consecutive,"…どうした

もしかして決心が鈍ったわけではあるまいな！

お前は目覚めたばかり…
すぐに厄災ガノンを倒せとは言わん
まずは
その壊れたシーカーストーンを直さんとな
急ぎハテノ村の古代研究所に向かうがよい","Is something wrong?


Do not tell me the steel has slipped from
your spine...

I realize you have just awoken. I am
not suggesting that you must defeat
Calamity Ganon right this moment.
For now, you should focus on getting
that broken Sheikah Slate fixed.

Hurry to the research lab in
Hateno Village."
38,Give_ChampionShirt_00,"姫様の記憶に触れ
其方も少しは昔の事を思い出したじゃろう…
忘れんうちに
これを其方に渡しておかねばの","Now that you have seen some of the
princess's memories, you must have
started to remember certain things...
Here. I will hand this over to you now,
before I forget."
39,Give_ChampionShirt_10,"これは姫様から預かっておった
其方の衣じゃ
英傑となった其方のために誂えられた特別な代物
手荒く扱うでないぞ","This is something of yours that I have
been keeping safe, by request of
the princess.
This clothing was specially made for
you when you became a Champion.
Please handle it with care."
40,Kotoba00,『四体の神獣を解放せよ』と…,"Free the four Divine Beasts.
That is what she said."
41,NakedPlayer,服ぐらい着とかぬか！,Put on some clothes!
42,Sayonara00,"ほぅ…以前の其方であれば
我が聞くまでもなく突き進んでおったが…
まぁよい…其方の覚悟が決まったら
また我の元へ来るがよい","Oh? I see...


There was a time when you would have
fearlessly charged forward on such a
challenge without a moment's hesitation.
Well, it is what it is. In any case, please
return here once your heart remembers
what your mind has forgotten."
43,Sayonara01,"100年待つことのできた この我が
一時も待てんと言うとでも思うかの？
大事な決断じゃ
ゆっくりと考えるがいい","I have been waiting for 100 years.
Needless to say, I can certainly wait
a bit longer, if I must.
This is an important decision. You must
not make it lightly. Please take your
time thinking it over."
44,SecondTalk01,"…まだ このようなところにおるとは

シーカーストーンは ゼルダ様が其方に託した
厄災ガノンに通ずる唯一の道しるべ
今のままでは その力を十分に発揮することは
できんじゃろう…","You're still here?


Princess Zelda gifted that Sheikah Slate
to you. It is the only guide that can lead
you to Calamity Ganon.
But you cannot use it to its full potential
in its present state..."
45,SecondTalk01_ch3,急ぎハテノ村に向かうのじゃ,Hurry to Hateno Village.
46,SecondTalk01_ch4,急ぎハテノ村に向かうのじゃ,Hurry to Hateno Village.
47,Shinju00,"四神獣… それは厄災ガノンに倒された
四人の英傑が操った古代シーカーの兵器のこと
ゴロン族ダルケルが操った
神獣 ヴァ・ルーダニア
リト族リーバルが操った
神獣 ヴァ・メドー
ゾーラ族ミファーが操った
神獣 ヴァ・ルッタ
ゲルド族ウルボザが操った
神獣 ヴァ・ナボリス","The four Divine Beasts are the ancient
Sheikah weapons wielded by the four
Champions who Ganon defeated.
The Divine Beast Vah Rudania,
controlled by Daruk of the Gorons.

The Divine Beast Vah Medoh,
controlled by Revali of the Rito.

The Divine Beast Vah Ruta,
controlled by Mipha of the Zora.

And the Divine Beast Vah Naboris,
controlled by Urbosa of the Gerudo."
48,Shinju01,"神獣達の力なくして
ガノンに立ち向かうのは困難を極めるじゃろう…
100年前ガノンに奪われてしまった
神獣に乗り込み再び我らの手に取り戻すのじゃ
神獣達の手がかりは
ハイラルの各地に住む四つの部族の元にあろう","It would be extremely ill-advised to face
Ganon without the power of the Divine
Beasts to help you...
You must infiltrate the Divine Beasts that
were stolen away by Ganon 100 years
ago and bring them back to our side.
More information about these Divine
Beasts can be found by locating the
four races scattered across Hyrule."
49,Shinju02,"しかし其方…
すでに あやつ等に会たようだの
その体からみなぎる皆の力…

ホッホッ…
いらん心配だったようじゃな","You... You have already found them.
Yes, I can feel their power emanating
from you even now...
Ha! It would seem I had no cause
to worry after all."
50,Shinju4,"写し絵の地を一か所でも
訪れることができたなら
またここへ戻ってくるがよい

其方に渡したいものがあるでのぅ","Come back here once you have tried
going to at least one of those locations.

There is something I wish to give to you."
51,Shinju_01,ほほぅ…,Ha! I see...
52,Shinju_02_Electric,ウルボザの力を手に入れたか…,"So, you've gained the power of Urbosa."
53,Shinju_02_Fire,ダルケルの力を手に入れたか…,"So, you've gained the power of Daruk."
54,Shinju_02_Water,ミファーの力を手に入れたか…,"So, you've gained the power of Mipha."
55,Shinju_02_Wind,リーバルの力を手に入れたか…,"So, you've gained the power of Revali."
56,Shinju_03,"まだ一体とはいえ神獣を厄災ガノンの手より
取り戻してくれたこと…礼を言うぞ","I thank you for freeing one of the
Divine Beasts from Calamity Ganon's
control... But there are others still."
57,Shinju_04_Electric,"ウルボザの力は雷の力…
邪悪な力から其方を護ってくれよう","Urbosa's power is that of lightning.
It will help you put evil in its place."
58,Shinju_04_Fire,"ダルケルの力は守りの力…
邪悪な力から其方を護ってくれよう","Daruk's power is that of defense.
It will protect you from evil."
59,Shinju_04_Water,"ミファーの力は癒しの力…
力尽きた其方を救ってくれよう","Mipha's power is that of healing.
It will aid you when your strength
has been exhausted."
60,Shinju_04_Wind,"リーバルの力は風の力…
邪悪な力から其方を護ってくれよう","Revali's power is that of wind.
It will prove to be most useful."
61,Shinju_05_Electric,"ゲルド族 ウルボザが操った
神獣 ヴァ・ナボリス","Divine Beast Vah Naboris also remains.
That one was controlled by Urbosa
of the Gerudo."
