#,Title,JPja,USen
1,"""0000""",母様？,For Mother?
2,"""0001""",そっか…,I see...
3,"""0002""",ヤギのバターをあげる,Voilà! Goat butter!
4,"""0003""",元気出して！,Cheer up!
5,"""0004""",ケモノ肉をあげる,Voilà! Raw meat!
6,"""0005""",ハチミツをあげる,Voilà! Honey!
7,Talk00,"ごめんなさい
今急いでいるのです
プリコが帰ってくるまでに
母様のところに行かないと…なのです！","Sorry! Koko is in a bit of a rush!
Koko has to go visit Mother before 
Cottla gets home."
8,Talk01,"わわわっ！
ビックリしたです！！",Waaaaah! You scared Koko!
9,Talk03,"ココナ…
雨は嫌いだったのです…
でも今は違うのです…

雨の日なら…

涙を流してくれる雨の日なら
泣いても母様にバレないから…","Koko...used to not like the rain.


But now Koko doesn't mind it so much.


The rain is a veil. It hides many things...


On a rainy day, Koko can cry
without Mother seeing."
10,Talk04,"母様はたぶん… ここに眠ってるです
きっと天国にいるです…
父様は必死で隠そうとしていますが…

ココナは わかってるです
だからココナ しっかりしないと なのです！","Mother is...sleeping here. She's probably
making friends in heaven...

Father thinks it's best not to tell us
she's gone.

But Koko knows. That's why Koko
must be strong!"
11,Talk05,"父様はウソがとっても下手なのです

でも プリコはまだ小さいから
気づいてないです…
ここで ココナに会ったことは
プリコには内緒なのですよ","Father is bad at lying.


Cottla is just too young to realize it...


Oh! Please don't tell Cottla you saw
Koko here today!"
12,Talk06,"こんな時間になっちゃったのです！
暗くなる前に帰らないと… なのです！","It's already this late?! Koko's gotta
get home before it's dark!"
13,Talk07,"…父様が …帰ってくるまで…
ココナ…起きてるの…です…","Must...stay awake...until Father's home...
Koko...must stay...awake..."
14,Talk08,"これから父様と約束があるのです！
急がないと…なのです！","Koko is meeting Father soon.
Koko has to go!"
15,Talk09,"母様は この木が大好きだったのです

大きくて優しくて
父様みたいだ… って言ってたのです","Mother loved this tree!


She said it's big and kind,
just like Father!"
16,Talk12,"そろそろプリコの
ご飯の用意をしないと…なのです",Time to cook a meal for Cottla...
17,Talk13,"他には何を作ろうかな…

あっ！！

母様がよく作っていたリンゴバターにするです！
アレならプリコも大好きなのです！
材料は…""確か…
リンゴとヤギのバター… ん？ バター？","What should Koko make now...


OH! Hot buttered apple sounds good!
Mother used to make it all the time!
Cottla loves it too!
Let's see... The ingredients are... 
some apples and...goat butter?"
18,Talk14,ああっ！！,"OH, NO!!"
19,Talk15,"ココナはやっぱり ダメな子なのです…
母様のようには なれないのです…","Koko is a bad daughter who can't
do anything right. Koko will never
be like Mother..."
20,Talk16,"これはっ？！

ヤギのバター！！！！

いいのですか？いいのですか？
ありがとうございますです！
ちょっと待っててください なのです！","Is this...


goat butter?!


Are you sure about this? Really?
Thank you so much! Koko means it!
Stay right there for a second!"
21,Talk17,"同情はいらないのです…
ヤギのバターがほしいのです…","Koko doesn't need your sympathy.
Koko needs some goat butter!"
22,Talk19,"んー！
いい香りなのです！！
バターの風味も残しつつ
リンゴの甘味を しっかり活かして作れたです！
コレ おすそ分けなのです！","Mmm! What a yummy smell! And that hint
of butter makes all the difference!

Oh! Oh! And the apples are superbly
sweet too! Here, take some. It's really
something else."
23,Talk20,"ココナ頑張って
もっともっと料理の腕を磨くです！","Koko will work hard to get better
and better at cooking!"
24,Talk21,"ココナ わかるです…
ウソはわかるです…
父様も ウソが下手ですから…","Koko knows when someone is lying.
Father isn't good at lying either..."
25,Talk22,"後は何を作ろうかな…

あっ！！

父様の好物カチコチ肉詰めカボチャにするです！
元気いっぱいに なるやつなのです！
材料は…""確か…
ヨロイカボチャとケモノ肉… ん？""ケモノ肉？","Hmm, what should Koko make now...


OH!! Koko will make Father's favorite!
Tough meat-stuffed pumpkin!
It's great for an energy boost.
Let's see... The ingredients are...
fortified pumpkin and raw meat.

Hrm? ...Raw meat?"
