#,Title,JPja,USen
1,"""0000""",一緒に遊ぶ？,Wanna play?
2,"""0001""",またね,See ya!
3,Talk00,"母ちゃま かくれんぼー！
あっち！","Mommy! You're too good at hide-
and-seek! I can't fiiiind you!"
4,Talk02,"かけっこ
かけっこー","Yay, a race!"
5,Talk03,"雨スキー
でも母ちゃま もっともっとスキー","I love the rain...but I love my mommy
even more!"
6,Talk04,"プリコ雨すきー
かけっこ かけっこー","I looove the rain!
Yay, a race!"
7,Talk05,"母ちゃま かくれんぼ
プリコ みつけるー","Mommy's hiding, but I'll find her!"
8,Talk06,"父ちゃま姉ちゃま
待ってるー",Daddy! Big Sis! I'm waaaiiiting!
9,Talk07,"まだかな
まだかなー",I wonder...if they'll be here soon...
10,Talk08,おなかすいたー,So hungry!
11,Talk09,"ごはん
ごはんー",Dinnertime! Dinnertime!
12,Talk10,お家かえるー,I'm going home...
13,Talk11,…姉ちゃま…,Big Sis...
14,Talk14,"母ちゃま かくれんぼ
プリコ みつけるー",Mommy's hiding...but I'll find her!
15,Talk15,"母ちゃま かくれんぼー！
あっち！","Mommy's hiding! Hmmm, maybe she's
over there!"
16,Talk16,"ダメー！

今は母ちゃまとあそぶー
兄ちゃまは あとでー","NO!!


I'm playing with Mommy right now.
You'll just have to wait your turn!"
17,Talk17,"ダメー！

今は父ちゃまとあそぶー
兄ちゃまは あとでー","NO!!


I'm playing with Daddy right now.
You'll just have to wait your turn!"
18,Talk19,"あれー？
まだ お荷物いっぱい？
プリコの しょっぱいカチカチ
あげられない…","Huh? You don't have enough space?


But...that means I can't give you my
salty cruncher..."
19,Talk21,バイバーイ,Bye-bye!
20,Talk22,"雨スキー
でも母ちゃま もっともっとスキー","I love the rain...but I love my mommy
even more!"
21,Talk23,"父ちゃま姉ちゃま
待ってるー",Daddy! Big Sis! I'm waaaiiiting!
22,Talk24,"ごはんー
ごはんー",Dinner! DINNER!
23,Talk25,"ダメー！

今は姉ちゃまゴハンー
兄ちゃまは あとでー","NO!!


I've gotta chow down with Big Sis now!
You're just gonna have to wait!"
24,Talk26,ごはん…,Dinner...
25,Talk27,お家かえったー,I'm hooome!
26,Talk28,"お荷物 お片付けした？

じゃあ プリコのカチカチ
あげるー！","Did you make space?


Yay! That means I can give you
this rocky salty thing!"
27,Talk29,また プリコとあそぼーね！,Let's play again sometime!
28,Talk30,…父ちゃま…,Daddy...
29,Talk31,…母ちゃま…,Mommy...
