#,Title,JPja,USen
1,"""0000""",雨は大丈夫？,You OK in the rain?
2,"""0001""",わかった,Got it.
3,"""0002""",イーガ団？,Yiga Clan?
4,"""0003""",さよなら,Good-bye.
5,"""0004""",飛ぶ？,Fly? Really?
6,"""0005""",…さようなら,Um...good-bye.
7,"""0006""",コッコちゃん捕まえたよ,"Yep, I found 'em!"
8,"""0007""",気のせいでは？,Your imagination?
9,NakedPlayer,そのお姿はどうかと…,Your style...is bothersome.
10,Near00,カワイイ…,So cute...
11,Near02,さあ仕事だ！,Time to work!
12,Near03,そろそろ寝るか,I should sleep soon...
13,Near04,クシュン,Achoo!
14,Near05,コッコちゃ～ん,My little Cucco!
15,Suprise09,"セローラ！
帰ってきてくれたのか！！
……

ああ…貴方様でしたか…

妻が帰ってきてくれたのかと思いましたよ…

…はぁ","Rola! You came back!!


...Oh. It's just you.


For a moment, I thought my wife
had returned...

*SIGH*"
16,Talk00,"最近イーガ団が不審な動きをしております
インパ様をお守りするのが我らの役目なのです","Recently, the Yiga Clan has been acting
suspiciously... It is our duty to protect
Lady Impa."
17,Talk01,"ご心配には及びません
これはシーカー族に伝わる民族衣装
いつ何時でも任務をこなせるよう
どんな状況にも耐えうるよう作られた物ゆえ
これしきの雨は何ともありませんよ","It is of no concern. These are traditional
clothes that have been used by the
Sheikah for generations.
They are ideal for any situation
and allow us to accomplish any
kind of work at any time.
Rain like this is no problem at all."
18,Talk02,"…コッコちゃんは
ずっとそばにいてね…","Don't leave me...
Little Cucco...
*sniffle*
Zzzz... *mumble*"
19,Talk03,"コッコ達を見てたら
こんな時間になってしまいました…
今日も夜中に仕事がありますので
お先に休ませていただきます","I was watching those Cuccos, and before
I knew it, the day was gone...

I have some work to do later tonight,
so I think I'd better rest now."
20,Talk04,あの子達とは しばしのお別れです,"I'll have to be away from them
for a little while..."
21,Talk05,"我々シーカー族は
英知の民として知られていました
その技術は 1万年前に起った厄災の際
ガノンを封じる要となり
一時は神の力とさえ言われ称えられましたが
次第にそれは国にとって脅威とされ
シーカー族は疎まれる存在となり
国を去らざるを得なくなりました…
その時に我らのように
技術を捨て普通に生活する者もいれば
王国に恨みを持ち
ガノンに忠誠を誓う者もあらわれました
それがイーガ団と呼ばれる者達なのです

奴らの使命はガノンに仇なす者を排除すること…
貴方様も どうかお気を付けください","We of the Sheikah tribe have long been
heralded as a people of great wisdom.

Our technology became the key to
sealing Ganon away during the Great
Calamity, some ten thousand years ago.
At one point, our technology was praised
as the power of the gods...but eventually
the people turned on it. Turned on us.
Our creations came to be viewed as a
threat to the kingdom. The Sheikah
became outcasts, forced into exile.
Some, like us, chose to cast off our
technological advances and strove
to live normal lives.
Others fostered a hatred toward the
kingdom that shunned them. These sad
souls swore their allegiance to Ganon.
They now call themselves the Yiga Clan.


Their sole mission is to eliminate all who
stand against Ganon. Please, dear hero...
be careful out there."
22,Talk06,"イーガ団にとってガノンに仇なす者はすべて敵
貴方様もお気を付け下さい","To the Yiga Clan, anyone who so much as
feels bitterness toward Ganon is an
enemy. Do not underestimate them."
23,Talk07,"今日はそろそろ失礼させていただきます
あの子達も待っておりますので…","I must be going soon. They'll be waiting
for me, my little ones..."
